Mixture	bladder	lymph_node	muscle	salivary_gland	spleen	testis	adipocyte	artery	bone	esophagus	skin	stomach	kidney	liver	nerve	lung	heart	bowel	brain	pancreas	pleurae	thyroid	vein	P-value	Correlation	RMSE
SY16	0.0170628239146203	0	0	0	0.285405842028719	0	0.183997300059865	0	0.255529834662949	0	0.00429118968231646	0.0715959553972715	0.0201207614374632	0.051867818480869	0.0258764705590032	0.0557623547037911	0	0	0.0224505370005065	0.00603911207262528	0	0	0	9999	0.136271405011252	1.00246740638388
SY17	0	0	0	0	0.291843146390761	0	0.202268294148929	0.00014207195116241	0.253733861260931	0	0.00316744812209349	0.0640334321409971	0.00445418243362088	0.0350152570138063	0.0374138451948105	0.0639517893709335	0.00451819854509572	0.018730896754843	0.0182329576009697	0.00249461907104535	0	0	0	9999	0.15645197714692	0.993757678130331
SY18	0.00119834427080115	0	0	0	0.286968945296845	0	0.160759758257003	0	0.270706583151142	0	0.00286421627611709	0.0577307844088079	0.034591405354569	0.0322833666031079	0.034709943776735	0.0773990788462877	0.0121846645382486	0.0118830054670622	0.0102674039859999	0.00645249976727317	0	0	0	9999	0.158443729673145	0.991948228354149
SY20	0	0	0	0	0.222283480855781	0	0.143363326175244	0.030673722390676	0.355153576832403	0	0.00301162820199115	0.0897867507742228	0	0.0256331867381944	0.00047315946469435	0.0400636859000958	0.0558868459870677	0.00819602120385947	0.0185056033517393	0.00696901212403046	0	0	0	9999	0.158370531716758	1.00490831568857
SY21	0	0	0	0	0.286019314917688	0	0.280232622279942	0	0.234074479538666	0.00885241475786754	0	0.0511557367393465	0	0.039658783205729	0.030578417264223	0.00457548705755747	0	0.0393148270253159	0.0255379172136655	0	0	0	0	9999	0.132102573897216	1.0003531906623
SY23	0	0	0	0	0.270508065713076	0	0.202468650486701	0.00397723637005324	0.275522699277842	0.0222995084086672	0	0.0388027382029052	0	0.04081770655526	0.0292539701770394	0.0635226080623986	0.00761242713955227	0.0281123939338066	0.0171019956726979	0	0	0	0	9999	0.158325843601847	0.993956093475575
SY24	0.0374738717223319	0.0275139804631435	0	0	0.331984239379923	0	0.109014248622426	0	0.232684025808017	0.0109416628349571	0	0	0.00324053431911892	0.0663044070082107	0.00197058130870586	0.138029281551214	0	0.026623406862278	0.0142197601196733	0	0	0	0	9999	0.147569935251332	0.997539461946118
SY27	0.0544392743535251	0.0242984597913575	0	0	0.307992213935596	0.000213733990940194	0.123981991690231	0	0.229674116634733	0.0150764429413512	0	0.0255334080242443	0	0.042954436705091	0.00991662278818302	0.139488625899886	0	0.000282556322678556	0.0261481169221829	0	0	0	0	9999	0.16615902770875	1.00040859432745
SY29	0	0	0	0	0.2765355923479	0	0.21102344869375	0.00988875423487896	0.255994210814987	0	0.00250064968380668	0.0774552877982028	0.0062178052032869	0.0325476936533416	0.0391349356742087	0.0584017488328407	0.00336903399211646	0.00844979299978911	0.0174354312797245	0.0010456147911668	0	0	0	9999	0.157719340714343	0.996768287867121
SY33	0.0346360706999634	0	0	0	0.263305448861609	0	0.107929396395211	0	0.279004650436548	0	0	0.0350664305791353	0.0270331180087143	0.0283015597000699	0.00844191269271415	0.153560934501253	0.0213466039280051	0.0161660726374641	0.0158268802176895	0.00938092134162318	0	0	0	9999	0.128950431835389	1.00838844613613
