"strata","time","surv","event","n.risk","n.event","n.censor"
"lung_change_prop.bi=FALSE",2,1,0,235,0,13
"lung_change_prop.bi=FALSE",3,0.994406746817622,0.00559325318237824,222,2,96
"lung_change_prop.bi=FALSE",4,0.994406746817622,0.00559325318237824,124,0,36
"lung_change_prop.bi=FALSE",5,0.994406746817622,0.00559325318237824,88,0,11
"lung_change_prop.bi=FALSE",6,0.986704401275892,0.0132955987241085,77,1,15
"lung_change_prop.bi=FALSE",7,0.986704401275892,0.0132955987241085,61,0,14
"lung_change_prop.bi=FALSE",8,0.986704401275892,0.0132955987241085,47,0,10
"lung_change_prop.bi=FALSE",9,0.986704401275892,0.0132955987241085,37,0,16
"lung_change_prop.bi=FALSE",10,0.95511317508419,0.0448868249158096,21,1,5
"lung_change_prop.bi=FALSE",11,0.95511317508419,0.0448868249158096,15,0,4
"lung_change_prop.bi=FALSE",12,0.95511317508419,0.0448868249158096,11,0,8
"lung_change_prop.bi=FALSE",13,0.95511317508419,0.0448868249158096,3,0,1
"lung_change_prop.bi=FALSE",14,0.95511317508419,0.0448868249158096,2,0,2
"lung_change_prop.bi=TRUE",2,1,0,50,0,2
"lung_change_prop.bi=TRUE",3,0.965742230828736,0.0342577691712638,48,2,18
"lung_change_prop.bi=TRUE",4,0.965742230828736,0.0342577691712638,28,0,5
"lung_change_prop.bi=TRUE",5,0.910095246588427,0.0899047534115727,23,1,7
"lung_change_prop.bi=TRUE",6,0.910095246588427,0.0899047534115727,15,0,5
"lung_change_prop.bi=TRUE",7,0.910095246588427,0.0899047534115727,10,0,5
"lung_change_prop.bi=TRUE",8,0.910095246588427,0.0899047534115727,5,0,1
"lung_change_prop.bi=TRUE",9,0.910095246588427,0.0899047534115727,4,0,2
"lung_change_prop.bi=TRUE",10,0.910095246588427,0.0899047534115727,2,0,1
"lung_change_prop.bi=TRUE",13,0.910095246588427,0.0899047534115727,1,0,1
