"","true","estimated","tissue_spiked","spike_color"
"sample_1",0,0.0946665041171884,"adipocyte",FALSE
"sample_2",0,0.00209253098619109,"adipocyte",FALSE
"sample_3",0,0.181411462585391,"adipocyte",FALSE
"sample_4",0,0.109882017590654,"adipocyte",FALSE
"sample_5",0,0.00462232796174203,"adipocyte",FALSE
"sample_6",0,0.0335868575362572,"adipocyte",FALSE
"sample_7",0,0.0289177756629621,"adipocyte",FALSE
"sample_8",0,0,"adipocyte",FALSE
"sample_9",0,0.0745920522448627,"adipocyte",FALSE
"sample_10",0,0,"adipocyte",FALSE
"sample_11",0,0.0998746634649236,"adipocyte",FALSE
"sample_12",0,0,"adipocyte",FALSE
"sample_13",0,0.042773886171532,"adipocyte",FALSE
"sample_14",0,0.0252889814501149,"adipocyte",FALSE
"sample_15",0,0,"adipocyte",FALSE
"sample_16",0,0,"adipocyte",FALSE
"sample_17",0,0.0174589384081601,"adipocyte",FALSE
"sample_18",0,0.0745998963894486,"adipocyte",FALSE
"sample_19",0,0.0170979096162067,"adipocyte",FALSE
"sample_20",0,0,"adipocyte",FALSE
"sample_21",0,0,"adipocyte",FALSE
"sample_22",0,0.0522080439532158,"adipocyte",FALSE
"sample_23",0,0.0304048453605483,"adipocyte",FALSE
"sample_24",0,0,"adipocyte",FALSE
"sample_25",0,0,"adipocyte",FALSE
"sample_26",0,0,"adipocyte",FALSE
"sample_27",0,0.0556436598935888,"adipocyte",FALSE
"sample_28",0,0.00511868558519942,"adipocyte",FALSE
"sample_29",0,0.0175963559135856,"adipocyte",FALSE
"sample_30",0,0.0134402629786969,"adipocyte",FALSE
"sample_31",0,0.0351449256137171,"adipocyte",FALSE
"sample_32",0,0,"adipocyte",FALSE
"sample_33",0,0.0315301694785876,"adipocyte",FALSE
"sample_34",0,0.00974053128212357,"adipocyte",FALSE
"sample_35",0,0,"adipocyte",FALSE
"sample_36",0,0.0123978332041065,"adipocyte",FALSE
"sample_37",0,0,"adipocyte",FALSE
"sample_38",0,0.015759565839952,"adipocyte",FALSE
"sample_39",0,0,"adipocyte",FALSE
"sample_40",0,0.112663086205909,"adipocyte",FALSE
"sample_41",0,0.0180856420414384,"adipocyte",FALSE
"sample_42",0,0.115256265480248,"adipocyte",FALSE
"sample_43",0,0.0509725870995793,"adipocyte",FALSE
"sample_44",0,0.143421095801954,"adipocyte",FALSE
"sample_45",0,0.135208180120759,"adipocyte",FALSE
"sample_46",0,0.111489671795933,"adipocyte",FALSE
"sample_47",0,0,"adipocyte",FALSE
"sample_48",0,0,"adipocyte",FALSE
"sample_49",0,0,"adipocyte",FALSE
"sample_50",0,0.138150553192122,"adipocyte",FALSE
"sample_51",0,0.0712376641696555,"adipocyte",FALSE
"sample_52",0,0,"adipocyte",FALSE
"sample_53",0,0.00343040498278684,"adipocyte",FALSE
"sample_54",0,0,"adipocyte",FALSE
"sample_55",0,0,"adipocyte",FALSE
"sample_56",0,0,"adipocyte",FALSE
"sample_57",0,0,"adipocyte",FALSE
"sample_58",0,0,"adipocyte",FALSE
"sample_59",0,0.0718643991049407,"adipocyte",FALSE
"sample_60",0,0,"adipocyte",FALSE
"sample_61",0,0,"adipocyte",FALSE
"sample_62",0,0,"adipocyte",FALSE
"sample_63",0,0.0185530878038113,"adipocyte",FALSE
"sample_64",0,0.116815354656683,"adipocyte",FALSE
"sample_65",0,0,"adipocyte",FALSE
"sample_66",0,0.0951219367558738,"adipocyte",FALSE
"sample_67",0,0.10654725370262,"adipocyte",FALSE
"sample_68",0,0,"adipocyte",FALSE
"sample_69",0,0,"adipocyte",FALSE
"sample_70",0,0,"adipocyte",FALSE
"sample_71",0,0.0244692397051575,"adipocyte",FALSE
"sample_72",0,0.134338057154321,"adipocyte",FALSE
"sample_73",0,0.0485676619962985,"adipocyte",FALSE
"sample_74",0,0.0430527931565524,"adipocyte",FALSE
"sample_75",0,0,"adipocyte",FALSE
"sample_76",0,0,"adipocyte",FALSE
"sample_77",0,0.102358444406328,"adipocyte",FALSE
"sample_78",0,0,"adipocyte",FALSE
"sample_79",0,0,"adipocyte",FALSE
"sample_80",0,0.0210418061968914,"adipocyte",FALSE
"sample_81",0,0.00888064302983903,"adipocyte",FALSE
"sample_82",0,0,"adipocyte",FALSE
"sample_83",0,0,"adipocyte",FALSE
"sample_84",0,0.000623123323808181,"adipocyte",FALSE
"sample_85",0,0.0325276011465713,"adipocyte",FALSE
"sample_86",0,0,"adipocyte",FALSE
"sample_87",0,0.0419282019699728,"adipocyte",FALSE
"sample_88",0,0.0427038471093067,"adipocyte",FALSE
"sample_89",0,0.0156503920275757,"adipocyte",FALSE
"sample_90",0,0,"adipocyte",FALSE
"sample_91",0,0.0684439183976902,"adipocyte",FALSE
"sample_92",0,0.000713912461905831,"adipocyte",FALSE
"sample_93",0,0.122802651907474,"adipocyte",FALSE
"sample_94",0,0,"adipocyte",FALSE
"sample_95",0,0.0319196898377413,"adipocyte",FALSE
"sample_96",0,0,"adipocyte",FALSE
"sample_97",0,0,"adipocyte",FALSE
"sample_98",0,0,"adipocyte",FALSE
"sample_99",0,0,"adipocyte",FALSE
"sample_100",0,0.140088942335379,"adipocyte",FALSE
"sample_101",0,0.111179225478096,"adipocyte",FALSE
"sample_102",0,0,"adipocyte",FALSE
"sample_103",0,0.0358193688901193,"adipocyte",FALSE
"sample_104",0,0,"adipocyte",FALSE
"sample_105",0,0,"adipocyte",FALSE
"sample_106",0,0,"adipocyte",FALSE
"sample_107",0,0.0660164540251387,"adipocyte",FALSE
"sample_108",0,0.057010876716591,"adipocyte",FALSE
"sample_109",0,0.0331898439105408,"adipocyte",FALSE
"sample_110",0,0.191261414603174,"adipocyte",FALSE
"sample_111",0,0,"adipocyte",FALSE
"sample_112",0,0,"adipocyte",FALSE
"sample_113",0,0,"adipocyte",FALSE
"sample_114",0,0,"adipocyte",FALSE
"sample_115",0,0,"adipocyte",FALSE
"sample_116",0,0,"adipocyte",FALSE
"sample_117",0,0.210019718433116,"adipocyte",FALSE
"sample_118",0,0.196892491030079,"adipocyte",FALSE
"sample_119",0,0.0510525169711569,"adipocyte",FALSE
"sample_120",0,0,"adipocyte",FALSE
"sample_121",0,0.128973610481942,"adipocyte",FALSE
"sample_122",0,0.0703685669386584,"adipocyte",FALSE
"sample_123",0,0,"adipocyte",FALSE
"sample_124",0,0,"adipocyte",FALSE
"sample_125",0,0.252203675119191,"adipocyte",FALSE
"sample_126",0,0.183635735273199,"adipocyte",FALSE
"sample_127",0,0,"adipocyte",FALSE
"sample_128",0,0,"adipocyte",FALSE
"sample_129",0,0,"adipocyte",FALSE
"sample_130",0,0,"adipocyte",FALSE
"sample_131",0,0.104957329705558,"adipocyte",FALSE
"sample_132",0,0.00433726130681469,"adipocyte",FALSE
"sample_133",0,0.047174177086618,"adipocyte",FALSE
"sample_134",0,0.0446999360024806,"adipocyte",FALSE
"sample_135",0,0,"adipocyte",FALSE
"sample_136",0,0,"adipocyte",FALSE
"sample_137",0,0,"adipocyte",FALSE
"sample_138",0,0.0224497090764438,"adipocyte",FALSE
"sample_139",0,0.0840977411275277,"adipocyte",FALSE
"sample_140",0,0,"adipocyte",FALSE
"sample_141",0,0,"adipocyte",FALSE
"sample_142",0,0,"adipocyte",FALSE
"sample_143",0,0,"adipocyte",FALSE
"sample_144",0,0,"adipocyte",FALSE
"sample_145",0,0,"adipocyte",FALSE
"sample_146",0,0.0624112518620427,"adipocyte",FALSE
"sample_147",0,0,"adipocyte",FALSE
"sample_148",0,0,"adipocyte",FALSE
"sample_149",0,0,"adipocyte",FALSE
"sample_150",0,0,"adipocyte",FALSE
"sample_151",0,0,"adipocyte",FALSE
"sample_152",0,0.0936964676590985,"adipocyte",FALSE
"sample_153",0,0.0182709525798277,"adipocyte",FALSE
"sample_154",0,0.111763394079823,"adipocyte",FALSE
"sample_155",0,0.0575761703010148,"adipocyte",FALSE
"sample_156",0,0,"adipocyte",FALSE
"sample_157",0,0,"adipocyte",FALSE
"sample_158",0,0,"adipocyte",FALSE
"sample_159",0,0.040236828698582,"adipocyte",FALSE
"sample_160",0,0.0030777979754982,"adipocyte",FALSE
"sample_161",0,0.022571205677394,"adipocyte",FALSE
"sample_162",0,0,"adipocyte",FALSE
"sample_163",0,0.0379483335179185,"adipocyte",FALSE
"sample_164",0,0,"adipocyte",FALSE
"sample_165",0,0.0346743502071931,"adipocyte",FALSE
"sample_166",0,0.14709903311252,"adipocyte",FALSE
"sample_167",0,0,"adipocyte",FALSE
"sample_168",0,0,"adipocyte",FALSE
"sample_169",0,0,"adipocyte",FALSE
"sample_170",0,0.0478068620454749,"adipocyte",FALSE
"sample_171",0,0,"adipocyte",FALSE
"sample_172",0,0.0476972675572994,"adipocyte",FALSE
"sample_173",0,0.00438933918984059,"adipocyte",FALSE
"sample_174",0,0.0623288112383489,"adipocyte",FALSE
"sample_175",0,0.100124854394083,"adipocyte",FALSE
"sample_176",0,0,"adipocyte",FALSE
"sample_177",0,0,"adipocyte",FALSE
"sample_178",0,0,"adipocyte",FALSE
"sample_179",0,0.0566251039760396,"adipocyte",FALSE
"sample_180",0,0.0436899689551744,"adipocyte",FALSE
"sample_181",0,0,"adipocyte",FALSE
"sample_182",0,0,"adipocyte",FALSE
"sample_183",0,0,"adipocyte",FALSE
"sample_184",0,0.000716413230396305,"adipocyte",FALSE
"sample_185",0,0.133108553912467,"adipocyte",FALSE
