"methods","tissue_spiked","aitchison_median","diff_aitchison"
"10% detect","adipocyte",0.635420107539771,-0.0273011041551673
"10% detect","artery",0.44297305029842,-0.0185202608497516
"10% detect","bladder",0.472145959189058,-0.000831312724092592
"10% detect","bone",0.452054523631795,0.0048460852675995
"10% detect","bowel",0.648080533488043,0.00107916574612688
"10% detect","brain",0.358577606422616,-0.0167280140518506
"10% detect","heart",0.390704729423234,0.0324181769180666
"10% detect","kidney",0.58483223861757,-0.0112954279434706
"10% detect","liver",0.338011150826072,0.0197961026641247
"10% detect","lung",0.815566787434874,0.0356561149585115
"10% detect","lymph node",0.561735756756547,0.0311672941444774
"10% detect","nerve",0.714172527332303,-0.0518349414053088
"10% detect","pancreas",0.524322375060707,-0.0444254979213833
"10% detect","salivary gland",0.532288549724781,0.00572899859035447
"10% detect","skin",0.392709836680066,0.00415737911676406
"10% detect","spleen",0.69686487793671,-0.0160375816290457
"10% detect","stomach",0.87826800130857,0.0846107792814489
"50% detect","adipocyte",0.688764821487299,0.0260436097923604
"50% detect","artery",0.528582726862519,0.0670894157143473
"50% detect","bladder",0.480381388491429,0.007404116578279
"50% detect","bone",0.486240223849114,0.0390317854849179
"50% detect","bowel",0.702372029136513,0.0553706613945967
"50% detect","brain",0.381435478130681,0.00612985765621432
"50% detect","heart",0.451212653804569,0.0929261012994013
"50% detect","kidney",0.668405966462231,0.0722782999011903
"50% detect","liver",0.316628201190858,-0.00158684697108946
"50% detect","lung",0.869150256523332,0.0892395840469696
"50% detect","lymph node",0.610935757198475,0.0803672945864056
"50% detect","nerve",0.906893100408722,0.140885631671111
"50% detect","pancreas",0.646629301204545,0.0778814282224545
"50% detect","salivary gland",0.573762811767536,0.0472032606331091
"50% detect","skin",0.468776152563286,0.0802236949999849
"50% detect","spleen",0.815224671940556,0.1023222123748
"50% detect","stomach",0.876679355357584,0.0830221333304638
"80% detect","adipocyte",0.678795165029599,0.0160739533346603
"80% detect","artery",0.514638913366145,0.0531456022179727
"80% detect","bladder",0.485668154949069,0.0126908830359188
"80% detect","bone",0.500080863113075,0.0528724247488793
"80% detect","bowel",0.740236095691662,0.0932347279497456
"80% detect","brain",0.371004835236068,-0.00430078523839922
"80% detect","heart",0.270770282899182,-0.0875162696059853
"80% detect","kidney",0.724347029220935,0.128219362659894
"80% detect","liver",0.318395139129787,0.000180090967839386
"80% detect","lung",0.92074318050634,0.140832508029978
"80% detect","lymph node",0.617436594232307,0.0868681316202374
"80% detect","nerve",1.05097633033032,0.284968861592713
"80% detect","pancreas",0.680974119721973,0.112226246739883
"80% detect","salivary gland",0.546525151860839,0.0199656007264123
"80% detect","skin",0.417974361974384,0.0294219044110828
"80% detect","spleen",0.868883336708847,0.155980877143091
"80% detect","stomach",0.929193716799415,0.135536494772294
"AutoGeneS","adipocyte",0.750521907531028,0.0878006958360898
