tissue,setting,cor_spearman,RMSE
bladder,AutoGeneS,0.39965669699880274,0.36401706022825897
lymph_node,AutoGeneS,0.7508518879128375,0.24568014035969393
muscle,AutoGeneS,0.6308963142857731,0.2953541650262596
salivary_gland,AutoGeneS,0.8990058260097491,0.15863035138876228
spleen,AutoGeneS,0.9039715217669536,0.15087723214277787
testis,AutoGeneS,0.9246072082911649,0.12540793437323827
adipocyte,AutoGeneS,0.7538951859767463,0.25838236149753896
artery,AutoGeneS,0.5579635944594137,0.32329391264511564
bone,AutoGeneS,0.7018914157942507,0.3007355660678515
esophagus,AutoGeneS,0.24993017274515672,0.4610725279931275
skin,AutoGeneS,0.8785253822735365,0.16223151435800254
stomach,AutoGeneS,0.24772122532898402,0.48540457781138324
kidney,AutoGeneS,0.7883815193556687,0.20009192719692803
liver,AutoGeneS,0.8685717604601506,0.16054286434090967
nerve,AutoGeneS,0.6541914005560991,0.39839384473820355
lung,AutoGeneS,0.6038943278129865,0.31600558568624976
heart,AutoGeneS,0.4240286650060201,0.34799379902606614
bowel,AutoGeneS,0.4355900417586595,0.37626002279376614
brain,AutoGeneS,0.9385211765314805,0.10680352296100461
pancreas,AutoGeneS,0.9173942838195313,0.12595322505166232
pleurae,AutoGeneS,0.535012234521896,0.3437814266228794
thyroid,AutoGeneS,0.8380078410195515,0.21350298845234703
vein,AutoGeneS,0.6322155539663512,0.3249871482111331
