tissue,setting,cor_spearman,RMSE
adipocyte,MCP-counter,0.8846411971237819,0.6383508447259255
artery,MCP-counter,0.8712379280885769,0.7585989771366752
bladder,MCP-counter,0.8936980143693978,1.1479261291403056
bone,MCP-counter,0.8933235492572935,0.3871489882334234
bowel,MCP-counter,0.8751254875549155,0.3433497687290557
brain,MCP-counter,0.9857486243215834,1.079866964061725
heart,MCP-counter,0.9294754043208127,0.9419140958956983
kidney,MCP-counter,0.9461562109849604,0.6008331867490098
liver,MCP-counter,0.8815762517999077,0.7615347448313826
lung,MCP-counter,0.3142376731639708,0.3355842336756365
lymph_node,MCP-counter,0.8717452166353623,1.1953765485139876
salivary_gland,MCP-counter,-0.21006899588943012,0.5580193366194777
skin,MCP-counter,-0.7560552424982652,1.1299499336790735
spleen,MCP-counter,-0.90885281955886,1.2475815354813196
