tissue,setting,cor_spearman,RMSE
adipocyte,RLE,0.8411894540537223,0.2771555946061976
artery,RLE,0.6888472040260372,0.29631858411071527
bladder,RLE,0.6554963637618038,0.2807396578950768
bone,RLE,0.8700668052647562,0.24361576834233387
bowel,RLE,0.8147890584209011,0.2794265437287279
brain,RLE,0.9436600639599458,0.17008401085575178
heart,RLE,0.8973313157401847,0.20815380007877576
kidney,RLE,0.9142515265170907,0.2815909047224364
liver,RLE,0.8580701254003733,0.22029638923885772
lung,RLE,0.5569743656442699,0.307661621145333
lymph_node,RLE,0.835545437214843,0.274922332827833
nerve,RLE,0.813635166433512,0.3245008553597473
pancreas,RLE,0.8411439844838065,0.27412485898395106
salivary_gland,RLE,0.9072159228444728,0.23919710207681114
skin,RLE,0.9115918280717316,0.1938355763759706
spleen,RLE,0.8616449995775686,0.3184397240088305
stomach,RLE,0.6515142310835387,0.3494717258531844
