tissue,setting,cor_spearman,RMSE
adipocyte,RNAAtlas,0.7625177043292249,0.2537244944575636
bladder,RNAAtlas,0.7468665106421444,0.23851654218337295
bowel,RNAAtlas,0.7739639169363924,0.27322221038348277
brain,RNAAtlas,0.9582760383866293,0.158349670331846
heart,RNAAtlas,0.8400600824909653,0.21852641218231186
kidney,RNAAtlas,0.7461587615765078,0.2767165704768695
liver,RNAAtlas,0.8683463056545107,0.23777805204694524
lung,RNAAtlas,0.8171828468392496,0.22203354563900993
lymph_node,RNAAtlas,0.804779481926869,0.22591732427086594
pancreas,RNAAtlas,0.7491205305316352,0.24916522882305153
spleen,RNAAtlas,0.6536082293792995,0.27539530467438567
stomach,RNAAtlas,0.8183401068490339,0.27536646171306195
