tissue,setting,cor_spearman,RMSE
adipocyte,AutoGeneS_sig,0.746971840542697,0.36759424432083226
artery,AutoGeneS_sig,0.6377170007255742,0.3324458618684411
bladder,AutoGeneS_sig,0.6637273218602071,0.33752809162194364
bone,AutoGeneS_sig,0.8256429581482904,0.2852227128953171
bowel,AutoGeneS_sig,0.7000485869957366,0.3727724541602159
brain,AutoGeneS_sig,0.9311839289146001,0.21361715264252648
heart,AutoGeneS_sig,0.8195976882121,0.2660869367046792
kidney,AutoGeneS_sig,0.7467308314513124,0.3856421216223787
liver,AutoGeneS_sig,0.8675036373614711,0.20509233283209158
lung,AutoGeneS_sig,0.6071402147710919,0.3409936999153327
lymph_node,AutoGeneS_sig,0.7431979946527665,0.2815357837773007
nerve,AutoGeneS_sig,0.57938251124968,0.45237956625262254
pancreas,AutoGeneS_sig,0.8244627543751745,0.31586652363831563
salivary_gland,AutoGeneS_sig,0.8614671988451753,0.31439995589892994
skin,AutoGeneS_sig,0.8924963953748464,0.2128752296690161
spleen,AutoGeneS_sig,0.7249822779642289,0.40348843605034884
stomach,AutoGeneS_sig,0.5928577951060674,0.3978778022797955
