tissue,setting,cor_spearman,RMSE
adipocyte,CIBERSORT_sig,0.8230697666119607,0.2760573985500798
artery,CIBERSORT_sig,0.6056091224095086,0.3045306387058659
bladder,CIBERSORT_sig,0.49687453119210845,0.3836903064845818
bone,CIBERSORT_sig,0.7262023891877384,0.28662065134158793
bowel,CIBERSORT_sig,0.5725081437310579,0.36473188118928107
brain,CIBERSORT_sig,0.9390210859026565,0.17529587817125075
heart,CIBERSORT_sig,0.8137594432081727,0.2730016006566277
kidney,CIBERSORT_sig,0.9109438998260998,0.26084032286622694
liver,CIBERSORT_sig,0.861088008939876,0.22071096496228668
lung,CIBERSORT_sig,0.7513838236874599,0.3198372008959762
lymph_node,CIBERSORT_sig,0.5744730344105309,0.3873066245814626
nerve,CIBERSORT_sig,0.8563202167190305,0.2900888117108022
pancreas,CIBERSORT_sig,0.8990186914051255,0.28087643990388317
salivary_gland,CIBERSORT_sig,0.9252674092189634,0.22320609635176386
skin,CIBERSORT_sig,0.8259922509122514,0.2825252130174791
spleen,CIBERSORT_sig,0.8579708178310024,0.3561565840297651
stomach,CIBERSORT_sig,0.3405297222281874,0.36838346516336973
