tissue,setting,cor_spearman,RMSE
adipocyte,miRTA2.TSI_0.9,0.7543630581484805,0.2703447635552992
bladder,miRTA2.TSI_0.9,0.44969949752548455,0.4090109872052752
bone,miRTA2.TSI_0.9,0.7250038614272659,0.27396717151527433
bowel,miRTA2.TSI_0.9,0.7111193283748097,0.39440676053478163
brain,miRTA2.TSI_0.9,0.8508222681938348,0.18470875845352053
heart,miRTA2.TSI_0.9,0.8431164047900904,0.2462261314129728
kidney,miRTA2.TSI_0.9,0.8194477417418784,0.4009171556351325
liver,miRTA2.TSI_0.9,0.843016496690927,0.21417545270997734
nerve,miRTA2.TSI_0.9,0.8586624504180852,0.23738232146338317
pancreas,miRTA2.TSI_0.9,0.9217932301224301,0.15278652039658744
skin,miRTA2.TSI_0.9,0.890446748651865,0.1715809397971939
spleen,miRTA2.TSI_0.9,0.8138677957527811,0.2644676178560463
stomach,miRTA2.TSI_0.9,0.6729103514888637,0.38006509258146437
