tissue,setting,cor_spearman,RMSE
liver,miRTA2.source,0.8413668491179359,0.21479541672520466
heart,miRTA2.source,0.848933749856186,0.23755773608911182
brain,miRTA2.source,0.8483556537815943,0.18915941404708095
spleen,miRTA2.source,0.821453000728424,0.263032543533916
kidney,miRTA2.source,0.8168470832305018,0.4005373093201428
nerve,miRTA2.source,0.860806249134071,0.2372050102232535
bone,miRTA2.source,0.7294110450726321,0.2752493559890153
skin,miRTA2.source,0.8873003486687635,0.17344006874796916
pancreas,miRTA2.source,0.919935916240388,0.15394309550806815
adipocyte,miRTA2.source,0.7648095917950831,0.27038517993766015
bowel,miRTA2.source,0.7081197325739261,0.3940660389276909
bladder,miRTA2.source,0.4563338382425984,0.41152625595425124
stomach,miRTA2.source,0.663136733099101,0.38132232340580635
