tissue,setting,cor_spearman,RMSE
adipocyte,miRTA2*,0.8559293705969921,0.27305053400876816
artery,miRTA2*,0.7394410896237005,0.24759556902588234
bladder,miRTA2*,0.6721297029857026,0.26102716108692453
bone,miRTA2*,0.8855118667887809,0.22063328745233637
bowel,miRTA2*,0.82494938595612,0.269789735882729
brain,miRTA2*,0.9350829191876003,0.17060485185559532
heart,miRTA2*,0.89442609104639,0.1944241993902553
kidney,miRTA2*,0.9105030460739605,0.2624621495989481
liver,miRTA2*,0.9005440750529762,0.172128236498622
lung,miRTA2*,0.7419203767593213,0.3196755656443062
lymph_node,miRTA2*,0.8429283899694886,0.2574202875190548
nerve,miRTA2*,0.8549176569380058,0.30156226080677684
pancreas,miRTA2*,0.8471891837150811,0.25947822801956394
salivary_gland,miRTA2*,0.9241656832552269,0.2278483892159042
skin,miRTA2*,0.8961265209846456,0.19422221135788753
spleen,miRTA2*,0.8774010991272597,0.30189439132146545
stomach,miRTA2*,0.7097782852401587,0.32266071177280864
