tissue,setting,cor_spearman,RMSE
adipocyte,0.1,0.8702282279670663,0.2625769338589546
artery,0.1,0.7352746782694215,0.250212241961008
bladder,0.1,0.6703876565754799,0.2646213410237523
bone,0.1,0.9148333978066732,0.1991157979737381
bowel,0.1,0.8165824953164563,0.2691775584579479
brain,0.1,0.9392031020505741,0.16686920957072907
heart,0.1,0.9221390137923685,0.1805512236683215
kidney,0.1,0.9129872583990036,0.2562648509937562
liver,0.1,0.9019739995107308,0.1732031171834029
lung,0.1,0.7464561154550812,0.31637506744642135
lymph_node,0.1,0.8428785851759529,0.25266347338779627
nerve,0.1,0.8723554720253754,0.28570170919534765
pancreas,0.1,0.8499038983068756,0.2530169493546474
salivary_gland,0.1,0.9214449925177741,0.22395136565436638
skin,0.1,0.8964073384135378,0.1980670505208243
spleen,0.1,0.8829967414258457,0.2921656352957546
stomach,0.1,0.7072588889005811,0.3207715240622178
