tissue,setting,cor_spearman,RMSE
adipocyte,TMM*,0.8559293705969921,0.27305053400876816
artery,TMM*,0.7394410896237005,0.24759556902588234
bladder,TMM*,0.6721297029857026,0.26102716108692453
bone,TMM*,0.8855118667887809,0.22063328745233637
bowel,TMM*,0.82494938595612,0.269789735882729
brain,TMM*,0.9350829191876003,0.17060485185559532
heart,TMM*,0.89442609104639,0.1944241993902553
kidney,TMM*,0.9105030460739605,0.2624621495989481
liver,TMM*,0.9005440750529762,0.172128236498622
lung,TMM*,0.7419203767593213,0.3196755656443062
lymph_node,TMM*,0.8429283899694886,0.2574202875190548
nerve,TMM*,0.8549176569380058,0.30156226080677684
pancreas,TMM*,0.8471891837150811,0.25947822801956394
salivary_gland,TMM*,0.9241656832552269,0.2278483892159042
skin,TMM*,0.8961265209846456,0.19422221135788753
spleen,TMM*,0.8774010991272597,0.30189439132146545
stomach,TMM*,0.7097782852401587,0.32266071177280864
