tissue,setting,cor_spearman,RMSE
adipocyte,xCell,0.7141592314214119,0.5012213890243338
artery,xCell,-0.5480118518009274,0.555640131926651
bladder,xCell,0.6980218550140455,0.465741973368684
bone,xCell,0.6891166898851716,0.4713654108432885
bowel,xCell,0.9400511037299357,0.2403270545361824
brain,xCell,0.9847220820965785,0.12132326100992555
esophagus,xCell,-0.03561814768598439,0.5556519872876365
heart,xCell,0.9713996437828637,0.19814655899459271
kidney,xCell,0.06996787625829379,0.5555240303078209
liver,xCell,-0.7153131107520249,0.4826100719173997
lung,xCell,0.008755356942233408,0.5538339894739468
lymph_node,xCell,0.13801682790477293,0.555572152547336
muscle,xCell,-0.1666835725816224,0.5556170046019802
nerve,xCell,-0.36721335047307446,0.5522187976908602
pancreas,xCell,-0.2932962512752659,0.5556526731510635
pleurae,xCell,-0.494047912230721,0.43675941552556524
salivary_gland,xCell,0.5216024855667074,0.531449663311997
skin,xCell,0.4344069459669588,0.5556478026168193
spleen,xCell,-0.2573589786670615,0.5548757668583499
stomach,xCell,-0.23748865095854368,0.5543016633191025
testis,xCell,-0.6604369726658551,0.555644508787494
thyroid,xCell,-0.05592099261948226,0.5556526684793255
vein,xCell,-0.619901344163446,0.5506850970485602
