"strata","time","surv","event","n.risk","n.event","n.censor"
"heart_change_prop.bi=FALSE",1,1,0,203,0,1
"heart_change_prop.bi=FALSE",2,0.995203335378313,0.00479666462168704,202,1,5
"heart_change_prop.bi=FALSE",3,0.970572524114978,0.0294274758850218,196,5,87
"heart_change_prop.bi=FALSE",4,0.970572524114978,0.0294274758850218,104,0,20
"heart_change_prop.bi=FALSE",5,0.970572524114978,0.0294274758850218,84,0,15
"heart_change_prop.bi=FALSE",6,0.970572524114978,0.0294274758850218,69,0,15
"heart_change_prop.bi=FALSE",7,0.953589206379469,0.0464107936205315,54,1,10
"heart_change_prop.bi=FALSE",8,0.953589206379469,0.0464107936205315,43,0,11
"heart_change_prop.bi=FALSE",9,0.953589206379469,0.0464107936205315,32,0,16
"heart_change_prop.bi=FALSE",10,0.953589206379469,0.0464107936205315,16,0,7
"heart_change_prop.bi=FALSE",11,0.953589206379469,0.0464107936205315,9,0,4
"heart_change_prop.bi=FALSE",12,0.953589206379469,0.0464107936205315,5,0,1
"heart_change_prop.bi=FALSE",13,0.953589206379469,0.0464107936205315,4,0,3
"heart_change_prop.bi=FALSE",14,0.953589206379469,0.0464107936205315,1,0,1
"heart_change_prop.bi=TRUE",1,0.960447599771485,0.0395524002285147,51,2,0
"heart_change_prop.bi=TRUE",2,0.940581853116924,0.0594181468830757,49,1,3
"heart_change_prop.bi=TRUE",3,0.919433641507664,0.080566358492336,45,1,12
"heart_change_prop.bi=TRUE",4,0.889741563519517,0.110258436480483,32,1,6
"heart_change_prop.bi=TRUE",5,0.853529247858711,0.146470752141289,25,1,3
"heart_change_prop.bi=TRUE",6,0.853529247858711,0.146470752141289,21,0,3
"heart_change_prop.bi=TRUE",7,0.853529247858711,0.146470752141289,18,0,2
"heart_change_prop.bi=TRUE",8,0.853529247858711,0.146470752141289,16,0,5
"heart_change_prop.bi=TRUE",9,0.853529247858711,0.146470752141289,11,0,3
"heart_change_prop.bi=TRUE",10,0.853529247858711,0.146470752141289,8,0,1
"heart_change_prop.bi=TRUE",11,0.853529247858711,0.146470752141289,7,0,2
"heart_change_prop.bi=TRUE",12,0.853529247858711,0.146470752141289,5,0,3
"heart_change_prop.bi=TRUE",13,0.853529247858711,0.146470752141289,2,0,1
"heart_change_prop.bi=TRUE",14,0.853529247858711,0.146470752141289,1,0,1
