"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","tissue","n_miRNA","n_targets","collection","term"
"GO:0033002","muscle cell proliferation","65/1645","172/11178",0.377906976744186,2.56792959638086,8.60809016390131,5.35561821533431e-14,2.88400040895753e-10,2.12138856255821e-10,"GJA1/IL6R/TGFB2/PIK3R1/STAT3/FGF2/MEF2C/PRKCA/TNFAIP3/RGS5/PPARGC1A/MYH10/PTEN/SOD2/NOTCH1/CDKN1A/IGFBP5/ERBB4/KLF4/CTNNBIP1/STAT1/HBEGF/MDM2/VGLL4/NDRG2/PDGFD/MYOCD/IGF1/KRAS/IRAK1/MMP9/AKT1/MMP2/NPR1/PDGFB/MAP3K7/TERT/TNF/TLR4/DNMT1/TGFBR1/GATA6/BMP2/FGF9/MAPK14/BMPR2/RUNX1/TGFBR3/YAP1/PPARG/IFNG/NF1/AKIRIN1/PHB1/SMAD1/FOXP1/TRIB1/XRCC6/XRCC5/SKI/PRKAR1A/TPM1/JARID2/FOXC1/RBPJ",65,"artery",10,1750,"go_bp","muscle cell proliferation___artery"
"GO:0030335","positive regulation of cell migration","122/1645","440/11178",0.277272727272727,1.8841061066593,7.8595885058133,4.44249992919681e-13,1.19614310593624e-09,8.79848801766716e-10,"CXCL12/BCL2/IL6R/TGFB2/SWAP70/ADAM9/PIK3R1/SIRT1/ADAM17/STAT3/LPAR1/FGF2/FLNA/HAS2/SMAD3/PRKCA/DOCK4/SPRY2/MCU/ZNF268/SEMA6D/FUT4/MGAT5/CCL8/CXCL8/ACTN4/ATP5F1A/SOD2/NOTCH1/TGFBR2/VEGFA/SP1/IRS2/EGFR/PODXL/EZH2/HIF1A/ETS1/AGO2/IGFBP5/PPP3CA/ARF6/HBEGF/FGF10/IGF1R/MDM2/MMP14/NEDD9/SERPINE1/RREB1/SOX9/PDGFD/TIRAP/IGF1/CD40/SRPX2/CAMK1D/COL1A1/PTGS2/CXCR4/AKT2/MMP9/AKT1/STAT5A/ABL2/CCR6/ITGB1/MMP2/PDGFB/PDGFRA/MAPK1/MAP3K7/TERT/TNF/HRAS/TLR4/TGFBR1/BMP2/FGF9/PROX1/HDAC7/RAP2A/PREX1/BMPR2/RHOA/MET/TGFBR3/APC/FADD/WNK1/GATA2/GATA3/GSK3B/IFNG/MYO1C/NFE2L2/PIK3CG/SUN2/NUS1/AKIRIN1/SEMA6A/PINK1/SEMA7A/HMGB1/FOXP1/ATM/PTP4A1/FLT1/MTOR/CUL5/ACKR3/CCN1/FN1/ITGA6/ATP8A1/NCKAP1L/RAB25/NRP1/ANGPTL3/TCAF2/STK4/CLASP1",122,"artery",10,1750,"go_bp","positive regulation of cell migration___artery"
"GO:2000147","positive regulation of cell motility","123/1645","453/11178",0.271523178807947,1.84503713842871,7.62705761014809,1.74386739180335e-12,3.13024196828701e-09,2.30251684047579e-09,"CXCL12/BCL2/IL6R/TGFB2/SWAP70/ADAM9/PIK3R1/SIRT1/ADAM17/STAT3/LPAR1/FGF2/FLNA/HAS2/SMAD3/PRKCA/DOCK4/SPRY2/MCU/ZNF268/SEMA6D/FUT4/MGAT5/CCL8/CXCL8/ACTN4/ATP5F1A/SOD2/NOTCH1/TGFBR2/VEGFA/SP1/IRS2/EGFR/PODXL/EZH2/HIF1A/ETS1/AGO2/IGFBP5/PPP3CA/CCDC25/ARF6/HBEGF/FGF10/IGF1R/MDM2/MMP14/NEDD9/SERPINE1/RREB1/SOX9/PDGFD/TIRAP/IGF1/CD40/SRPX2/CAMK1D/COL1A1/PTGS2/CXCR4/AKT2/MMP9/AKT1/STAT5A/ABL2/CCR6/ITGB1/MMP2/PDGFB/PDGFRA/MAPK1/MAP3K7/TERT/TNF/HRAS/TLR4/TGFBR1/BMP2/FGF9/PROX1/HDAC7/RAP2A/PREX1/BMPR2/RHOA/MET/TGFBR3/APC/FADD/WNK1/GATA2/GATA3/GSK3B/IFNG/MYO1C/NFE2L2/PIK3CG/SUN2/NUS1/AKIRIN1/SEMA6A/PINK1/SEMA7A/HMGB1/FOXP1/ATM/PTP4A1/FLT1/MTOR/CUL5/ACKR3/CCN1/FN1/ITGA6/ATP8A1/NCKAP1L/RAB25/NRP1/ANGPTL3/TCAF2/STK4/CLASP1",123,"artery",10,1750,"go_bp","positive regulation of cell motility___artery"
"GO:0040017","positive regulation of locomotion","124/1645","462/11178",0.268398268398268,1.82380294477559,7.5120549391098,3.36194200574072e-12,4.52601442522845e-09,3.32920730726377e-09,"CXCL12/BCL2/IL6R/TGFB2/SWAP70/ADAM9/PIK3R1/SIRT1/ADAM17/STAT3/LPAR1/FGF2/FLNA/HAS2/SMAD3/PRKCA/DOCK4/SPRY2/MCU/ZNF268/SEMA6D/FUT4/MGAT5/CCL8/CXCL8/ACTN4/ATP5F1A/SOD2/NOTCH1/TGFBR2/VEGFA/SP1/IRS2/EGFR/PODXL/EZH2/HIF1A/ETS1/AGO2/IGFBP5/PPP3CA/CCDC25/ARF6/HBEGF/FGF10/IGF1R/MDM2/MMP14/NEDD9/SERPINE1/RREB1/SOX9/PDGFD/TIRAP/IGF1/CD40/SRPX2/CAMK1D/COL1A1/PTGS2/CXCR4/AKT2/MMP9/AKT1/STAT5A/ABL2/CCR6/ITGB1/MMP2/PDGFB/PDGFRA/MAPK1/MAP3K7/TERT/TNF/HRAS/TLR4/TGFBR1/BMP2/FGF9/PROX1/HDAC7/RAP2A/PREX1/BMPR2/RHOA/MET/TGFBR3/APC/FADD/WNK1/GATA2/GATA3/GSK3B/IFNG/MYO1C/NFE2L2/PIK3CG/SUN2/VPS35/NUS1/AKIRIN1/SEMA6A/PINK1/SEMA7A/HMGB1/FOXP1/ATM/PTP4A1/FLT1/MTOR/CUL5/ACKR3/CCN1/FN1/ITGA6/ATP8A1/NCKAP1L/RAB25/NRP1/ANGPTL3/TCAF2/STK4/CLASP1",124,"artery",10,1750,"go_bp","positive regulation of locomotion___artery"
"GO:0070482","response to oxygen levels","84/1645","272/11178",0.308823529411765,2.09849812265332,7.61871634451363,5.45978568442833e-12,5.88018918212931e-09,4.32529969063238e-09,"CXCL12/BCL2/VCAM1/FAS/APAF1/MYC/TGFB2/SIRT1/FOXO3/ADAM17/EGLN3/STAT3/LPAR1/SMAD3/TSC1/SDHD/TBL2/SOD2/NOTCH1/VEGFA/DNMT3A/HIF1A/CCNA2/BNIP3/EPAS1/HDAC2/SMAD4/MDM2/MMP14/SOX2/AGTRAP/CPEB4/MYOCD/ANGPT2/NDUFS2/TM9SF4/COL1A1/IRAK1/PTGS2/CXCR4/AKT1/BBC3/ABAT/HK2/MMP2/MT-CO2/MAP3K7/TERT/TNF/UCK2/NOS1/GATA6/ADA/BMP2/EP300/PIN1/MT-CYB/TGFBR3/CREB1/RPTOR/TP53/PPARG/FOXO1/ZFP36L1/NF1/NFE2L2/PDK1/PMAIP1/SFRP1/TMBIM6/NPEPPS/HIPK2/PINK1/CREBBP/MTOR/BECN1/DDAH1/UBQLN1/WTIP/CD38/SLC7A5/STC2/DDIT4/GUCY1A2",84,"artery",10,1750,"go_bp","response to oxygen levels___artery"
"GO:0048660","regulation of smooth muscle cell proliferation","45/1645","114/11178",0.394736842105263,2.68229083346665,7.49942905008134,7.59643085740461e-11,6.81779669452063e-08,5.01497707305501e-08,"GJA1/IL6R/PIK3R1/FGF2/MEF2C/PRKCA/TNFAIP3/RGS5/PPARGC1A/PTEN/SOD2/CDKN1A/IGFBP5/KLF4/CTNNBIP1/STAT1/HBEGF/MDM2/NDRG2/PDGFD/MYOCD/IGF1/IRAK1/MMP9/AKT1/MMP2/NPR1/PDGFB/MAP3K7/TERT/TNF/TLR4/DNMT1/BMP2/FGF9/BMPR2/PPARG/IFNG/NF1/PHB1/FOXP1/TRIB1/XRCC6/XRCC5/TPM1",45,"artery",10,1750,"go_bp","regulation of smooth muscle cell proliferation___artery"
"GO:0030099","myeloid cell differentiation","100/1645","363/11178",0.275482093663912,1.87193850636791,7.01546864676626,9.38200893723063e-11,7.21744544671242e-08,5.30894731290208e-08,"POU4F2/SMAD5/MYC/PIK3R1/SIRT1/FOXO3/STAT3/FLNA/HMGB2/MEF2C/PRKCA/PTPN11/KLF10/TMEM64/CDK6/TGFBR2/VEGFA/FAM3C/HIF1A/ETS1/JAG1/CTNNBIP1/CBFB/PPP3CA/STAT1/EPAS1/FLI1/HOXA9/ITGB8/NEDD9/TMOD3/SENP1/TIRAP/TRAF6/RCOR1/MMP9/TLR2/STAT5A/GLUL/TNF/KAT7/RPS19/EPB42/LILRB1/EEIG1/TLR4/BMP2/EP300/OSTM1/MAPK14/ADAR/SP3/RUNX1/TGFBR3/ZFP36/CREB1/RPTOR/PPARG/FADD/FBXW7/ZFP36L1/GATA2/GATA3/IFNG/LBR/NF1/PKNOX1/RARA/SFRP1/DYRK3/HIPK2/PITHD1/SFXN1/SPIB/RXRA/FASN/NEMP1/RB1/HMGB1/FOXP1/TRIB1/MTOR/PAFAH1B1/QKI/CDC73/ZBTB7A/H4C3/H4C15/THRA/FSTL3/RACGAP1/NCKAP1L/TPM4/PURB/NFE2L1/ACVR2A/PARP1/RBPJ/NPM1/JAGN1",100,"artery",10,1750,"go_bp","myeloid cell differentiation___artery"
"GO:0048659","smooth muscle cell proliferation","45/1645","116/11178",0.387931034482759,2.63604443978619,7.3576316871206,1.50640494645397e-10,1.01399882958183e-07,7.4586865967188e-08,"GJA1/IL6R/PIK3R1/FGF2/MEF2C/PRKCA/TNFAIP3/RGS5/PPARGC1A/PTEN/SOD2/CDKN1A/IGFBP5/KLF4/CTNNBIP1/STAT1/HBEGF/MDM2/NDRG2/PDGFD/MYOCD/IGF1/IRAK1/MMP9/AKT1/MMP2/NPR1/PDGFB/MAP3K7/TERT/TNF/TLR4/DNMT1/BMP2/FGF9/BMPR2/PPARG/IFNG/NF1/PHB1/FOXP1/TRIB1/XRCC6/XRCC5/TPM1",45,"artery",10,1750,"go_bp","smooth muscle cell proliferation___artery"
"GO:0001503","ossification","95/1645","342/11178",0.277777777777778,1.88753799392097,6.92462546391438,1.71879204860517e-10,1.02841057574876e-07,7.56469529696051e-08,"BCL2/DDX5/SMAD5/IL6R/FBN2/FGF2/LRP5/SMAD3/MEF2C/PTPN11/KLF10/TMEM64/PTEN/BCAP29/NOTCH1/CDK6/VEGFA/EGFR/HIF1A/JAG1/IGFBP5/CTNNBIP1/SMAD2/CBFB/PPP3CA/ILK/SMAD4/MMP14/MAP2K6/SOX2/SOX9/SOX11/KREMEN1/IGF1/CCN2/SP7/COL1A1/TRAF6/MMP13/AKT1/MMP2/MAPK1/TNF/OSTF1/BMP2/CEBPD/FGF9/HDAC7/MAPK14/ADAR/BMPR2/SP3/RUNX1/RHOA/YAP1/PPARG/PEX7/TP53INP2/FHL2/GSK3B/ID4/NF1/SFRP1/SUCO/RXRA/FASN/FZD9/H3-3B/PHB1/SEMA7A/SMAD1/ID1/EGR2/FGFR3/IGF2/SMAD7/SMAD9/RPS15/DDX21/FBXL15/CCN1/H3-3A/IARS1/ACVR2B/SKI/THRA/FSTL3/CHRDL1/ZBTB40/TPM4/SHOX2/MMP16/ACVR2A/FOXC1/RBPJ",95,"artery",10,1750,"go_bp","ossification___artery"
"GO:0001649","osteoblast differentiation","65/1645","204/11178",0.318627450980392,2.16511711067406,6.97642558526286,3.32376138383846e-10,1.72276249667193e-07,1.26721502711753e-07,"DDX5/SMAD5/IL6R/FBN2/FGF2/LRP5/SMAD3/MEF2C/TMEM64/PTEN/BCAP29/NOTCH1/CDK6/VEGFA/JAG1/IGFBP5/CTNNBIP1/CBFB/PPP3CA/ILK/SMAD4/MAP2K6/SOX2/SOX9/SOX11/IGF1/CCN2/SP7/COL1A1/AKT1/TNF/BMP2/CEBPD/FGF9/HDAC7/MAPK14/ADAR/BMPR2/YAP1/PPARG/TP53INP2/FHL2/GSK3B/ID4/NF1/SFRP1/SUCO/FASN/H3-3B/PHB1/SEMA7A/SMAD1/ID1/IGF2/SMAD9/RPS15/DDX21/CCN1/H3-3A/IARS1/ACVR2B/SKI/TPM4/SHOX2/ACVR2A",65,"artery",10,1750,"go_bp","osteoblast differentiation___artery"
