"analysis_id","pair_id","construct_x","construct_y","analysis_type","k","N","mean_r","var_r","var_e","var_res","sd_r","se_r","sd_e","sd_res","CI_LL_95","CI_UL_95","CR_LL_80","CR_UL_80"
1,1,"adipocyte","adipocyte","Overall",3,1799,1,2.0584815432539e-06,4.7103904635399e-09,2.05377115279036e-06,0.00143474093245223,0.00082834806356867,6.86322844114918e-05,0.00143309844490543,0.997273823001353,1.00440201111515,0.998135640715581,1.00354019340092
2,2,"adipocyte","artery","Overall",3,1799,-0.111259329459749,0.184759778684372,0.00163460181664765,0.183125176867724,0.429836921034445,0.248166462066877,0.0404302092085565,0.427931275869998,-1.17903343490406,0.956514775984564,-0.918174281591713,0.695655622672215
3,3,"adipocyte","bladder","Overall",3,1799,-0.113394892549653,0.0745130699227445,0.00163301410002684,0.0728800558227177,0.272970822475122,0.157599777836925,0.0404105691623719,0.269963063811918,-0.791492006867608,0.564702221768302,-0.622442127459797,0.395652342360491
4,4,"adipocyte","bone","Overall",3,1799,0.091511881232115,0.0185412962707169,0.00164788335214041,0.0168934129185765,0.136166428574436,0.0786157241920405,0.0405941295280538,0.12997466260228,-0.246744279063999,0.429768041528229,-0.1535706929239,0.33659445538813
5,5,"adipocyte","bowel","Overall",3,1799,-0.207342577271394,0.0561713538228183,0.00153484004631785,0.0546365137765005,0.237004965818901,0.13683488081482,0.039177034679999,0.233744548121449,-0.796095550734223,0.381410396191436,-0.648095524050226,0.233410369507438
6,6,"adipocyte","brain","Overall",3,1799,0.365765599971516,0.0577288444369693,0.00125742750200834,0.056471416934961,0.240268275968696,0.138718953808254,0.035460224223887,0.23763715394475,-0.231093885299556,0.962625085242589,-0.0823273147383622,0.813858514681395
7,7,"adipocyte","heart","Overall",3,1799,-0.229290897067295,0.00760270778383192,0.00150425455722133,0.00609845322661059,0.08719350769313,0.0503411951382163,0.0387847206670531,0.0780925939293259,-0.445891577747591,-0.0126902163869978,-0.376543704341625,-0.0820380897929645
8,8,"adipocyte","kidney","Overall",3,1799,-0.226951394942232,0.00122398579081963,0.00150764588473426,-0.000283660093914623,0.0349855082972884,0.0201988926331753,0.0388284159441801,0,-0.31386021546828,-0.140042574416184,-0.226951394942232,-0.226951394942232
9,9,"adipocyte","liver","Overall",3,1799,-0.408844540059005,0.037853942204177,0.0011624133368631,0.0366915288673139,0.194560895876271,0.11232978560794,0.0340941833288773,0.191550329854359,-0.892160598737178,0.0744715186191686,-0.770035305868438,-0.047653774249571
10,10,"adipocyte","lung","Overall",3,1799,-0.00803985091946687,0.149462356539015,0.00167561747433728,0.147786739064678,0.386603616820918,0.22320570224124,0.040934306813934,0.384430408610815,-0.968416474963384,0.95233677312445,-0.732928781114194,0.71684907927526
11,11,"adipocyte","lymph node","Overall",3,1799,-0.07661655224805,0.0041013663977029,0.00165621724788625,0.00244514914981665,0.0640419112589787,0.0369746147047895,0.0406966490989891,0.0494484494177184,-0.235705479139047,0.082472374642947,-0.169857442654526,0.0166243381584264
12,12,"adipocyte","nerve","Overall",3,1799,-0.163617683591298,0.0785693537399977,0.00158730848110223,0.0769820452588954,0.28030225425422,0.161832581948133,0.0398410401608972,0.277456384426265,-0.859927084072836,0.532691716890241,-0.686794459354801,0.359559092172205
13,13,"adipocyte","pancreas","Overall",3,1799,-0.144118643904143,0.0117511648172794,0.001606942307913,0.0101442225093664,0.108402789711701,0.0625863798209572,0.0400866849204695,0.100718531112037,-0.413406101885922,0.125168814077635,-0.334035327478729,0.0457980396704423
14,14,"adipocyte","salivary gland","Overall",3,1799,0.211891098815829,0.00882200053751327,0.00152872963290566,0.00729327090460761,0.0939255052555655,0.0542279157430724,0.0390989722742896,0.085400649321932,-0.0214327908847255,0.445214988516383,0.0508580901404355,0.372924107491222
15,15,"adipocyte","skin","Overall",3,1799,0.0231677105301309,0.0148668049486799,0.00167403561546413,0.0131927693332158,0.121929508113007,0.0703960343312034,0.0409149803307313,0.114859781182169,-0.279721978748558,0.32605739980882,-0.193413969895242,0.239749390955504
16,16,"adipocyte","spleen","Overall",3,1799,0.13104635270285,0.000358396952272963,0.00161876965863074,-0.00126037270635778,0.0189313748120141,0.0109300343438461,0.0402339366534116,0,0.0840182105970452,0.178074494808654,0.13104635270285,0.13104635270285
17,17,"adipocyte","stomach","Overall",3,1799,0.193655937697936,0.0493349163362273,0.00155249474031362,0.0477824215959136,0.222114646829576,0.128237951138014,0.0394017098653551,0.218591906519692,-0.358107432823519,0.745419308219392,-0.218524914068917,0.605836789464789
18,18,"artery","artery","Overall",3,1799,1,2.0584815432539e-06,4.7103904635399e-09,2.05377115279036e-06,0.00143474093245223,0.00082834806356867,6.86322844114918e-05,0.00143309844490543,0.997273823001353,1.00440201111515,0.998135640715581,1.00354019340092
19,19,"artery","bladder","Overall",3,1799,-0.447708144253308,0.0464245929508094,0.00107134745124085,0.0453532454995685,0.215463669677302,0.124398007688775,0.0327314443806083,0.212963014393506,-0.982949571610809,0.0875332831041935,-0.849275055238844,-0.046141233267771
20,20,"artery","bone","Overall",3,1799,-0.0388382320573159,0.0773221970293901,0.00167078224543703,0.0756514147839531,0.278068691206669,0.160543033721378,0.0408752033075926,0.275048022686863,-0.729599154340861,0.651922690226229,-0.557473757374202,0.47979729325957
21,21,"artery","bowel","Overall",3,1799,0.362747041516474,0.013678443741248,0.00126382005873889,0.0124146236825092,0.116954879082696,0.0675239309214347,0.0355502469574951,0.111420930181493,0.0722150158139486,0.653279067218999,0.152649720723283,0.572844362309665
22,22,"artery","brain","Overall",3,1799,-0.102553236450054,0.0496116329186111,0.00164076942961839,0.0479708634889927,0.222736689655322,0.128597087730906,0.0405064122037288,0.219022518223567,-0.655861847013269,0.45075537411316,-0.515546057432557,0.310439584532448
23,23,"artery","heart","Overall",3,1799,0.180906516839858,0.00330624293753457,0.00156793843919088,0.00173830449834369,0.0574999385872244,0.0331976050217209,0.0395972024162172,0.0416929790053876,0.0380687509720058,0.32374428270771,0.102289481686317,0.259523551993399
24,24,"artery","kidney","Overall",3,1799,0.21979342886921,0.0851336574709788,0.00151782888674226,0.0836158285842365,0.291776725375721,0.16845737093894,0.0389593234892787,0.289164016752148,-0.505020138047637,0.944606995786058,-0.325459470119014,0.765046327857435
25,25,"artery","liver","Overall",3,1799,0.315621039544197,0.0955651834271021,0.00135858228481291,0.0942066011422892,0.309136189125605,0.178479862007923,0.036858951216942,0.306930938717962,-0.452315825929502,1.0835579050179,-0.263133488784933,0.894375567873326
26,26,"artery","lung","Overall",3,1799,-0.677013784907649,0.0158207411766913,0.000491668366347259,0.0153290728103441,0.125780527812104,0.0726194215911312,0.0221735961527953,0.123810632864646,-0.989469937449556,-0.364557632365741,-0.910473353125219,-0.443554216690078
27,27,"artery","lymph node","Overall",3,1799,0.269150168797925,0.0377898588311959,0.00144182766153732,0.0363480311696586,0.194396138930782,0.112234663141111,0.0379714058409393,0.190651596294546,-0.213756610938687,0.752056948534537,-0.0903459287591777,0.628646266355028
28,28,"artery","nerve","Overall",3,1799,-0.079368655561455,0.119624674194898,0.00165478717382037,0.117969887021077,0.345868001114439,0.199686983547499,0.040679075380598,0.343467446814217,-0.938552400417538,0.779815089294628,-0.727017084252556,0.568279773129646
29,29,"artery","pancreas","Overall",3,1799,0.0061123540161456,0.031353521648333,0.00167570889759055,0.0296778127507424,0.177069256643645,0.102230982988415,0.0409354235056943,0.172272495630447,-0.43375206400393,0.445976772036221,-0.318727778976438,0.33095248700873
30,30,"artery","salivary gland","Overall",3,1799,0.206047891195314,0.0230706777865467,0.00153655725640177,0.021534120530145,0.151890347904489,0.0876939332499627,0.0391989445827534,0.146745086902918,-0.171268650085105,0.583364432475733,-0.0706572982843194,0.482753080674948
31,31,"artery","skin","Overall",3,1799,0.350402087963615,0.0312512024682091,0.00128957459757462,0.0299616278706345,0.176780096357619,0.102064036219439,0.0359106474123569,0.173094274517196,-0.0887440160852036,0.789548192012434,0.0240123938418144,0.676791782085416
32,32,"artery","spleen","Overall",3,1799,-0.171260202593765,0.00372855369603636,0.00157897113626226,0.0021495825597741,0.0610618841507234,0.0352540952516459,0.0397362697829358,0.0463635908852421,-0.322946331763107,-0.0195740734244238,-0.258684227967401,-0.0838361772201296
33,33,"artery","stomach","Overall",3,1799,0.136259459629836,0.0670417405834176,0.00161418259164183,0.0654275579917758,0.258924198528098,0.149489955719905,0.0401768912640317,0.25578811151376,-0.50694390641854,0.779462825678212,-0.346059228898912,0.618578148158584
34,34,"bladder","bladder","Overall",3,1799,1,2.0584815432539e-06,4.7103904635399e-09,2.05377115279036e-06,0.00143474093245223,0.00082834806356867,6.86322844114918e-05,0.00143309844490543,0.997273823001353,1.00440201111515,0.998135640715581,1.00354019340092
35,35,"bladder","bone","Overall",3,1799,-0.200135090129359,0.0278267032488523,0.00154427480146059,0.0262824284473917,0.166813378506798,0.0963097489853309,0.0392972620097201,0.162118562932786,-0.614522494502579,0.21425231424386,-0.505828784012002,0.105558603753284
36,36,"bladder","bowel","Overall",3,1799,-0.363742256040135,0.022462348775525,0.00126171650684516,0.0212006322686799,0.149874443370192,0.086530050224426,0.0355206490206072,0.145604368988983,-0.73605101284362,0.00856650076334892,-0.638296487193464,-0.0891880248868074
37,37,"bladder","brain","Overall",3,1799,0.249744244804896,0.0591424841892141,0.0014733027163731,0.057669181472841,0.24319227822695,0.140407127299168,0.0383836256282949,0.240144084817513,-0.354378864745148,0.85386735435494,-0.203075784091907,0.702564273701699
38,38,"bladder","heart","Overall",3,1799,-0.0751224502714527,0.029255153325725,0.00165697274210296,0.0275981805836221,0.171041378986855,0.0987507862006256,0.0407059300606553,0.166127001368297,-0.50001279008248,0.349767889539575,-0.388374528153345,0.238129627610439
