"x_name","y_name","rxyi","n","sample_id"
"bladder","bladder",1,160,"SY"
"lymph node","bladder",0.10883987638088,160,"SY"
"salivary gland","bladder",-0.296676808274518,160,"SY"
"spleen","bladder",0.200406637576914,160,"SY"
"adipocyte","bladder",-0.551684521439561,160,"SY"
"artery","bladder",-0.71162493318506,160,"SY"
"bone","bladder",-0.542213984409856,160,"SY"
"skin","bladder",0.139339261784597,160,"SY"
"stomach","bladder",-0.45676549329495,160,"SY"
"kidney","bladder",0.148592634565581,160,"SY"
"liver","bladder",0.218159736594967,160,"SY"
"nerve","bladder",-0.43164170012025,160,"SY"
"lung","bladder",0.742935940720487,160,"SY"
"heart","bladder",-0.389529114840309,160,"SY"
"bowel","bladder",-0.00421494057330809,160,"SY"
"brain","bladder",-0.318310695552068,160,"SY"
"pancreas","bladder",0.2389306098726,160,"SY"
"bladder","lymph node",0.10883987638088,160,"SY"
"lymph node","lymph node",1,160,"SY"
"salivary gland","lymph node",-0.0896179770334751,160,"SY"
"spleen","lymph node",0.329530246175299,160,"SY"
"adipocyte","lymph node",-0.0923572054647893,160,"SY"
"artery","lymph node",-0.0108432068292607,160,"SY"
"bone","lymph node",-0.312254009532399,160,"SY"
"skin","lymph node",-0.395475404409265,160,"SY"
"stomach","lymph node",-0.457683945477148,160,"SY"
"kidney","lymph node",-0.405525277247167,160,"SY"
"liver","lymph node",0.3407099541614,160,"SY"
"nerve","lymph node",-0.236877946264643,160,"SY"
"lung","lymph node",-0.0216667232540069,160,"SY"
"heart","lymph node",-0.225769304101108,160,"SY"
"bowel","lymph node",0.184467965630082,160,"SY"
"brain","lymph node",0.160549750771762,160,"SY"
"pancreas","lymph node",-0.305439012398747,160,"SY"
"bladder","salivary gland",-0.296676808274518,160,"SY"
"lymph node","salivary gland",-0.0896179770334751,160,"SY"
"salivary gland","salivary gland",1,160,"SY"
"spleen","salivary gland",-0.101914306279966,160,"SY"
"adipocyte","salivary gland",0.39263635389319,160,"SY"
"artery","salivary gland",0.447545190843702,160,"SY"
"bone","salivary gland",0.314506694411728,160,"SY"
"skin","salivary gland",0.160846268457173,160,"SY"
"stomach","salivary gland",0.473881224919299,160,"SY"
"kidney","salivary gland",-0.195778890899259,160,"SY"
"liver","salivary gland",-0.0262433060274238,160,"SY"
"nerve","salivary gland",0.0592961193485793,160,"SY"
"lung","salivary gland",-0.461701017835107,160,"SY"
"heart","salivary gland",-0.0786201696028894,160,"SY"
"bowel","salivary gland",-0.128292800788493,160,"SY"
"brain","salivary gland",0.102612109433705,160,"SY"
"pancreas","salivary gland",-0.351882682223644,160,"SY"
"bladder","spleen",0.200406637576914,160,"SY"
"lymph node","spleen",0.329530246175299,160,"SY"
"salivary gland","spleen",-0.101914306279966,160,"SY"
"spleen","spleen",1,160,"SY"
"adipocyte","spleen",0.127507910465253,160,"SY"
"artery","spleen",-0.11200273732135,160,"SY"
"bone","spleen",-0.176086956521739,160,"SY"
"skin","spleen",0.134639265523747,160,"SY"
"stomach","spleen",-0.275722750818591,160,"SY"
"kidney","spleen",-0.0790142950546175,160,"SY"
"liver","spleen",0.483883159498418,160,"SY"
"nerve","spleen",-0.13090979406418,160,"SY"
"lung","spleen",0.10306180147604,160,"SY"
"heart","spleen",-0.397881074704312,160,"SY"
"bowel","spleen",0.332421347945574,160,"SY"
"brain","spleen",-0.0151765964008491,160,"SY"
"pancreas","spleen",-0.26560000153013,160,"SY"
"bladder","adipocyte",-0.551684521439561,160,"SY"
"lymph node","adipocyte",-0.0923572054647893,160,"SY"
"salivary gland","adipocyte",0.39263635389319,160,"SY"
"spleen","adipocyte",0.127507910465253,160,"SY"
"adipocyte","adipocyte",1,160,"SY"
"artery","adipocyte",0.720735172911743,160,"SY"
"bone","adipocyte",0.32594632602836,160,"SY"
"skin","adipocyte",0.209194061212941,160,"SY"
"stomach","adipocyte",0.486234957200999,160,"SY"
"kidney","adipocyte",-0.27031485494172,160,"SY"
"liver","adipocyte",0.0411139106996367,160,"SY"
"nerve","adipocyte",0.321625810460218,160,"SY"
"lung","adipocyte",-0.735686899935459,160,"SY"
"heart","adipocyte",-0.182853734383981,160,"SY"
"bowel","adipocyte",0.242814767574835,160,"SY"
