"Organ_marker","study","Est","SE","t","P","CI_l","CI_h","weights"
"bladder (miR-3617-5p) miR-TS vs. cognitive impairment","NAS",-0.400743679733267,0.261729207805741,-1.53113855000358,0.125735154060222,-0.949160361956723,0.0912377556984973,100
"bladder (miR-3617-5p) miR-TS vs. cognitive impairment","pooled",-0.400743679733267,0.261729207805741,-1.53113855000358,0.125735154060222,-0.913723500734719,0.112236141268185,200
"lymph node (miR-150-5p) miR-TS vs. cognitive impairment","NAS",0.122058262590777,0.254832250132981,-0.478974943426832,0.637269023685634,-0.41029044220692,0.654406967388473,100
"lymph node (miR-150-5p) miR-TS vs. cognitive impairment","pooled",0.122058262590777,0.254832250132981,0.478974943426833,0.631956454159653,-0.377403769769168,0.621520294950722,200
"salivary gland (miR-3187-3p) miR-TS vs. cognitive impairment","NAS",-0.129230227648737,0.240107558632797,-0.538218073535838,0.590426503853677,-0.591895272017479,0.359536633288735,100
"salivary gland (miR-3187-3p) miR-TS vs. cognitive impairment","pooled",-0.129230227648737,0.240107558632797,-0.538218073535837,0.590426503853677,-0.599832394984858,0.341371939687384,200
"pleurae (miR-6802-5p) miR-TS vs. cognitive impairment","NAS",0.364635218612466,0.356872619677597,-1.02175173579268,0.31925826435396,-0.380418344442256,1.10968878166719,100
"pleurae (miR-6802-5p) miR-TS vs. cognitive impairment","pooled",0.364635218612466,0.356872619677597,1.02175173579268,0.30689841788317,-0.334822263024084,1.06409270024902,200
"spleen (miR-99a-5p) miR-TS vs. cognitive impairment","NAS",0.0763281973038055,0.160449864833776,-0.475713690272537,0.639326700366385,-0.257918053342809,0.41057444795042,100
"spleen (miR-99a-5p) miR-TS vs. cognitive impairment","pooled",0.0763281973038055,0.160449864833776,0.475713690272538,0.634278366269338,-0.238147759094715,0.390804153702326,200
"adipocyte (miR-365b-5p) miR-TS vs. cognitive impairment","NAS",0.426947310654245,0.104219079525813,-4.09663290634322,0.000235566746093429,0.215377934381279,0.63851668692721,100
"adipocyte (miR-365b-5p) miR-TS vs. cognitive impairment","pooled",0.426947310654245,0.104219079525813,4.09663290634321,4.19202857065743e-05,0.222681668281736,0.631212953026754,200
"artery (miR-140-3p) miR-TS vs. cognitive impairment","NAS",-0.178718888898231,0.136445404319467,1.30981977582615,0.205322010528307,-0.463611643587694,0.106173865791231,100
