"Organ_marker","study","Est","SE","t","P","CI_l","CI_h","weights"
"bladder (miR-3617-5p) miR-TS vs. adipocyte","DFTJ",0.196734234045854,0.0873067418607066,2.2533681804291,0.0260071778050723,0.0239158917373176,0.36955257635439,14.9099379171738
"bladder (miR-3617-5p) miR-TS vs. adipocyte","NAS",0.0977127677040092,0.0412279383778655,2.37006194218213,0.0181101474487885,0.0167391013939912,0.178686434014027,66.8298979977458
"bladder (miR-3617-5p) miR-TS vs. adipocyte","SY",-0.00258718037505122,0.0788907981378387,-0.0327944505077877,0.973880425297047,-0.158419188409478,0.153244827659376,18.2601640850804
"bladder (miR-3617-5p) miR-TS vs. adipocyte","pooled",0.0941618717637666,0.0337145136524785,2.79291799176953,0.00522349327521651,0.0280826392486248,0.160241104278908,200
"lymph node (miR-150-5p) miR-TS vs. adipocyte","DFTJ",-0.0200007312053922,0.088950074715333,-0.224853450313567,0.822466407693685,-0.196071950138861,0.156070487728076,22.3130724269479
"lymph node (miR-150-5p) miR-TS vs. adipocyte","NAS",0.0692816351819117,0.0416839760405711,1.66206877948686,0.0970374499920508,-0.0125877111688174,0.151150981532641,51.3836023011382
"lymph node (miR-150-5p) miR-TS vs. adipocyte","SY",-0.0782256531197564,0.0790978488232072,-0.988973205764416,0.324207706645039,-0.234466645786453,0.0780153395469404,26.3033252719139
"lymph node (miR-150-5p) miR-TS vs. adipocyte","pooled",0.0105606742636521,0.0493478871672306,0.214004588035632,0.830543479329881,-0.0861594072972663,0.10728075582457,200
"salivary gland (miR-3187-3p) miR-TS vs. adipocyte","DFTJ",0.0264871595523157,0.0903605578707884,0.29312744604998,0.769918704549573,-0.152376024303734,0.205350343408365,30.2781408611042
"salivary gland (miR-3187-3p) miR-TS vs. adipocyte","NAS",-0.0124878408342145,0.0419647056393757,-0.297579612294411,0.766130226350195,-0.0949085537036525,0.0699328720352235,37.120455850587
"salivary gland (miR-3187-3p) miR-TS vs. adipocyte","SY",-0.305185587738166,0.0754267015213877,-4.0461213546721,8.17054403402193e-05,-0.454175009000639,-0.156196166475692,32.6014032883088
"salivary gland (miR-3187-3p) miR-TS vs. adipocyte","pooled",-0.0961105082005155,0.102564053392701,-0.937077904210007,0.348718486327259,-0.297132358958653,0.104911342557622,200
"pleurae (miR-6802-5p) miR-TS vs. adipocyte","DFTJ",0.0748319602161385,0.0939351739935295,0.796634072571081,0.42719855934956,-0.111106957077623,0.2607708775099,27.5748888278508
"pleurae (miR-6802-5p) miR-TS vs. adipocyte","NAS",0.101309276388407,0.040978998470633,2.47222431414493,0.01371232619445,0.0208245401043032,0.18179401267251,40.9888171907315
"pleurae (miR-6802-5p) miR-TS vs. adipocyte","SY",-0.142358239838788,0.0783721540999579,-1.8164390333998,0.0712227461050591,-0.297165776784244,0.0124492971066682,31.4362939814177
"pleurae (miR-6802-5p) miR-TS vs. adipocyte","pooled",0.0174081491509058,0.0775887366075339,0.224364384729722,0.822473781134102,-0.134662980205825,0.169479278507637,200
"spleen (miR-99a-5p) miR-TS vs. adipocyte","DFTJ",-0.023958724795549,0.0902624800167554,-0.265433929924168,0.791119556809452,-0.202627769553174,0.154710319962076,30.7970670743558
"spleen (miR-99a-5p) miR-TS vs. adipocyte","NAS",-0.410170162220168,0.0404771851483178,-10.1333667525844,2.46550252132324e-22,-0.489669312852652,-0.330671011587684,36.6084411346654
"spleen (miR-99a-5p) miR-TS vs. adipocyte","SY",-0.281796608334047,0.0767217562493424,-3.67296868724198,0.000328961335976575,-0.433344135022441,-0.130249081645652,32.5944917909788
"spleen (miR-99a-5p) miR-TS vs. adipocyte","pooled",-0.249385659304475,0.112372516910577,-2.21927626221035,0.0264679355244826,-0.469631745301324,-0.029139573307626,200
"adipocyte (miR-365b-5p) miR-TS vs. adipocyte","DFTJ",0.122880025717184,0.0964310385059751,1.27427877601432,0.204966933776122,-0.067999302345264,0.313759353779631,12.4973864111545
"adipocyte (miR-365b-5p) miR-TS vs. adipocyte","NAS",0.0211029981094381,0.0410288214628866,0.514345705214253,0.607205559458578,-0.0594795929427678,0.101685589161644,68.9174509755392
"adipocyte (miR-365b-5p) miR-TS vs. adipocyte","SY",-0.0691017000297048,0.0790684209709306,-0.873948147454594,0.38348988301079,-0.225284564227421,0.0870811641680114,18.5851626133063
"adipocyte (miR-365b-5p) miR-TS vs. adipocyte","pooled",0.0170577766933637,0.0340964318829956,0.500280403295533,0.616877650738924,-0.0497700017986309,0.0838855551853583,200
"artery (miR-140-3p) miR-TS vs. adipocyte","DFTJ",0.20348935830183,0.0913805255355935,2.22683506260389,0.0277780824325354,0.0226072109925207,0.384371505611138,32.2294510351716
"artery (miR-140-3p) miR-TS vs. adipocyte","NAS",0.33719221444654,0.0396592140105348,8.50224148055408,1.5690976693372e-16,0.259299598716554,0.415084830176526,34.7729778877757
"artery (miR-140-3p) miR-TS vs. adipocyte","SY",-0.232128490881223,0.0786989465058051,-2.94957558121951,0.00367239950410546,-0.387581536783561,-0.0766754449788845,32.9975710770528
"artery (miR-140-3p) miR-TS vs. adipocyte","pooled",0.106238513495848,0.172808662128473,0.614775394863401,0.538703060749318,-0.23246024049251,0.444937267484206,200
"bone (miR-223-3p) miR-TS vs. adipocyte","DFTJ",0.362590991812957,0.091890893214796,3.94588602991808,0.000132797713981655,0.180698602975814,0.544483380650101,29.8802817467458
"bone (miR-223-3p) miR-TS vs. adipocyte","NAS",0.280972272899884,0.0428828441959983,6.55209042608474,1.25012323366968e-10,0.196748291469478,0.365196254330289,36.2317889563254
"bone (miR-223-3p) miR-TS vs. adipocyte","SY",0.621228080880026,0.0631513294968934,9.83713384704888,4.57177381050458e-18,0.496486048629949,0.745970113130104,33.8879292969288
"bone (miR-223-3p) miR-TS vs. adipocyte","pooled",0.420665823706199,0.106104835968691,3.96462441947816,7.35115971591341e-05,0.212704166622034,0.628627480790364,200
