"y","x","P_trans","t_adj"
"ALT","adipocyte",0.0940409754363491,""
"ALT","artery",0.247336701976887,""
"ALT","bladder",0.189557302376936,""
"ALT","bone",0.323079600591047,""
"ALT","bowel",0.261647487963611,""
"ALT","brain",0.0735771127619517,""
"ALT","heart",1.23849172102626,""
"ALT","kidney",1.19801219729717,""
"ALT","liver",2.75987094088325,"11"
"ALT","lung",0.0288215891557271,""
"ALT","lymph node",0.221530625174748,""
"ALT","nerve",0.0954112859397018,""
"ALT","pancreas",2.33537651251514,"11"
"ALT","pleurae",0.214748000396105,""
"ALT","salivary gland",0.607453256492123,""
"ALT","skin",0.0422025495483977,""
"ALT","spleen",2.6661943693001,"11"
"ALT","stomach",0.379228089861225,""
"AST","adipocyte",0.12616313703154,""
"AST","artery",0.278418118409739,""
"AST","bladder",0.262134944446418,""
"AST","bone",0.427246908229701,""
"AST","bowel",0.403587284374997,""
"AST","brain",0.220401952091049,""
"AST","heart",1.40407028269033,"1"
"AST","kidney",1.3204575691619,"1"
"AST","liver",1.45783507970177,"1"
"AST","lung",0.313793879953667,""
"AST","lymph node",0.388669272834691,""
"AST","nerve",0.0676791742272547,""
"AST","pancreas",1.93615195387305,"1"
"AST","pleurae",0.0316496544678986,""
"AST","salivary gland",0.6160144042845,""
"AST","skin",0.131845633665357,""
"AST","spleen",2.14245866663116,"1"
"AST","stomach",0.975898174480437,""
"Cognitive impairment","adipocyte",0.520001120516867,""
"Cognitive impairment","artery",0.756878397245872,""
"Cognitive impairment","bladder",0.827606540152652,""
"Cognitive impairment","bone",0.539886771191866,""
"Cognitive impairment","bowel",0.1215831888673,""
"Cognitive impairment","brain",0.801018824300085,""
"Cognitive impairment","heart",0.0775325954648018,""
"Cognitive impairment","kidney",0.293606735199601,""
"Cognitive impairment","liver",0.612934795923209,""
"Cognitive impairment","lung",0.103459495771928,""
"Cognitive impairment","lymph node",0.178518427627785,""
"Cognitive impairment","nerve",0.81001854736531,""
"Cognitive impairment","pancreas",0.149322600060074,""
"Cognitive impairment","pleurae",0.528284166757948,""
"Cognitive impairment","salivary gland",0.287160429112022,""
