"y","x","P_trans","t_adj"
"bladder","adipocyte",0.537005530591366,""
"bladder","artery",0.305226183841772,""
"bladder","bladder",0.0800230636096417,""
"bladder","bone",4.98668457928409,"111"
"bladder","bowel",0.106153453972147,""
"bladder","brain",0.812728778066195,""
"bladder","heart",1.34792117100315,""
"bladder","kidney",0.0271522969043624,""
"bladder","liver",0.2582729459395,""
"bladder","lung",0.70298154139901,""
"bladder","lymph node",1.17046271297651,""
"bladder","nerve",8.23486322195772,"111"
"bladder","pancreas",0.118497547218176,""
"bladder","pleurae",0.0142969714990345,""
"bladder","salivary gland",0.150869433586485,""
"bladder","skin",0.215080025137351,""
"bladder","spleen",0.61333996685898,""
"bladder","stomach",1.1099425728069,""
"lymph_node","adipocyte",10,"111"
"lymph_node","artery",1.86448046237925,"11"
"lymph_node","bladder",2.26426804902702,"111"
"lymph_node","bone",0.382441836081309,""
"lymph_node","bowel",10,"111"
"lymph_node","brain",4.8199311728738,"111"
"lymph_node","heart",2.91105319478957,"111"
"lymph_node","kidney",10,"111"
"lymph_node","liver",1.31093402803267,"1"
"lymph_node","lung",1.9224187173207,"11"
"lymph_node","lymph node",10,"111"
"lymph_node","nerve",1.01398279117169,"1"
"lymph_node","pancreas",5.38398775546978,"111"
"lymph_node","pleurae",0.164673903303167,""
"lymph_node","salivary gland",1.67190357759999,"11"
"lymph_node","skin",10,"111"
"lymph_node","spleen",3.34720851843903,"111"
"lymph_node","stomach",3.29398740709483,"111"
"salivary_gland","adipocyte",5.94028232301163,"111"
"salivary_gland","artery",4.77174875150553,"111"
"salivary_gland","bladder",10,"111"
"salivary_gland","bone",10,"111"
"salivary_gland","bowel",10,"111"
"salivary_gland","brain",8.50331505539273,"111"
"salivary_gland","heart",3.42795528339635,"111"
"salivary_gland","kidney",2.23077831855224,"111"
"salivary_gland","liver",0.254792860415961,""
"salivary_gland","lung",10,"111"
"salivary_gland","lymph node",1.16848457371808,"1"
"salivary_gland","nerve",5.80892267158516,"111"
"salivary_gland","pancreas",3.1603612839698,"111"
"salivary_gland","pleurae",3.53974770675424,"111"
"salivary_gland","salivary gland",0.40011771482252,""
"salivary_gland","skin",7.65246546215451,"111"
"salivary_gland","spleen",8.18373233566824,"111"
"salivary_gland","stomach",2.43136774525235,"111"
"pleurae","adipocyte",10,"111"
"pleurae","artery",6.86868253055195,"111"
"pleurae","bladder",0.0698219273982119,""
"pleurae","bone",0.534196394315378,""
"pleurae","bowel",1.25255358476947,"1"
"pleurae","brain",2.29519165586962,"11"
"pleurae","heart",0.0672862402232242,""
"pleurae","kidney",2.49730210388618,"111"
"pleurae","liver",0.733695565768401,""
"pleurae","lung",4.58557418270438,"111"
"pleurae","lymph node",2.17052832072004,"11"
"pleurae","nerve",0.012718406900232,""
"pleurae","pancreas",0.127355997640025,""
"pleurae","pleurae",0.0402130617160281,""
"pleurae","salivary gland",1.26974359312542,"1"
"pleurae","skin",10,"111"
"pleurae","spleen",2.85940645140274,"111"
"pleurae","stomach",1.78943051526566,"11"
"spleen","adipocyte",10,"111"
"spleen","artery",4.39095825820186,"111"
"spleen","bladder",6.57444885129978,"111"
"spleen","bone",1.845360410848,"11"
"spleen","bowel",10,"111"
"spleen","brain",7.48204580298735,"111"
"spleen","heart",3.82098422493071,"111"
"spleen","kidney",10,"111"
"spleen","liver",4.83118449259477,"111"
"spleen","lung",1.32571234619572,"1"
"spleen","lymph node",10,"111"
"spleen","nerve",0.392331618773397,""
"spleen","pancreas",10,"111"
"spleen","pleurae",3.49694471235359,"111"
"spleen","salivary gland",1.35422679935978,"11"
"spleen","skin",10,"111"
"spleen","spleen",10,"111"
"spleen","stomach",4.34012394842077,"111"
"adipocyte","adipocyte",5.3057295295809,"111"
"adipocyte","artery",10,"111"
"adipocyte","bladder",3.37295308343406,"111"
"adipocyte","bone",10,"111"
"adipocyte","bowel",0.456694778232308,""
"adipocyte","brain",0.483240028950817,""
"adipocyte","heart",1.02563387982519,"1"
"adipocyte","kidney",0.374454428316454,""
"adipocyte","liver",3.68421732594784,"111"
"adipocyte","lung",0.292227200645902,""
"adipocyte","lymph node",1.18203522527072,"1"
"adipocyte","nerve",1.57574003279612,"11"
"adipocyte","pancreas",4.76253092196915,"111"
"adipocyte","pleurae",2.79385877497963,"111"
"adipocyte","salivary gland",0.0605411771545309,""
"adipocyte","skin",0.643364831774436,""
"adipocyte","spleen",10,"111"
"adipocyte","stomach",4.36995244365618,"111"
"artery","adipocyte",10,"111"
"artery","artery",7.33707882270089,"111"
"artery","bladder",2.58337029717467,"111"
"artery","bone",0.612901633586858,""
"artery","bowel",10,"111"
"artery","brain",4.37950208175392,"111"
"artery","heart",8.02945847571405,"111"
"artery","kidney",10,"111"
"artery","liver",1.50264270521888,"11"
"artery","lung",0.270010035019112,""
"artery","lymph node",9.52337880885777,"111"
"artery","nerve",7.94766698172594,"111"
"artery","pancreas",10,"111"
"artery","pleurae",2.54785711501214,"111"
"artery","salivary gland",0.407232248105181,""
"artery","skin",10,"111"
"artery","spleen",6.61616838598004,"111"
"artery","stomach",4.99368711361342,"111"
"bone","adipocyte",0.400634716228023,""
"bone","artery",10,"111"
"bone","bladder",9.44306672158246,"111"
"bone","bone",10,"111"
"bone","bowel",10,"111"
"bone","brain",6.23135762296345,"111"
"bone","heart",5.33674379356177,"111"
"bone","kidney",5.57732192203301,"111"
"bone","liver",0.457674472807735,""
"bone","lung",8.48635898048408,"111"
"bone","lymph node",4.04007730634402,"111"
"bone","nerve",2.54575304587096,"111"
"bone","pancreas",6.98618636584996,"111"
"bone","pleurae",2.13437506924422,"111"
"bone","salivary gland",0.326830275146108,""
"bone","skin",3.85586388053412,"111"
"bone","spleen",10,"111"
"bone","stomach",3.20549174699631,"111"
"pancreas","adipocyte",1.03171200070683,"1"
"pancreas","artery",4.71774171988706,"111"
"pancreas","bladder",0.379352684188474,""
"pancreas","bone",1.23649290104153,"1"
"pancreas","bowel",0.923994377284836,"1"
"pancreas","brain",0.611187345567224,""
"pancreas","heart",2.85118781319223,"111"
"pancreas","kidney",1.92722342707702,"11"
"pancreas","liver",0.779547093970019,""
"pancreas","lung",5.67051059819682,"111"
"pancreas","lymph node",0.268010297170274,""
"pancreas","nerve",3.74527132371851,"111"
"pancreas","pancreas",0.10963029260174,""
"pancreas","pleurae",1.37817700260353,"1"
"pancreas","salivary gland",1.52660197779274,"1"
"pancreas","skin",0.548416668160337,""
"pancreas","spleen",5.18817857701008,"111"
"pancreas","stomach",0.886711686380092,"1"
"skin","adipocyte",10,"111"
"skin","artery",1.50047187115494,"11"
"skin","bladder",10,"111"
"skin","bone",10,"111"
"skin","bowel",10,"111"
"skin","brain",10,"111"
"skin","heart",5.53747667296668,"111"
"skin","kidney",4.5451591705113,"111"
"skin","liver",0.5818719030366,""
"skin","lung",10,"111"
"skin","lymph node",2.75779622690295,"111"
"skin","nerve",0.504882297608528,""
"skin","pancreas",3.28976777204901,"111"
"skin","pleurae",6.57446567000823,"111"
"skin","salivary gland",1.27045748590592,"1"
"skin","skin",10,"111"
"skin","spleen",8.01866458012102,"111"
"skin","stomach",0.195772686099629,""
"stomach","adipocyte",6.18100813846122,"111"
"stomach","artery",7.70534232555755,"111"
"stomach","bladder",10,"111"
"stomach","bone",10,"111"
"stomach","bowel",8.69997547955177,"111"
"stomach","brain",7.54454786682417,"111"
"stomach","heart",1.68925046214069,"11"
"stomach","kidney",0.631930848786278,""
"stomach","liver",0.132763373522188,""
"stomach","lung",10,"111"
"stomach","lymph node",0.359490719381498,""
"stomach","nerve",8.18755902108569,"111"
"stomach","pancreas",1.06048129328172,"1"
"stomach","pleurae",2.18954119445549,"111"
"stomach","salivary gland",0.301043159538581,""
"stomach","skin",8.23870289589906,"111"
"stomach","spleen",4.58715560957316,"111"
"stomach","stomach",2.45080744471019,"111"
"kidney","adipocyte",0.998603170706367,"1"
"kidney","artery",1.53669780926131,"11"
"kidney","bladder",0.699602401455221,""
"kidney","bone",5.07900806050548,"111"
"kidney","bowel",4.41363970574571,"111"
"kidney","brain",2.97105740581391,"111"
"kidney","heart",9.60085908714786,"111"
"kidney","kidney",10,"111"
"kidney","liver",0.540789200316509,""
"kidney","lung",0.858327157495697,"1"
"kidney","lymph node",5.1411830846252,"111"
"kidney","nerve",1.21189743463393,"1"
"kidney","pancreas",10,"111"
"kidney","pleurae",1.60337349330872,"11"
"kidney","salivary gland",0.741382823881305,""
"kidney","skin",5.7991991776902,"111"
"kidney","spleen",10,"111"
"kidney","stomach",0.0756705077347814,""
"liver","adipocyte",4.20207170161458,"111"
"liver","artery",10,"111"
"liver","bladder",10,"111"
"liver","bone",10,"111"
"liver","bowel",10,"111"
"liver","brain",9.71398438838347,"111"
"liver","heart",10,"111"
"liver","kidney",10,"111"
"liver","liver",10,"111"
"liver","lung",1.33238908562585,"1"
"liver","lymph node",10,"111"
"liver","nerve",0.246809270385498,""
"liver","pancreas",10,"111"
"liver","pleurae",5.15463816923717,"111"
"liver","salivary gland",0.404011105155329,""
"liver","skin",10,"111"
"liver","spleen",10,"111"
"liver","stomach",0.17293918494313,""
"nerve","adipocyte",0.997625545787188,"1"
"nerve","artery",10,"111"
"nerve","bladder",1.84007135457549,"11"
"nerve","bone",6.6294442477893,"111"
"nerve","bowel",6.71154640743467,"111"
"nerve","brain",1.73039521870522,"11"
"nerve","heart",3.15112716232405,"111"
"nerve","kidney",2.28453559534977,"111"
"nerve","liver",2.85166135467934,"111"
"nerve","lung",4.87433812130168,"111"
"nerve","lymph node",1.23525511214637,"1"
"nerve","nerve",5.42789415987244,"111"
"nerve","pancreas",8.26933859840003,"111"
"nerve","pleurae",2.03079323238776,"11"
"nerve","salivary gland",0.283887789450441,""
"nerve","skin",1.59292889665009,"11"
"nerve","spleen",10,"111"
"nerve","stomach",0.715302361702792,""
"lung","adipocyte",1.87550776841831,"11"
"lung","artery",0.419851131605762,""
"lung","bladder",3.91355629853125,"111"
"lung","bone",0.596822353083537,""
"lung","bowel",6.73554228056109,"111"
"lung","brain",2.21423311174026,"11"
"lung","heart",1.81993840245653,"11"
"lung","kidney",6.63212619324666,"111"
"lung","liver",0.816185454931804,""
"lung","lung",5.43046112437798,"111"
"lung","lymph node",4.13476090775375,"111"
"lung","nerve",0.0344789458407397,""
"lung","pancreas",9.15575408473327,"111"
