"y","x","P_trans","t_adj"
"ALT","adipocyte",0.158219299866277,""
"ALT","artery",0.156631199184698,""
"ALT","bladder",0.541998949002666,""
"ALT","bone",0.282153565823878,""
"ALT","bowel",0.087705854006687,""
"ALT","brain",0.576828879058617,""
"ALT","heart",0.493527567905321,""
"ALT","kidney",1.19116862958667,""
"ALT","liver",0.646098710253646,""
"ALT","lung",0.331421917934818,""
"ALT","lymph node",0.130246965407148,""
"ALT","pleurae",0.453627871677896,""
"ALT","salivary gland",0.502472935245399,""
"ALT","skin",0.274061210927809,""
"ALT","spleen",0.169336599342777,""
"AST","adipocyte",0.835683612308242,""
"AST","artery",0.0971955352913976,""
"AST","bladder",0.989334065540272,""
"AST","bone",0.143336567583275,""
"AST","bowel",0.276443094606163,""
"AST","brain",0.411724539612802,""
"AST","heart",0.218687068432381,""
"AST","kidney",1.78747330579951,""
"AST","liver",0.473441264687591,""
"AST","lung",0.38628501356693,""
"AST","lymph node",0.29497944463254,""
"AST","pleurae",0.453427306820116,""
"AST","salivary gland",0.746577808016515,""
"AST","skin",0.871652814514171,""
"AST","spleen",0.138068614142918,""
"Cognitive impairment","adipocyte",0.295772519890277,""
"Cognitive impairment","artery",0.204987252308742,""
"Cognitive impairment","bladder",1.09405496323072,""
"Cognitive impairment","bone",0.22780262937411,""
"Cognitive impairment","bowel",0.564400956935096,""
"Cognitive impairment","brain",0.0797975232140875,""
"Cognitive impairment","heart",0.561877083450637,""
"Cognitive impairment","kidney",0.114902008022673,""
"Cognitive impairment","liver",1.15784134838508,""
"Cognitive impairment","lung",0.241565364953586,""
"Cognitive impairment","lymph node",0.418217565635991,""
"Cognitive impairment","pleurae",0.814267922353344,""
"Cognitive impairment","salivary gland",0.189683671876705,""
"Cognitive impairment","skin",0.0580020056622513,""
"Cognitive impairment","spleen",0.322459231540033,""
"%body fat","adipocyte",1.27268849561387,""
"%body fat","artery",2.1987081708814,"1"
"%body fat","bladder",0.0213620886018744,""
"%body fat","bone",0.360521029057191,""
"%body fat","bowel",0.427713899250784,""
"%body fat","brain",0.532318038610255,""
"%body fat","heart",0.263999267415789,""
"%body fat","kidney",0.757117402751805,""
"%body fat","liver",0.598388309086588,""
"%body fat","lung",0.178004052655267,""
"%body fat","lymph node",0.480221077949875,""
"%body fat","pleurae",0.258069801179253,""
"%body fat","salivary gland",1.00166492044882,""
"%body fat","skin",0.354736012489849,""
"%body fat","spleen",0.123982174207765,""
"BMI","adipocyte",1.32839254253286,""
"BMI","artery",2.11640765375649,"1"
"BMI","bladder",0.0143550655162985,""
"BMI","bone",0.34880730643451,""
"BMI","bowel",0.457239372119875,""
"BMI","brain",0.458313515051883,""
"BMI","heart",0.248567645825148,""
"BMI","kidney",0.678628906288303,""
"BMI","liver",0.599373718493387,""
"BMI","lung",0.154108231688133,""
"BMI","lymph node",0.351747443215368,""
"BMI","pleurae",0.242755609719245,""
"BMI","salivary gland",1.04296561886009,""
"BMI","skin",0.384660715930751,""
"BMI","spleen",0.0990321624587859,""
"Waist/height","adipocyte",0.993108038115167,""
"Waist/height","artery",1.2699766214675,""
"Waist/height","bladder",0.19661354420214,""
"Waist/height","bone",0.000900844008804558,""
"Waist/height","bowel",0.988134319957073,""
"Waist/height","brain",0.181199659522801,""
"Waist/height","heart",0.0889753174245756,""
"Waist/height","kidney",0.611076022569567,""
"Waist/height","liver",1.48675089703218,""
"Waist/height","lung",0.185923190637046,""
"Waist/height","lymph node",0.499001432171577,""
"Waist/height","pleurae",0.182553571599255,""
"Waist/height","salivary gland",1.0422599763929,""
"Waist/height","skin",0.0906675196555067,""
"Waist/height","spleen",0.357204870198065,""
"%lymphocytes","adipocyte",0.388198974503224,""
"%lymphocytes","artery",0.478839801685708,""
"%lymphocytes","bladder",0.0823935929217314,""
"%lymphocytes","bone",0.451119784362389,""
"%lymphocytes","bowel",2.04281928491889,"1"
"%lymphocytes","brain",0.431179435497644,""
"%lymphocytes","heart",0.162906001877982,""
"%lymphocytes","kidney",1.10407767144195,""
"%lymphocytes","liver",2.0123564277375,"1"
"%lymphocytes","lung",1.26817368439741,""
"%lymphocytes","lymph node",0.291429451099089,""
"%lymphocytes","pleurae",0.33822821146471,""
"%lymphocytes","salivary gland",1.58752391575589,"1"
"%lymphocytes","skin",0.306599282574233,""
"%lymphocytes","spleen",0.14131681926655,""
"eGFR","adipocyte",0.203446611949369,""
"eGFR","artery",0.0261763150106105,""
"eGFR","bladder",1.06568110623043,""
"eGFR","bone",1.06357732146264,""
"eGFR","bowel",1.25437593604702,""
"eGFR","brain",0.893831093130183,""
"eGFR","heart",0.013495537783016,""
"eGFR","kidney",1.49454473838761,""
"eGFR","liver",0.238508110656338,""
"eGFR","lung",0.294439727667954,""
"eGFR","lymph node",0.304961835156147,""
"eGFR","pleurae",0.409112457385047,""
"eGFR","salivary gland",0.228131206788005,""
"eGFR","skin",0.246902888336953,""
"eGFR","spleen",0.138553076439429,""
"Diabetes","adipocyte",0.299941891246877,""
"Diabetes","artery",0.0351033950897207,""
"Diabetes","bladder",0.441546819434306,""
"Diabetes","bone",0.153688551178831,""
"Diabetes","bowel",0.284649550963141,""
"Diabetes","brain",0.648216187543944,""
"Diabetes","heart",0.750705259258599,""
"Diabetes","kidney",0.534085339710001,""
"Diabetes","liver",0.018894744210343,""
"Diabetes","lung",0.109654911733341,""
"Diabetes","lymph node",0.421964262494388,""
"Diabetes","pleurae",0.0269140247680939,""
"Diabetes","salivary gland",0.69300283708296,""
"Diabetes","skin",0.106740487868263,""
"Diabetes","spleen",0.914883935975787,""
"Fasting blood glucose","adipocyte",0.64371690521209,""
"Fasting blood glucose","artery",0.0807959201464912,""
"Fasting blood glucose","bladder",0.973969581374374,""
"Fasting blood glucose","bone",0.566329744789462,""
"Fasting blood glucose","bowel",0.578270343625462,""
"Fasting blood glucose","brain",0.715388292843826,""
"Fasting blood glucose","heart",0.507259264032429,""
"Fasting blood glucose","kidney",0.748135030235444,""
"Fasting blood glucose","liver",0.173220059258083,""
"Fasting blood glucose","lung",0.481274287100721,""
"Fasting blood glucose","lymph node",0.0979306189386798,""
"Fasting blood glucose","pleurae",0.323577449075344,""
"Fasting blood glucose","salivary gland",0.49771227321393,""
"Fasting blood glucose","skin",0.260031245696891,""
"Fasting blood glucose","spleen",0.162345476390455,""
"Hemoglobin A1c","adipocyte",0.849547216434087,""
"Hemoglobin A1c","artery",0.385234775014633,""
"Hemoglobin A1c","bladder",0.331474923939317,""
"Hemoglobin A1c","bone",0.0860307867704666,""
"Hemoglobin A1c","bowel",0.778784786172372,""
"Hemoglobin A1c","brain",0.628811204787534,""
"Hemoglobin A1c","heart",0.358988333952922,""
"Hemoglobin A1c","kidney",0.83809640986752,""
"Hemoglobin A1c","liver",0.718169577828597,""
"Hemoglobin A1c","lung",0.279692036107892,""
"Hemoglobin A1c","lymph node",0.0339609591159912,""
"Hemoglobin A1c","pleurae",0.814139154038144,""
"Hemoglobin A1c","salivary gland",0.518384828164773,""
"Hemoglobin A1c","skin",0.00147291730925242,""
"Hemoglobin A1c","spleen",1.61610443278936,""
"Fev1/fvc","adipocyte",0.00304884763912092,""
"Fev1/fvc","artery",0.156019720424679,""
"Fev1/fvc","bladder",0.218613397526336,""
"Fev1/fvc","bone",1.02053371552318,""
"Fev1/fvc","bowel",1.13497365082,""
"Fev1/fvc","brain",0.170902011643297,""
"Fev1/fvc","heart",0.0425173646917921,""
"Fev1/fvc","kidney",0.615727739167509,""
"Fev1/fvc","liver",0.715527181796551,""
"Fev1/fvc","lung",0.292459615470862,""
"Fev1/fvc","lymph node",0.606594995851953,""
"Fev1/fvc","pleurae",1.29667132551349,""
"Fev1/fvc","salivary gland",0.164039152847878,""
"Fev1/fvc","skin",1.10292529764442,""
"Fev1/fvc","spleen",0.0742500295919629,""
"Lung diseases","adipocyte",0.946751290964718,""
"Lung diseases","artery",0.265608141970942,""
"Lung diseases","bladder",2.08157936072028,"1"
"Lung diseases","bone",0.630433310707302,""
"Lung diseases","bowel",0.113723866617794,""
"Lung diseases","brain",0.0107237081691876,""
"Lung diseases","heart",0.0515150602076092,""
"Lung diseases","kidney",2.93092839042681,"11"
"Lung diseases","liver",0.944061716314782,""
"Lung diseases","lung",0.403377199544535,""
"Lung diseases","lymph node",0.797718647187616,""
"Lung diseases","pleurae",0.160076189115035,""
"Lung diseases","salivary gland",0.101182083155901,""
"Lung diseases","skin",0.0207345167114373,""
"Lung diseases","spleen",0.251531637728799,""
"Coronary heart diseases","adipocyte",0.689350270692696,""
"Coronary heart diseases","artery",0.329750804910782,""
"Coronary heart diseases","bladder",0.603647039530558,""
"Coronary heart diseases","bone",0.542707382183792,""
"Coronary heart diseases","bowel",0.572487102175003,""
"Coronary heart diseases","brain",0.159947096347233,""
"Coronary heart diseases","heart",0.34683530054493,""
"Coronary heart diseases","kidney",1.58053814701537,""
"Coronary heart diseases","liver",0.00347857571300178,""
"Coronary heart diseases","lung",0.651070968525627,""
"Coronary heart diseases","lymph node",0.120237596002099,""
"Coronary heart diseases","pleurae",0.0543878371815392,""
"Coronary heart diseases","salivary gland",0.425745983813102,""
"Coronary heart diseases","skin",0.310534056168627,""
"Coronary heart diseases","spleen",0.398713138362468,""
"Mean arterial pressure","adipocyte",0.53264608510674,""
"Mean arterial pressure","artery",0.562983673621654,""
"Mean arterial pressure","bladder",0.571944645329232,""
"Mean arterial pressure","bone",1.25373603364374,""
"Mean arterial pressure","bowel",0.555301687112155,""
"Mean arterial pressure","brain",0.521301806749485,""
"Mean arterial pressure","heart",1.15403071120661,""
"Mean arterial pressure","kidney",0.311024577286218,""
"Mean arterial pressure","liver",0.0410683471635413,""
"Mean arterial pressure","lung",0.815503834886913,""
