"y","x","P_trans","t_adj"
"bladder","adipocyte",0.73797919546857,""
"bladder","artery",0.606793568050292,""
"bladder","bladder",0.829527480553895,""
"bladder","bone",1.24304976538602,""
"bladder","bowel",0.996722668623216,""
"bladder","brain",0.00215959431824458,""
"bladder","heart",0.197460022545723,""
"bladder","kidney",1.53774147036367,""
"bladder","liver",0.427029441192882,""
"bladder","lung",0.447307222138057,""
"bladder","lymph node",0.0589313635519897,""
"bladder","pleurae",0.262011666545931,""
"bladder","salivary gland",1.65413543870197,""
"bladder","skin",0.250961520415164,""
"bladder","spleen",0.0375086512716367,""
"bladder","stomach",0.502522043827443,""
"lymph_node","adipocyte",9.16326905675612e-05,""
"lymph_node","artery",8.00866611325311,"111"
"lymph_node","bladder",0.940010424169986,"1"
"lymph_node","bone",0.285765240171037,""
"lymph_node","bowel",10,"111"
"lymph_node","brain",10,"111"
"lymph_node","heart",4.13393547967117,"111"
"lymph_node","kidney",2.13407444460709,"11"
"lymph_node","liver",0.531292716603865,""
"lymph_node","lung",7.14293211976002,"111"
"lymph_node","lymph node",1.43589211256575,"1"
"lymph_node","pleurae",10,"111"
"lymph_node","salivary gland",6.12395204707912,"111"
"lymph_node","skin",8.24106317708937,"111"
"lymph_node","spleen",0.566875667353531,""
"lymph_node","stomach",5.63619399195268,"111"
"salivary_gland","adipocyte",0.808921126521356,"1"
"salivary_gland","artery",7.7954378661204,"111"
"salivary_gland","bladder",2.16702028371641,"111"
"salivary_gland","bone",1.47044074346866,"11"
"salivary_gland","bowel",2.0439974388825,"11"
"salivary_gland","brain",8.4308544268555,"111"
"salivary_gland","heart",6.33971024567574,"111"
"salivary_gland","kidney",10,"111"
"salivary_gland","liver",10,"111"
"salivary_gland","lung",0.0593648172071028,""
"salivary_gland","lymph node",0.827846149493022,"1"
"salivary_gland","pleurae",10,"111"
"salivary_gland","salivary gland",6.96445481436396,"111"
"salivary_gland","skin",5.01631814141401,"111"
"salivary_gland","spleen",3.62109034129083,"111"
"salivary_gland","stomach",2.71127218372547,"111"
"pleurae","adipocyte",0.141259006997111,""
"pleurae","artery",1.28775884666302,"1"
"pleurae","bladder",0.391071357905524,""
"pleurae","bone",6.84898787766813,"111"
"pleurae","bowel",0.376729760149822,""
"pleurae","brain",7.64653356385564,"111"
"pleurae","heart",0.00483198244805831,""
"pleurae","kidney",0.0500670994675112,""
"pleurae","liver",10,"111"
"pleurae","lung",3.66502538959758,"111"
"pleurae","lymph node",1.1984440496558,"1"
"pleurae","pleurae",1.98878120062604,"11"
"pleurae","salivary gland",0.384410151996593,""
"pleurae","skin",0.912141124049861,""
"pleurae","spleen",0.120982371093424,""
"pleurae","stomach",0.745134449954603,""
"spleen","adipocyte",0.298068837869148,""
"spleen","artery",9.96463355749833,"111"
"spleen","bladder",5.87780312787391,"111"
"spleen","bone",4.17341055715866,"111"
"spleen","bowel",10,"111"
"spleen","brain",10,"111"
"spleen","heart",10,"111"
"spleen","kidney",1.24106461420577,"1"
"spleen","liver",8.2627431633269,"111"
"spleen","lung",5.25669331193114,"111"
"spleen","lymph node",0.887499743020791,"1"
"spleen","pleurae",10,"111"
"spleen","salivary gland",10,"111"
"spleen","skin",10,"111"
"spleen","spleen",1.05361702085577,"1"
"spleen","stomach",6.49059340670078,"111"
"adipocyte","adipocyte",0.128795130653112,""
"adipocyte","artery",0.447239087881748,""
"adipocyte","bladder",6.75001204553558,"111"
"adipocyte","bone",3.71319486550216,"111"
"adipocyte","bowel",1.29395987934637,"1"
"adipocyte","brain",0.0678980326967769,""
"adipocyte","heart",2.05146276799288,"11"
"adipocyte","kidney",0.814117429288143,""
"adipocyte","liver",10,"111"
"adipocyte","lung",8.53137582506009,"111"
"adipocyte","lymph node",3.73390655030901,"111"
"adipocyte","pleurae",0.783266232247196,""
"adipocyte","salivary gland",4.75653962685803,"111"
"adipocyte","skin",2.20981667982797,"11"
"adipocyte","spleen",0.282286740685065,""
"adipocyte","stomach",0.157048161060951,""
"artery","adipocyte",1.05128357389346,"1"
"artery","artery",6.19531758057092,"111"
"artery","bladder",2.743252245038,"111"
"artery","bone",0.256683000953597,""
"artery","bowel",5.22799324314854,"111"
"artery","brain",10,"111"
"artery","heart",1.48117852329951,"1"
"artery","kidney",1.02655327263823,"1"
"artery","liver",1.41962106811938,"1"
"artery","lung",7.02158735190662,"111"
"artery","lymph node",1.29956808938866,"1"
"artery","pleurae",6.27402419702565,"111"
"artery","salivary gland",5.51595998293255,"111"
"artery","skin",3.49272986802818,"111"
"artery","spleen",0.812874963735688,"1"
"artery","stomach",2.46160488812052,"111"
"bone","adipocyte",0.716617004110397,""
"bone","artery",0.80064610171644,""
"bone","bladder",7.82434760309453,"111"
"bone","bone",0.699729023289092,""
"bone","bowel",1.90368099438968,"11"
