miRNA,BRH.1425633_S15,BRH.1425634_S16,BRH.1386871,BRH.1386872,BRH.1386873,X12190,X12104,X12108,X12176,X12256,BRH.1429984_S9,BRH.1429985_S10,BRH.1429986_S11,BRH.1429987_S12,BRH.1429988_S13,BRH.1429989_S14,X1038.24h_S2,X1052.24h_S3,X1108.24h_S4,X1141.24h_S5z,X1231.24h_S6z,X1242.24h_S7z,X1249.24h_S8z,X964.24h_S1,X10018,X10050,X1013,X1016,X1022,X1025,X1027,X1028,X9911,X9931,X9961,X9993,X999,X1038.48h_S18,X1052.48h_S19,X1141.48h_S20z,X1231.48h_S21z,X1242.48h_S22z,X1249.48h_S23z,X964.48h_S17,X1038.96h_S25,X1052.96h_S26,X1231.96h_S27z,X1242.96h_S28z,X964.96h_S24,X1592652_1,X1592653_2,X1592654_3,X1592655_4,X1592656_5,X1592657_6,Aged_patient.1_S29,Aged_patient.2_S30,Aged_patient.3_S31,Aged_patient.4_S32,Aged_patient.5_S33,Aged_patient.6_S34
hsa-let-7a-5p,152,16,114,1708,696,2599,406,8338,11256,3899,1058,1227,4296,2785,3021,7231,8431,6856,3652,4819,11238,17575,4416,4619,27930,36332,13702,1394,65023,29604,44098,27011,35881,13119,19264,7351,16921,3772,5966,7302,11031,9233,13686,11531,6042,9322,2852,13058,3213,1028,104,325,384,195,248,6292,4898,17330,12,3933,1074
hsa-let-7b-5p,1626,157,1859,12135,6095,124388,630,157915,230447,57077,2559,6054,13721,14798,7743,13303,34790,51652,18321,11619,46600,42123,26376,11337,81687,78683,45475,6636,218513,130270,191706,64422,109544,29799,99874,12215,111145,14557,8572,22023,138511,22972,35117,18949,61910,67766,16769,112348,8032,538,115,883,1140,125,131,10111,26876,33575,33,57477,3311
hsa-let-7c-5p,87,1,82,1586,558,3827,462,14287,11792,2287,79,101,345,314,645,515,604,1333,286,266,1005,1004,505,277,2620,2548,904,74,4967,2349,3814,1313,2233,506,1925,4515,1185,289,751,547,1158,610,1975,800,560,1008,116,1197,330,402,183,316,260,177,137,377,547,1105,0,457,81
hsa-let-7d-5p,25,0,8,40,24,192,16,481,865,365,162,150,426,253,209,880,1889,2360,533,586,1940,4508,1026,773,2329,4684,2120,143,7794,3496,7323,3954,3919,2167,2371,1505,2487,887,669,1120,2066,2037,2790,1776,1042,2153,770,3347,420,116,37,119,112,28,42,898,1398,2637,1,515,358
hsa-let-7e-5p,5,1,1,118,61,135,53,964,939,146,34,48,156,196,123,251,62,34,27,70,114,101,37,35,817,367,134,11,519,153,140,212,328,86,240,17,113,56,39,298,109,103,277,120,39,46,39,56,48,61,21,38,44,25,17,162,98,489,0,136,33
hsa-let-7f-5p,94,29,72,616,510,1391,197,3214,4714,2767,713,905,2575,1501,1474,4776,6658,5586,2517,3179,10668,15904,3121,2964,20290,35886,13036,1386,47166,28470,46647,27383,36255,13705,17051,6660,20120,2623,6242,5189,9194,10721,9480,6814,4039,5602,2776,10434,1760,1192,121,324,374,141,187,7562,3825,17845,14,4469,704
hsa-let-7g-5p,205,55,69,465,455,1290,14,1209,1982,3095,454,581,2063,1153,985,4179,15020,13227,5176,2490,8218,40664,8030,4673,14953,34832,19748,1202,74244,39256,74632,27781,34080,14102,22658,11506,28115,3851,8235,3898,10230,9361,8650,9764,9957,8682,3924,32677,2206,1097,65,133,205,130,163,2578,7341,9037,4,7290,1238
hsa-let-7i-5p,2197,996,706,4192,2112,16485,161,18442,34698,33786,5867,8798,23394,16266,7912,29746,71408,81110,33445,23272,85875,129332,50382,31646,40102,65346,46872,5388,86513,76482,128376,55712,80162,32012,54115,12274,83289,30358,27990,51232,113196,90744,96316,36562,42815,95468,68855,182616,11934,784,87,1014,1035,170,68,20026,87446,102261,49,67834,23144
hsa-miR-1-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-100-5p,1306,538,216,2396,2120,23578,70,29286,19312,75156,245,651,1197,1285,446,1516,4494,29950,3072,3332,4072,3185,2850,2018,17830,12826,11860,720,30617,4271,15850,6719,10714,3656,8421,10936,3762,3891,59456,4944,2554,4478,3341,9474,914,3175,506,2020,4736,1679,66,220,302,222,442,280,2332,2536,2,2317,422
hsa-miR-101-5p,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,6,0,0,0,3,4,1,13,9,6,0,24,10,25,6,13,7,14,3,7,1,4,3,11,3,0,0,1,7,3,2,0,0,0,0,0,0,0,0,10,0,0,0,0
hsa-miR-103a-2-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,12,3,0,0,0,0,0,4,0,6,0,0,1,3,0,1,0,0,0,8,0,0,0,0,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-103b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-105-5p,23,0,0,5,97,198,8,273,953,1250,0,0,0,0,0,0,0,0,9,0,0,0,3,4,0,0,1,1,2,0,2,0,11,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-106a-5p,0,0,0,0,0,0,0,6,0,21,0,12,19,14,4,4,54,141,25,6,32,60,38,13,77,146,150,6,548,170,488,188,248,195,178,100,254,26,26,12,75,35,19,20,42,76,22,108,6,2,0,2,2,0,0,2,49,20,0,55,7
hsa-miR-106b-5p,0,2,0,0,0,16,0,12,10,109,13,8,18,30,9,59,328,708,122,38,228,618,448,74,1033,1784,1383,58,3872,2480,7520,1341,2630,925,1160,378,2422,138,126,47,418,386,288,84,236,424,61,696,40,24,0,0,0,0,0,30,964,218,0,256,36
