miRNA,GSM4455137,GSM4455138,GSM4455139,GSM4455140,GSM4455141,GSM4455142,GSM4455143,GSM4455144,GSM4455145,GSM4455146,GSM4455147,GSM4455148,GSM4455149,GSM4455150,GSM4455151,GSM4455152,GSM4455153,GSM4455154,GSM4455155,GSM4455156,GSM4455157,GSM4455158,GSM4455159,GSM4455160,GSM4455161,GSM4455162,GSM4455163,GSM4455164
Blank,-10.2742195,-10.105965,-10.233608,-9.504753,-11.059105,-9.718241,-9.995358,-9.959205,-9.13612,-10.29623,-9.768241,-9.578356,-10.17551,-10.031382,-10.173574,-9.68681,-9.848804,-10.310466,-10.541176,-8.753112,-8.925803,-10.11539,-10.058031,-7.264515,-7.028634,-6.8028326,-7.294878,-7.250243
dmr_285,-10.2742195,-4.7148914,-10.233608,-9.504753,-11.059105,-9.718241,-9.995358,-9.959205,-9.13612,-10.29623,-9.768241,-9.578356,-3.1500719,-4.1078024,-10.173574,-9.68681,-9.848804,-10.310466,-10.541176,-8.753112,-3.2949815,-10.11539,-10.058031,-7.264515,-7.028634,-6.8028326,-7.294878,-7.250243
dmr_3,-4.1909375,-4.561464,-3.1893547,-9.504753,-5.3186464,-9.718241,-9.995358,-9.959205,-9.13612,-4.963748,-9.768241,-9.578356,-4.6675158,-4.6439714,-3.5322297,-9.68681,-4.4053993,-3.8397875,-10.541176,-1.9092422,-8.925803,-3.9425285,-4.7196417,-7.264515,-7.028634,-6.8028326,-7.294878,-7.250243
dmr_308,-10.2742195,-10.105965,-10.233608,-9.504753,-11.059105,-9.718241,-9.995358,-9.959205,-9.13612,-10.29623,-9.768241,-9.578356,-10.17551,-10.031382,-10.173574,-9.68681,-9.848804,-10.310466,-10.541176,-8.753112,-8.925803,-10.11539,-10.058031,-7.264515,-7.028634,-6.8028326,-7.294878,-7.250243
dmr_316,-10.2742195,-10.105965,-10.233608,-9.504753,-1.8565373,-3.0048108,-3.2754495,-2.9267929,-2.984499,-2.6643271,-2.9839714,-3.0468576,-10.17551,-10.031382,-10.173574,-1.003099,-3.2796183,-2.2100139,-1.8953481,-3.883892,-8.925803,-2.307623,-2.1089158,-7.264515,-7.028634,-6.8028326,-7.294878,-7.250243
dmr_31a,-10.2742195,-10.105965,-10.233608,-4.708866,-2.9819202,-3.0553095,-3.608265,-3.0757377,-9.13612,-3.1165392,-3.2077706,-3.0322917,-10.17551,-10.031382,-10.173574,-9.68681,-2.6024256,-2.1517506,-2.584434,-4.300457,-8.925803,-2.2870817,-2.1710477,-7.264515,-7.028634,-6.8028326,-7.294878,-7.250243
dmr_6,-10.2742195,-10.105965,-10.233608,-9.504753,-11.059105,-9.718241,-9.995358,-9.959205,-9.13612,-10.29623,-9.768241,-9.578356,-10.17551,-10.031382,-10.173574,-9.68681,-9.848804,-10.310466,-10.541176,-8.753112,-8.925803,-10.11539,-10.058031,-7.264515,-7.028634,-6.8028326,-7.294878,-7.250243
hsa-let-7a-3p,-3.7142072,-3.6887603,-3.778135,-4.30488,-7.4525204,-4.6578827,-4.932917,-4.817171,-9.13612,-6.1527147,-5.3211446,-4.702016,-4.060775,-3.7995217,-3.844823,-9.68681,-6.038649,-10.310466,-10.541176,-5.431184,-5.404891,-10.11539,-5.745409,-7.264515,-7.028634,-6.8028326,-7.294878,-7.250243
hsa-let-7a-5p,2.5751472,3.6425877,1.9654222,6.204557,-0.36375618,4.1720395,4.0011663,4.114643,-4.9890823,1.298852,3.8983011,4.594657,3.4437008,3.882609,2.4472957,-9.68681,3.6247945,0.9906931,-2.9099069,2.349546,5.44131,2.0211143,2.0089602,6.1310444,6.3600903,5.8857584,6.7124825,6.9358883
hsa-let-7b-3p,-3.8015497,-3.496644,-3.5462809,-3.946387,-4.3465977,-3.9448595,-4.1332197,-4.2490873,-3.0659115,-3.9762385,-4.055472,-3.8083541,-3.4732435,-3.5147586,-3.8421655,-3.8226433,-4.514308,-10.310466,-4.328887,-2.3946629,-5.534489,-10.11539,-4.5019846,-7.264515,-7.028634,-6.8028326,-7.294878,-7.250243
hsa-let-7b-5p,1.935554,1.7062883,1.2756858,6.6337695,2.2820086,5.570686,5.704856,5.5358944,-1.3437815,4.124179,5.3244753,5.662077,0.40460396,0.3466115,0.1531825,-2.606607,4.9596524,3.7094994,1.3042431,4.410797,5.17235,4.2588634,4.547976,7.6331663,7.606621,7.6164923,7.554393,7.863452
hsa-let-7c-3p,-10.2742195,-10.105965,-10.233608,-9.504753,-11.059105,-9.718241,-9.995358,-9.959205,-9.13612,-10.29623,-9.768241,-9.578356,-10.17551,-10.031382,-10.173574,-9.68681,-9.848804,-10.310466,-10.541176,-8.753112,-8.925803,-10.11539,-10.058031,-7.264515,-7.028634,-6.8028326,-7.294878,-7.250243
hsa-let-7c-5p,0.5137987,0.56322336,0.033354282,6.6211696,0.9237237,5.1285596,5.0715656,5.049752,-3.2396646,3.0119972,4.8830624,5.432358,-0.21465158,-0.14954329,-0.7868805,-5.1415515,4.6152215,2.6188984,-0.32290745,3.3968353,5.3751535,3.5018492,3.614221,6.9647923,7.194088,7.1426125,7.342024,7.645996
hsa-let-7d-3p,-3.7040644,-3.7876768,-3.4036326,-4.4203568,-3.8829613,-2.9295034,-3.0945158,-2.8861666,-5.007258,-2.6339178,-3.0471418,-3.2146924,-4.251033,-3.8725262,-3.7307475,-3.8184884,-2.4241781,-1.7251616,-2.9801154,-3.5061755,-4.402047,-1.8465157,-1.825541,-7.264515,-7.028634,-6.8028326,-7.294878,-7.250243
hsa-let-7d-5p,-0.95933867,-0.11905193,-1.8409939,4.905853,-1.9405293,2.5382085,2.5131817,2.5517302,-9.13612,-0.4606738,2.3166533,3.0714436,-0.77379274,-0.3215747,-1.793148,-9.68681,2.184216,-0.8866291,-5.5052004,-0.026272297,4.2687225,0.36050653,0.24763727,5.666913,5.949374,5.5794516,6.1018267,6.349448
hsa-let-7e-3p,-5.1591444,-4.846888,-4.813716,-9.504753,-11.059105,-9.718241,-9.995358,-9.959205,-9.13612,-10.29623,-9.768241,-9.578356,-4.821083,-4.6734886,-5.0002556,-9.68681,-9.848804,-10.310466,-10.541176,-8.753112,-8.925803,-10.11539,-10.058031,-7.264515,-7.028634,-6.8028326,-7.294878,-7.250243
hsa-let-7e-5p,-1.2300324,-0.095730305,-1.890841,3.0960402,-3.2994123,0.41417217,0.24129581,0.41269588,-9.13612,-2.8382726,-0.03954506,0.95835924,-0.14432192,0.12695885,-1.1412015,-9.68681,-0.07107878,-2.817597,-5.546135,-1.2330046,2.6872091,-1.8581457,-1.7068663,3.9800553,4.3161583,3.8698337,4.486229,4.7856607
hsa-let-7f-1-3p,-3.8646126,-3.5367517,-3.7289217,-4.144996,-4.648063,-4.3137326,-4.4375043,-4.951601,-3.447708,-4.343629,-4.393957,-4.137235,-3.539018,-3.5152044,-3.8060904,-4.1187806,-9.848804,-10.310466,-4.8851433,-2.559762,-8.925803,-10.11539,-5.6820397,-7.264515,-7.028634,-6.8028326,-7.294878,-7.250243
hsa-let-7f-2-3p,-5.3867817,-5.3233414,-5.664914,-5.8669105,-11.059105,-6.396313,-6.6734304,-6.494484,-9.13612,-10.29623,-9.768241,-6.256428,-5.8237057,-5.5181,-5.674871,-9.68681,-9.848804,-10.310466,-10.541176,-8.753112,-8.925803,-10.11539,-10.058031,-7.264515,-7.028634,-6.8028326,-7.294878,-7.250243
hsa-let-7f-5p,1.6049037,2.8277836,1.0736823,5.3655095,-1.5312753,2.7671819,2.5385962,2.746605,-9.13612,-0.51772404,2.5088854,3.3597221,2.6596222,3.0773072,1.6329284,-9.68681,2.3252063,-0.7558136,-5.1198316,0.060643673,5.59147,0.33385086,0.5733099,5.2419033,5.5003014,4.9070425,5.9758415,6.3026705
hsa-let-7g-3p,-5.574318,-5.22407,-4.9416113,-5.064948,-5.6010966,-4.998554,-4.7730083,-4.5267363,-9.13612,-4.7418013,-5.207734,-4.484471,-5.50679,-5.2621603,-5.9214015,-4.5567107,-4.286235,-4.9345684,-5.1275716,-5.431184,-8.925803,-4.710136,-4.1957874,-7.264515,-7.028634,-6.8028326,-7.294878,-7.250243
hsa-let-7g-5p,-0.96329737,-0.42503023,-2.1830726,4.9085813,-1.9351568,2.0373015,2.0619974,2.263976,-9.13612,-0.896914,2.1625185,2.7446594,-1.4336557,-1.1339025,-2.5808506,-9.68681,1.9163537,-1.1999831,-5.9046674,-2.2944133,5.098858,-0.19692469,0.29642534,5.9253426,5.990489,5.433632,6.3389597,6.5488853
hsa-let-7i-3p,-10.2742195,-10.105965,-10.233608,-6.1828246,-11.059105,-9.718241,-9.995358,-9.959205,-9.13612,-10.29623,-9.768241,-9.578356,-10.17551,-10.031382,-10.173574,-9.68681,-9.848804,-10.310466,-10.541176,-8.753112,-8.925803,-10.11539,-10.058031,-7.264515,-7.028634,-6.8028326,-7.294878,-7.250243
hsa-let-7i-5p,-0.28802872,-0.2512598,-1.7584023,5.1907096,-1.0185323,2.37155,2.6967344,2.599496,-9.13612,-0.03276539,2.6587448,3.0581303,-1.8147073,-1.9824104,-2.893648,-9.68681,2.4236417,-0.36367512,-3.4462652,-1.4665108,4.9510975,0.43276644,0.61588526,6.6429415,6.606245,6.2969236,6.775771,6.9484434
hsa-miR-1-3p,-10.2742195,-10.105965,-10.233608,0.59139633,-11.059105,-3.2601218,-3.6745472,-2.9896972,-9.13612,-10.29623,-3.101598,-1.908916,-10.17551,-10.031382,-10.173574,-9.68681,-3.3268409,-10.310466,-10.541176,-8.753112,2.0585504,-10.11539,-4.5761247,-0.3626225,0.006072044,-0.784935,0.6070125,1.1588554
hsa-miR-1-5p,-10.2742195,-10.105965,-10.233608,-9.504753,-11.059105,-9.718241,-9.995358,-9.959205,-9.13612,-10.29623,-9.768241,-9.578356,-10.17551,-10.031382,-10.173574,-9.68681,-9.848804,-10.310466,-10.541176,-8.753112,-8.925803,-10.11539,-10.058031,-7.264515,-7.028634,-6.8028326,-7.294878,-7.250243
hsa-miR-100-3p,-0.90003395,-0.41088867,-1.0417094,-9.504753,-11.059105,-9.718241,-9.995358,-9.959205,-9.13612,-10.29623,-9.768241,-9.578356,-0.35724306,-0.19513988,-0.833539,-9.68681,-9.848804,-10.310466,-10.541176,-8.753112,-8.925803,-10.11539,-10.058031,-7.264515,-7.028634,-6.8028326,-7.294878,-7.250243
hsa-miR-100-5p,3.8868594,4.409384,3.4420648,1.1799212,-5.6918697,-1.0949779,-1.3191161,-0.8354969,-9.13612,-3.289726,-0.7748637,-0.5432348,4.9712887,4.856177,3.8220458,-9.68681,-1.1223917,-4.445156,-10.541176,-0.7172737,1.088026,-2.969974,-2.5875688,2.2718468,2.5732906,2.2023346,2.6057565,2.872253
hsa-miR-101-3p,-0.9880867,-0.26088238,-1.5640574,1.5984087,-4.8353286,-0.97381115,-0.8572607,-0.95568705,-9.13612,-3.8880792,-0.5574703,-0.32094193,0.14039087,-0.26490307,-1.3472681,-9.68681,-0.96699905,-10.310466,-10.541176,-3.8288362,2.0796323,-3.1417968,-2.6431618,1.1759973,0.8752463,0.40267444,1.0034506,1.2279358
hsa-miR-101-5p,-5.0338206,-4.055215,-4.496893,-3.3382783,-5.847952,-4.817838,-4.22171,-4.082617,-9.13612,-10.29623,-9.768241,-4.473172,-3.9567428,-4.025277,-4.271188,-9.68681,-6.1347237,-10.310466,-10.541176,-8.753112,-3.9788525,-10.11539,-10.058031,-7.264515,-7.028634,-6.8028326,-7.294878,-7.250243
hsa-miR-103a-2-5p,-10.2742195,-6.477623,-10.233608,-4.2546134,-5.0713925,-9.718241,-4.6598396,-9.959205,-9.13612,-10.29623,-9.768241,-9.578356,-4.6008883,-6.038831,-10.173574,-9.68681,-9.848804,-10.310466,-5.7428713,-8.753112,-8.925803,-10.11539,-10.058031,-7.264515,-7.028634,-6.8028326,-7.294878,-7.250243
hsa-miR-103a-3p,2.6819978,3.277668,1.9452147,4.5246425,-1.7254567,2.0581546,2.4810562,2.125574,-5.455582,-0.3722639,2.338604,2.566927,3.6861954,3.5465074,2.4119554,-3.5815172,1.9918323,-0.85184,-3.3058586,-0.41876698,4.1706467,0.1483736,0.42422867,4.9026957,4.3099346,4.0154133,4.462201,4.729126
hsa-miR-103b,-10.2742195,-10.105965,-10.233608,-9.504753,-11.059105,-9.718241,-9.995358,-9.959205,-9.13612,-10.29623,-9.768241,-9.578356,-10.17551,-10.031382,-10.173574,-9.68681,-9.848804,-10.310466,-10.541176,-8.753112,-8.925803,-10.11539,-10.058031,-7.264515,-7.028634,-6.8028326,-7.294878,-7.250243
hsa-miR-105-3p,-10.2742195,-6.536741,-6.6132336,-9.504753,-11.059105,-9.718241,-9.995358,-9.959205,-9.13612,-10.29623,-9.768241,-9.578356,-6.2993765,-6.5006247,-6.369883,-9.68681,-9.848804,-10.310466,-10.541176,-8.753112,-8.925803,-10.11539,-10.058031,-7.264515,-7.028634,-6.8028326,-7.294878,-7.250243
hsa-miR-105-5p,-2.9348373,-3.0467253,-2.9429042,-9.504753,-4.1180663,-4.2413826,-4.51242,-3.8357642,-9.13612,-3.6681774,-4.117057,-4.38122,-2.8344154,-2.8146489,-3.2292812,-9.68681,-2.6263463,-1.3004556,-3.0667229,-1.7925689,-8.925803,-1.6344624,-1.8713865,-7.264515,-7.028634,-6.8028326,-7.294878,-7.250243
hsa-miR-106a-3p,-10.2742195,-10.105965,-10.233608,-9.504753,-11.059105,-9.718241,-9.995358,-9.959205,-9.13612,-10.29623,-9.768241,-9.578356,-10.17551,-10.031382,-10.173574,-9.68681,-9.848804,-10.310466,-10.541176,-8.753112,-8.925803,-10.11539,-10.058031,-7.264515,-7.028634,-6.8028326,-7.294878,-7.250243
