miRNA,GSM6067330,GSM6067331,GSM6067332,GSM6067333,GSM6067334,GSM6067335,GSM6067336,GSM6067337,GSM6067338,GSM6067339
Blank,-3.3178222,-3.3167377,-3.209245,-3.2250457,-3.321912,-3.1676135,-2.9150267,-2.88057,-3.2766054,-3.066077
dmr_285,-3.3178222,-3.3167377,-3.209245,-3.2250457,-3.321912,-3.1676135,-2.9150267,-2.88057,-3.2766054,-3.066077
dmr_3,1.3825852,1.4273723,2.4655106,1.9191492,1.9151797,2.7346654,2.6062388,-2.88057,-3.2766054,-3.066077
dmr_308,-3.3178222,-3.3167377,-3.209245,-3.2250457,-3.321912,-3.1676135,-2.9150267,-2.88057,-3.2766054,-3.066077
dmr_316,-3.3178222,-3.3167377,-3.209245,-3.2250457,-3.321912,-3.1676135,-2.9150267,-2.88057,-3.2766054,-3.066077
dmr_31a,-3.3178222,-3.3167377,-3.209245,-3.2250457,-3.321912,-3.1676135,-2.9150267,-2.88057,-3.2766054,-3.066077
dmr_6,-3.3178222,-3.3167377,-3.209245,-3.2250457,-3.321912,-3.1676135,-2.9150267,-2.88057,-3.2766054,-3.066077
hsa-let-7a-3p,-3.3178222,-3.3167377,-3.209245,-3.2250457,-3.321912,-3.1676135,-2.9150267,-2.88057,-3.2766054,-3.066077
hsa-let-7a-5p,4.8467474,4.598141,-3.209245,1.0111262,3.879305,-3.1676135,-2.9150267,-2.88057,-3.2766054,-3.066077
hsa-let-7b-3p,-0.3184723,-3.3167377,-3.209245,1.0111262,-3.321912,-3.1676135,-2.9150267,-2.88057,-3.2766054,-3.066077
hsa-let-7b-5p,5.692555,5.3688097,1.1450444,1.9261441,5.0034275,4.349268,-2.9150267,-2.88057,2.8472164,-3.066077
hsa-let-7c-3p,-3.3178222,-3.3167377,-3.209245,-3.2250457,-3.321912,-3.1676135,-2.9150267,-2.88057,-3.2766054,-3.066077
hsa-let-7c-5p,4.3599987,4.3284063,-3.209245,-3.2250457,3.7176585,2.7296784,-2.9150267,-2.88057,-3.2766054,-3.066077
hsa-let-7d-3p,-3.3178222,-3.3167377,-3.209245,-3.2250457,-3.321912,-3.1676135,-2.9150267,-2.88057,-3.2766054,-3.066077
hsa-let-7d-5p,3.3399537,3.8191772,-3.209245,1.0111262,2.6769602,-3.1676135,-2.9150267,-2.88057,-3.2766054,-3.066077
hsa-let-7e-3p,-3.3178222,-3.3167377,-3.209245,-3.2250457,-3.321912,-3.1676135,-2.9150267,-2.88057,-3.2766054,-3.066077
hsa-let-7e-5p,2.4694064,2.4573267,2.5852635,2.6507518,2.6009228,2.5624526,3.6708698,3.1221545,0.7555322,1.9032698
hsa-let-7f-1-3p,-3.3178222,-3.3167377,-3.209245,-3.2250457,-3.321912,-3.1676135,-2.9150267,-2.88057,-3.2766054,-3.066077
hsa-let-7f-2-3p,-3.3178222,-3.3167377,-3.209245,-3.2250457,-3.321912,-3.1676135,-2.9150267,-2.88057,-3.2766054,-3.066077
hsa-let-7f-5p,3.879305,3.4930205,-3.209245,-3.2250457,3.000459,-3.1676135,-2.9150267,-2.88057,-3.2766054,-3.066077
hsa-let-7g-3p,-3.3178222,-3.3167377,-3.209245,-3.2250457,-3.321912,-3.1676135,-2.9150267,-2.88057,-3.2766054,-3.066077
hsa-let-7g-5p,3.5657341,3.2465827,-3.209245,-3.2250457,2.7698221,-3.1676135,-2.9150267,-2.88057,-3.2766054,-3.066077
hsa-let-7i-3p,-3.3178222,-3.3167377,-3.209245,-3.2250457,-3.321912,-3.1676135,-2.9150267,-2.88057,-3.2766054,-3.066077
hsa-let-7i-5p,4.058383,3.6100907,-3.209245,-3.2250457,3.111803,-3.1676135,-2.9150267,-2.88057,-3.2766054,-3.066077
hsa-miR-1-3p,-3.3178222,-3.3167377,-3.209245,-3.2250457,-3.321912,-3.1676135,-2.9150267,-2.88057,-3.2766054,-3.066077
hsa-miR-1-5p,-3.3178222,-3.3167377,-3.209245,-3.2250457,-3.321912,-3.1676135,-2.9150267,-2.88057,-3.2766054,-3.066077
hsa-miR-100-3p,-3.3178222,-3.3167377,-3.209245,-3.2250457,-3.321912,-3.1676135,-2.9150267,-2.88057,-3.2766054,-3.066077
hsa-miR-100-5p,-3.3178222,-3.3167377,-3.209245,-3.2250457,-3.321912,-3.1676135,-2.9150267,-2.88057,-3.2766054,-3.066077
hsa-miR-101-3p,3.2195704,2.5106394,-3.209245,-3.2250457,1.3995626,-3.1676135,-2.9150267,-2.88057,-3.2766054,-3.066077
hsa-miR-101-5p,-3.3178222,-3.3167377,-3.209245,-3.2250457,-3.321912,-3.1676135,-2.9150267,-2.88057,-3.2766054,-3.066077
hsa-miR-103a-2-5p,-3.3178222,-3.3167377,-3.209245,-3.2250457,-3.321912,-3.1676135,-2.9150267,-2.88057,-3.2766054,-3.066077
hsa-miR-103a-3p,4.65034,4.2570577,3.384561,3.6639702,4.2058477,3.6708698,2.6062388,-2.88057,0.7555322,-3.066077
hsa-miR-103b,-3.3178222,-3.3167377,-3.209245,-3.2250457,-3.321912,-3.1676135,-2.9150267,-2.88057,-3.2766054,-3.066077
hsa-miR-105-3p,-3.3178222,-3.3167377,-3.209245,-3.2250457,-3.321912,-3.1676135,-2.9150267,-2.88057,-3.2766054,-3.066077
hsa-miR-105-5p,-3.3178222,-3.3167377,-3.209245,-3.2250457,-3.321912,-3.1676135,-2.9150267,-2.88057,-3.2766054,-3.066077
