miRNA,P3263,P3267,P3271,P3275,P3277,P3280,P3281,P3283,P3284,P3287,P3289,P3290,P3303,P3304,P3321,P3329,P3338,P3339,P3358,P3362,P3363,P3383,P3384,P3385,P3396,P3399,P3401,P3403,P3405,P3406,P3409,P3434,P3435,P3436,
hsa-let-7a-2-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
hsa-let-7a-3p,488,136,262,131,210,224,109,167,178,121,191,146,105,272,182,288,296,197,542,390,323,335,282,275,216,80,228,351,104,163,189,262,121,554,111
hsa-let-7a-5p/7c-5p,166422,491631,256627,338638,291449,344424,364204,393320,308196,421102,240775,421332,345158,489984,458297,638018,575097,317196,244333,382159,309674,301654,517032,429303,279236,531013,537209,475558,363167,619738,506346,589496,813513,469148,620580
hsa-let-7b-3p,0,110,0,105,56,119,42,56,70,0,0,48,35,56,78,119,0,46,63,112,46,87,199,109,125,60,0,49,42,31,51,0,11,105,89
hsa-let-7b-5p,94995,503949,200714,380139,130359,270512,246675,273064,143697,275414,146043,282810,179408,333525,467812,468054,357616,248780,117461,203429,113850,119652,360565,445017,384803,472957,673579,443630,338258,634360,457647,523226,283578,127949,385348
hsa-let-7c-3p,0,0,0,0,0,0,7,7,0,0,0,0,4,0,0,8,0,0,2,0,2,2,0,0,0,5,7,0,0,0,0,0,7,7,0
hsa-let-7d-3p,3412,3944,3203,3756,3154,4013,3002,2904,2534,3638,2138,2679,2210,5175,3523,6361,3104,4291,4683,4269,3470,3650,6568,4802,3648,4341,4199,4860,3569,4376,3697,4947,3909,3583,3203
hsa-let-7d-5p,22646,46532,28989,36835,40832,47535,40493,38572,36293,46182,26975,41224,38156,44640,55192,71326,34896,44542,30192,47640,39532,43152,36742,58808,50466,55752,61156,55224,44000,77986,67768,58920,62964,65835,79040
hsa-let-7e-3p,57,9,41,0,13,13,4,14,16,6,13,11,11,11,18,27,0,7,17,26,24,27,37,34,14,0,38,26,25,19,45,11,13,41,0
hsa-let-7e-5p,6728,12502,8884,5556,8098,14155,13314,13369,10275,9911,9773,18456,16190,13198,17306,26340,23620,11331,10070,23801,16570,20143,12081,12674,7501,12017,13975,15258,14952,12287,10448,12088,36292,20000,17724
hsa-let-7f-1-3p,95,0,109,36,82,62,28,28,0,37,0,0,0,68,0,13,0,50,78,81,72,69,93,54,14,0,0,100,0,0,46,0,0,99,49
hsa-let-7f-2-3p,108,0,29,0,0,0,19,0,31,0,37,0,0,0,0,0,88,59,0,0,0,0,75,43,0,0,68,56,0,0,0,0,0,88,0
hsa-let-7f-5p,351874,469865,346473,278018,589834,405280,491924,655022,550859,596641,419976,700679,690413,603274,468093,853798,797805,454629,609070,652463,780465,721798,796414,637653,333751,612734,660157,700879,525245,615197,490684,528617,1214081,1064828,771886
hsa-let-7g-3p,72,17,0,0,37,6,12,33,29,22,30,15,17,27,23,0,40,31,56,44,51,56,34,21,24,24,23,0,34,22,0,20,18,77,40
hsa-let-7g-5p,24806,32779,28734,26090,39030,37103,34334,30826,35795,35937,24101,32270,34515,38896,34709,54471,39972,37036,39290,54138,45666,41739,38938,45503,31483,39526,50030,48768,38614,46908,38673,36628,54415,62245,47223
hsa-let-7i-3p,152,32,42,35,90,51,35,41,71,10,61,87,67,60,13,89,24,61,165,84,136,206,22,52,29,27,49,86,68,42,90,36,18,245,99
hsa-let-7i-5p,193913,369437,374126,236271,320432,231871,397284,403670,371249,456053,398877,438355,493247,479218,325758,628070,629208,358545,422147,431431,445476,407529,424539,431179,378261,522828,487443,582514,397271,472032,402248,424216,979233,511295,415505
hsa-miR-1-3p,4177,1046,2484,4951,13030,2913,6055,3755,2194,1927,2046,2518,16113,5225,4585,1815,8794,4128,11918,11039,3222,5540,3567,4029,4156,13937,2792,3139,3737,2973,3492,4376,1651,47502,5227
hsa-miR-1-5p,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
hsa-miR-100-3p,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
hsa-miR-100-5p,119,100,630,382,641,179,223,142,77,249,372,538,91,64,328,712,433,81,387,476,61,279,98,858,229,73,509,833,572,668,401,670,294,517,553
hsa-miR-101-2-5p,0,0,0,0,0,0,0,0,10,0,5,0,5,0,8,10,0,5,4,0,3,6,8,4,3,0,0,20,0,0,0,5,0,3,2
hsa-miR-101-3p,83845,51810,47375,22251,56877,63143,57583,53730,73053,45907,73878,75501,48739,83490,28367,74950,103364,73073,127272,95188,93882,114957,46404,55969,85579,47676,64329,70189,43287,77116,58232,61087,29380,116166,91753
hsa-miR-101-5p,53,0,15,0,7,62,22,7,12,17,9,24,7,7,0,18,56,11,9,14,12,28,11,12,17,13,3,23,43,14,22,36,0,79,55
hsa-miR-10226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10392-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10392-5p,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,26,0,0,1,0,0
hsa-miR-10393-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10393-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10394-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10394-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10395-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,21,11,0,0,28,11,0,0,0,2,0
hsa-miR-10395-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10396a-3p/10396b-3p,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
hsa-miR-10396a-5p/10396b-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,23,3,0,0,0,0,12,0,0,0,0,0,0
hsa-miR-10397-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
