miRNA,GSM7886764,GSM7886765,GSM7886766,GSM7886767,GSM7886768,GSM7886769,GSM7886770,GSM7886771,GSM7886772,GSM7886773,GSM7886774,GSM7886775,GSM7886776,GSM7886777,GSM7886778
Blank,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
dmr_285,537.019,3188.771,2334.778,3129.395,1727.455,578.8433,1852.954,2335.996,2644.887,1201.393,958.727,3071.126,1825.832,1978.062,1541.955
dmr_3,4843.51,6515.66,4953.37,6248.13,5157.64,4051.191,3924.499,5685.55,4409.95,4834.42,5322.27,6465.58,4866.15,5873.13,6478.38
dmr_308,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
dmr_316,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
dmr_31a,661.36,2222.004,1734.892,2358.98,1365.604,813.543,1410.505,1668.007,1696.049,1286.023,1226.968,2094.713,1766.692,1848.779,1202.774
dmr_6,1274.118,1660.32,1186.929,1548.796,1152.131,919.383,951.003,1636.04,1121.446,1315.885,1216.38,1907.228,1069.019,1711.872,1803.963
hsa-let-7a-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-let-7a-5p,0.1,47.8019,2.6966,76.3751,23.27028,1.64345,4.1728,12.84633,44.9468,3.75247,8.11007,31.51146,2.81932,12.75248,8.85973
hsa-let-7b-3p,6.31467,8.9767,5.85569,9.1881,9.90746,9.06233,9.67483,9.15336,9.94199,9.4362,9.5283,8.49183,8.62722,8.32908,8.07549
hsa-let-7b-5p,9.2527,105.4659,4.5136,94.7071,63.989,15.35573,20.68084,33.4801,54.8636,38.7358,39.9991,60.701,25.99393,43.3915,38.3401
hsa-let-7c-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-let-7c-5p,0.1,8.99622,0.1,8.05848,4.81341,0.1,0.1,3.57289,6.08509,3.80892,2.97179,6.26583,2.55714,4.65938,3.17761
hsa-let-7d-3p,0.680986,2.48569,0.1,5.34956,1.50144,1.55635,0.1,1.09564,1.22717,3.96216,8.31472,3.0855,3.96188,8.91627,1.14238
hsa-let-7d-5p,0.1,21.41899,1.91697,42.92751,9.07401,0.1,0.1,3.80078,14.5858,0.1,3.90763,15.94506,0.1,6.54557,3.24229
hsa-let-7e-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-let-7e-5p,0.1,8.54943,0.1,10.23746,1.97524,0.1,0.1,0.1,0.1,0.1,0.1,2.71508,0.1,0.1,0.1
hsa-let-7f-1-3p,6.1137,8.07999,5.3933,8.73354,9.27745,9.4286,8.81893,8.36805,8.9703,8.88204,8.52479,7.96988,7.89403,7.23884,8.05832
hsa-let-7f-2-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-let-7f-5p,0.1,21.58122,2.19984,49.19347,12.27242,0.1,2.77477,6.04067,32.22211,2.61124,3.42854,15.9157,0.1,6.88196,3.70631
hsa-let-7g-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-let-7g-5p,0.1,13.89556,1.69493,36.8971,7.45786,0.1,2.70895,6.293,31.53948,1.93199,3.25196,14.52253,2.45674,5.70968,3.62837
hsa-let-7i-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-let-7i-5p,0.1,14.06174,2.03375,40.0802,9.42316,0.1,3.26422,5.77012,25.32757,2.42392,8.23106,11.69524,2.6295,12.22681,3.24057
hsa-miR-1-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-100-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-100-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-101-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-101-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-103a-2-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-103a-3p,0.1,32.59189,4.48671,97.467,24.771,5.80702,4.7271,14.87397,24.07244,19.79566,35.82255,40.01133,18.61631,43.607,13.32833
hsa-miR-103b,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-105-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-105-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-106a-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-106b-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-106b-5p,0.1,1.89222,0.1,16.59286,3.28636,2.25361,1.96237,7.86086,18.68392,12.67529,8.16507,4.99535,9.15223,17.23006,7.90496
hsa-miR-107,0.1,18.47452,2.8949,56.0653,12.29391,2.28494,3.06783,9.93798,21.71664,10.95772,14.33204,24.11521,10.65281,25.59845,6.82388
hsa-miR-10a-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-10a-5p,0.1,0.1,0.1,1.9649,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-10b-3p,0.1,0.1,0.1,4.76234,6.34556,0.1,17.44288,4.525,7.05157,0.1,0.1,0.1,0.1,0.1,5.76137
hsa-miR-10b-5p,0.1,0.1,0.1,2.40302,0.1,0.1,0.1,2.5053,2.01616,0.1,0.1,2.97437,0.1,0.1,0.1
hsa-miR-1178-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1178-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1179,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1180-3p,0.1,17.8818,0.1,6.13066,9.65533,8.83244,7.13879,6.86591,11.93268,2.71144,10.19777,7.19042,6.42198,0.1,2.06645
hsa-miR-1180-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-1181,34.1578,16.09951,6.37786,45.2621,35.9025,51.2945,77.4683,52.1887,66.1415,63.8278,56.6794,42.7423,34.0389,46.5173,47.5904
hsa-miR-1182,3.76177,7.59523,0.1,10.95832,11.57556,19.0599,15.1765,16.34801,31.1048,20.3741,18.9923,11.48825,15.27003,13.70207,17.7249
hsa-miR-1183,6.72611,8.76762,0.1,12.94969,15.27779,47.6387,23.8502,71.2476,108.4451,39.0597,26.9622,20.02551,23.0818,20.84338,26.5233
hsa-miR-1184,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
