,NDNRF_1,NDNRF_2,NDNRF_3,NDNRF_4,NDNRF_5,NDNRF_6,NDNRF_7,NDNRF_8,NDNRF_9,NDNRF_10,NDNRF_11,T2DKD_1,T2DKD_2,T2DKD_3,T2DKD_4,T2DKD_5,T2DKD_6,T2DKD_7,T2DKD_8,T2DKD_9,T2DNRF_1,T2DNRF_2,T2DNRF_3,T2DNRF_4,T2DNRF_5,T2DNRF_6,T2DNRF_7,T2DNRF_8,T2DNRF_9,T2DNRF_10,T2DNRF_11,T2DNRF_12,T2DNRF_13
hsa-let-7a-5p,28871,18683,187268,39558,418341,108321,317465,54612,79159,80791,25991,15056,43243,84408,37749,103974,74486,17643,91556,19487,175863,39204,150563,462402,129750,79983,170668,234179,50539,213217,82628,196642,71543
hsa-let-7a-3p,0,0,0,57,9,48,11,1,49,52,0,0,3,15,4,36,64,0,1,0,96,0,11,0,7,20,17,113,0,52,29,47,0
hsa-let-7b-5p,45280,80753,154877,45838,553653,209145,93084,140234,118461,156838,77304,35524,36213,142088,43824,344166,54892,18080,60840,41865,369122,229189,638377,212800,134324,110049,350468,364364,74581,322209,179556,403412,65237
hsa-let-7b-3p,43,12,70,48,27,94,38,0,41,138,31,16,30,96,6,2,139,3,25,21,152,3,67,39,65,1,23,62,31,112,38,33,27
hsa-let-7c-5p,702,293,3018,524,5023,1406,3254,964,1760,1439,444,217,683,801,550,953,930,281,1762,422,4079,1110,4707,5984,1652,1272,4439,2646,842,3217,1647,2394,1071
hsa-let-7c-3p,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0
hsa-let-7d-5p,1914,820,11420,3990,20557,6374,12709,4201,3168,2951,2374,589,2826,5816,2916,3610,2902,767,6164,2612,20015,6890,10023,27547,4845,4362,12046,10215,3434,9426,4990,10786,4043
hsa-let-7d-3p,1416,266,1750,1503,1700,1197,2013,300,1738,1325,731,316,987,1556,397,419,3495,392,1367,727,4907,2393,1327,1738,1425,750,820,1054,564,1686,642,963,1217
hsa-let-7e-5p,1049,172,8055,1412,3204,1706,20711,1500,2718,3099,307,67,554,739,1036,306,2916,407,3970,207,5530,2156,1391,24222,4425,5123,5958,3537,2716,1863,979,3324,1504
hsa-let-7e-3p,0,0,17,0,0,0,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0
hsa-let-7f-5p,27405,3753,221549,43600,131587,46318,224390,35609,53254,74533,7944,4210,24785,31121,24228,8978,99891,8332,67224,5694,88714,12679,30880,310436,87269,116803,175261,77526,48434,78739,36702,94410,43316
hsa-let-7f-1-3p,39,0,30,0,11,14,5,0,9,30,0,0,5,0,1,0,9,0,5,0,0,0,9,7,0,16,9,1,0,14,1,3,9
hsa-let-7f-2-3p,72,0,0,34,0,0,16,0,29,40,9,11,7,19,2,1,158,2,10,6,0,0,13,5,6,38,4,36,0,15,18,32,1
hsa-miR-15a-5p,950,118,2273,3837,417,3185,304,1066,921,2011,1753,88,559,1469,480,561,1661,61,430,907,5461,1975,897,542,601,2269,1625,5576,1356,3636,3094,4516,693
hsa-miR-15a-3p,0,0,0,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,63,0,0,0,0,10,6,11,0,2,12,6,2
hsa-miR-16-5p,624103,161851,862463,1209971,461460,2507596,237886,841383,1113093,1830879,1337230,192776,179705,1271083,223793,2838863,1141812,54541,297604,366805,3944221,564553,386469,295154,503772,1101034,1385542,2512013,740126,1492648,978577,1956314,307176
hsa-miR-16-1-3p,0,0,51,54,0,9,0,35,0,0,0,0,1,5,0,0,4,0,1,14,0,0,0,0,5,11,0,0,0,0,12,16,2
hsa-miR-17-5p,1155,135,4323,1300,336,2160,1454,1111,779,2522,2014,102,457,732,243,728,2027,85,804,395,9515,9415,808,1814,1246,1500,4022,3183,1170,2941,1621,2893,644
hsa-miR-17-3p,24,0,54,300,2,32,5,242,9,8,71,7,6,14,13,18,11,2,31,5,341,581,4,0,7,67,85,30,63,89,81,129,4
hsa-miR-18a-5p,181,33,991,459,26,412,250,96,234,440,347,13,162,77,49,44,126,5,264,86,2028,2,101,282,167,302,725,561,314,440,692,988,190
hsa-miR-18a-3p,0,15,61,34,17,0,22,108,0,103,0,0,26,6,16,0,0,17,50,47,694,1811,115,37,39,37,12,27,0,55,88,166,44
hsa-miR-19a-3p,652,74,2190,6868,65,1422,434,538,483,1348,1370,77,240,474,69,157,693,14,167,251,4561,2108,192,210,381,3242,709,1192,936,1177,1400,1314,303
hsa-miR-19b-1-5p,0,0,20,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,2,7,1,8,0,5,11,10,0,12,0
hsa-miR-19b-3p,2248,354,6117,23367,171,4043,881,2544,1806,4484,5914,252,727,1299,348,213,2518,47,544,853,13162,14823,741,519,1445,12405,1982,4563,2993,4248,4775,3841,998
hsa-miR-20a-5p,696,104,5997,3940,650,2954,2234,1183,841,1770,1427,82,1242,1031,604,210,2232,87,2190,1190,8759,857,1370,3899,1578,2643,5075,4260,1933,3087,4334,6809,1531
hsa-miR-20a-3p,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0
hsa-miR-21-5p,33153,809,68043,74395,9297,35247,8856,79519,60733,44531,20143,3485,8715,13493,10460,6764,30491,3225,16142,6864,99357,51632,7087,10354,9780,91751,28257,51649,42081,63279,62620,62644,13918
hsa-miR-21-3p,123,0,162,91,0,37,7,93,144,75,0,0,11,13,3,20,68,4,17,8,212,215,9,2,0,86,31,59,159,41,45,50,5
hsa-miR-22-5p,48,0,110,45,1,22,63,0,10,0,16,0,18,22,5,0,10,6,73,29,120,0,33,106,0,28,84,25,1,50,98,92,27
hsa-miR-22-3p,3261,212,6508,17051,1238,5122,1469,5485,2892,2963,6793,421,2000,1950,1162,1000,2110,267,2336,3710,32500,40515,4219,2723,1106,3933,4434,4833,5236,10040,9769,9247,2107
hsa-miR-23a-5p,0,0,13,17,9,0,114,0,0,15,54,1,5,0,0,0,36,1,11,15,0,0,24,103,12,3,23,13,30,3,11,5,7
hsa-miR-23a-3p,2281,92,5812,4967,1194,2031,3024,1892,2419,4575,1617,162,1418,939,803,208,3941,373,2792,1315,17677,12933,3236,5413,1412,3325,4073,3312,3647,3111,3992,3547,1839
hsa-miR-24-3p,4111,256,15782,13553,2474,8747,10157,5836,5441,10431,7042,309,2482,2510,1409,1637,9318,562,8158,2483,37535,40434,4955,18418,3784,8284,16156,9037,8747,6864,8759,10381,2724
hsa-miR-24-2-5p,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
hsa-miR-25-5p,148,29,122,121,111,61,66,101,37,19,67,44,16,52,15,0,39,7,37,46,751,219,76,53,93,87,73,41,29,55,37,73,37
hsa-miR-25-3p,53845,13629,60192,104453,22973,56331,16504,37574,47861,60825,64429,11374,6951,47192,6632,28529,45415,2807,15622,14278,223385,288315,26484,13548,20041,84757,30507,64419,37864,48205,48258,44890,13140
hsa-miR-26a-5p,24805,2346,130849,67275,14311,31748,49899,35162,44663,63734,19523,1543,21013,17054,16260,7031,58943,2240,37890,6518,240035,44741,20995,77334,26124,92079,87881,51383,60921,33629,60642,80313,28804
hsa-miR-26a-1-3p,89,0,245,88,24,38,98,0,103,149,21,0,27,44,8,0,416,3,51,3,0,0,8,113,49,78,64,21,41,33,36,64,29
hsa-miR-26b-5p,3255,795,14929,10020,3351,9165,1617,9802,9605,15749,6571,600,2632,3503,3269,1993,4895,354,2904,966,89284,13679,9277,6085,4001,15085,21425,22934,5588,35089,38748,41754,5680
hsa-miR-26b-3p,39,0,31,38,0,25,32,43,49,78,123,0,2,4,9,25,0,0,2,1,631,704,45,22,10,64,100,105,0,58,39,66,9
hsa-miR-27a-5p,0,8,10,17,2,0,7,49,6,0,0,8,3,0,5,0,0,3,11,4,248,0,0,21,5,26,0,26,25,12,6,17,13
hsa-miR-27a-3p,2023,70,5539,5427,384,2162,1670,1735,2577,5215,1366,104,576,949,455,331,3620,91,1098,366,11910,4743,640,2263,895,2918,3446,3260,3653,2542,2341,3013,471
hsa-miR-28-5p,27,0,159,77,4,0,31,107,16,57,37,0,26,5,15,5,58,7,70,17,264,0,13,103,22,66,77,25,32,20,52,71,24
hsa-miR-28-3p,2499,152,5860,5063,1377,715,4113,1466,2597,2761,776,189,863,1330,359,160,9189,180,1888,211,8719,9239,546,2365,1578,6326,1389,660,2309,468,966,930,648
hsa-miR-29a-5p,0,0,0,0,0,0,3,0,9,0,15,0,0,0,0,0,8,0,0,3,0,0,4,3,0,0,14,1,0,0,24,12,0
hsa-miR-29a-3p,1730,209,1705,3674,196,2769,474,4204,3560,3031,1610,249,271,988,623,329,1999,209,711,372,10339,1570,704,626,537,5228,2998,4791,5096,1528,3872,2440,394
hsa-miR-30a-5p,896,92,512,2999,162,1212,196,1309,2651,2279,1066,112,204,430,131,281,718,56,163,246,7643,1315,453,305,276,2938,1041,1118,1606,939,2313,742,177
hsa-miR-30a-3p,25,24,154,123,30,203,175,75,379,193,111,17,26,9,12,1,215,4,45,37,614,5,46,133,68,244,71,170,330,47,180,55,33
hsa-miR-31-5p,0,0,0,13,0,0,2,0,0,0,0,0,2,0,4,0,0,0,0,3,0,0,8,4,0,0,0,5,0,11,2,0,4
hsa-miR-32-5p,444,42,1756,1989,245,1491,94,1007,1165,1642,602,36,194,301,315,309,681,27,154,299,1511,813,223,226,179,2123,1948,2412,455,1868,1926,2528,237
hsa-miR-32-3p,0,0,54,13,0,13,10,0,17,41,0,0,0,0,1,0,53,0,3,0,0,0,0,22,0,7,2,19,0,4,13,9,4
hsa-miR-33a-5p,137,5,280,364,2,79,45,101,84,65,71,5,2,38,13,19,105,0,36,17,650,0,8,6,23,307,137,115,178,27,81,128,16
hsa-miR-33a-3p,0,0,17,10,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0
hsa-miR-92a-1-5p,64,0,0,0,0,0,0,0,14,0,0,0,2,13,1,0,12,0,7,0,0,214,16,10,6,0,0,3,0,13,8,10,5
hsa-miR-92a-3p,56539,11878,67325,59100,77652,69530,26309,83170,48871,48359,30895,13079,62065,51306,33520,12081,29837,21866,92157,198149,181376,75152,134070,34320,37276,31475,41534,51056,47322,81746,76184,130643,95224
hsa-miR-92a-2-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-93-5p,40701,11958,58319,100803,7250,53715,57584,40404,44051,85187,53114,8200,9302,56686,7827,23873,122562,2625,30461,9207,198982,82200,6247,10429,29727,88891,35862,44593,48396,31943,36722,43872,14002
hsa-miR-93-3p,42,7,106,53,2,0,14,38,29,41,58,0,22,0,5,0,39,4,29,15,115,1218,105,24,20,78,62,37,16,25,132,77,22
hsa-miR-95-5p,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
hsa-miR-95-3p,74,0,125,68,15,154,30,0,102,167,8,2,16,24,22,24,48,3,38,2,127,58,44,77,43,105,112,193,31,46,73,120,20
hsa-miR-96-5p,157,11,249,252,51,148,11,396,23,84,19,68,103,116,158,19,52,16,65,114,317,326,64,5,16,146,121,535,53,266,201,561,86
hsa-miR-98-5p,246,59,3496,829,2100,757,1732,483,682,805,192,37,522,359,355,183,603,158,976,176,2556,499,1386,8331,951,822,2660,1528,664,1804,1283,2194,657
hsa-miR-98-3p,21,0,22,15,1,19,9,0,0,41,0,0,3,7,2,0,46,0,2,1,79,0,4,5,6,0,1,4,0,3,1,1,2
hsa-miR-99a-5p,162,18,332,195,48,29,16,303,272,224,25,22,74,17,69,0,54,38,80,55,939,1599,123,107,48,326,252,219,114,191,610,172,76
