miRNA	GSM1439481	GSM1439482	GSM1439483	GSM1439484	GSM1439485	GSM1439486	GSM1439487	GSM1439488	GSM1439489	GSM1439490	GSM1439491	GSM1439492	GSM1439493	GSM1439494	GSM1439495	GSM1439496	GSM1439497	GSM1439498	GSM1439499	GSM1439500	GSM1439501	GSM1439502	GSM1439503	GSM1439504
hsa-let-7a-1-3p	4.51	23.24	12.07	5.49	34.8	23.96	43.9	18.09	0	5.29	17.21	20.14	9.82	18.24	12.63	17.56	18.76	17.79	21	7.64	32.55	32.23	118.16	5.67
hsa-let-7a-1-5p	1007.54	3033.68	1254.75	801.52	1059.88	865.72	330.54	746.11	696.4	792.42	685.91	1388.93	610.68	1145.73	330.09	860.17	492.06	396.54	1091.82	2794.16	1202.33	1455.61	1339.11	1683
hsa-let-7a-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7a-2-5p	1016.55	3041.43	1261.79	807.01	1059.88	889.68	332.05	742.82	700.54	808.29	685.91	1409.07	617.23	1151.81	329.69	855.16	492.06	396.54	1091.82	2810.72	1183.73	1444.87	1339.11	1688.68
hsa-let-7a-3-3p	4.51	23.24	12.07	5.49	34.8	23.96	43.9	18.09	0	5.29	17.21	20.14	9.82	18.24	12.63	17.56	18.76	17.79	21	7.64	32.55	32.23	118.16	5.67
hsa-let-7a-3-5p	1012.04	2992.36	1242.67	801.52	1077.28	865.72	330.54	742.82	696.4	785.37	685.91	1388.93	607.41	1141.68	331.72	865.19	492.06	396.54	1094.16	2789.06	1183.73	1412.64	1339.11	1660.31
hsa-let-7b-3p	27.05	50.36	30.19	8.24	17.4	47.92	142.3	157.86	16.56	31.74	45.89	191.34	85.14	93.23	111.62	50.16	112.54	71.15	203	35.68	297.6	118.17	0	39.72
hsa-let-7b-5p	556.74	666.35	467.89	474.62	817.75	431.26	508.64	588.69	343.71	430.24	413.04	604.25	410.94	556.31	378	727.33	270.1	369.12	918.18	1846.21	460.35	590.84	0	590.1
hsa-let-7c-3p	0	0	0	0	0	0	6.06	0	0	0	0	0	3.27	0	0	0	0	8.89	0	5.1	0	0	0	0
hsa-let-7c-5p	18.41	47.39	29.85	18.77	5.8	31.95	23.46	37.82	20.71	16.57	0	567.32	66.58	41.55	86.32	139.2	45.02	24.46	310.34	866.83	104.16	56.4	0	28.84
hsa-let-7d-3p	545.47	1472.16	802.96	469.81	695.95	1038.23	809.89	1009.65	579.76	433.77	734.29	1500.55	677.81	1066.02	477.44	1259.04	787.8	498.08	793.35	736.44	1116	1127.96	472.63	1236.93
hsa-let-7d-5p	518.42	876.52	475.44	365.41	574.16	319.46	83.26	187.46	159.43	289.18	240.94	372.62	361.83	495.52	56.22	267.11	225.09	195.68	198.92	436.39	558	773.46	236.31	595.77
hsa-let-7e-3p	0	7.75	0	0	0	0	1.51	6.58	0	0	0	10.07	0	4.05	0	0	0	0	0	5.1	9.3	0	0	5.67
hsa-let-7e-5p	122.84	462.96	130.14	58.11	52.2	146.95	6.33	31.08	124.23	38.79	85.48	234.15	98.23	140.18	28.07	196.38	46.89	26.68	97.22	367.16	388.27	432.39	236.31	549.43
hsa-let-7f-1-3p	9.02	7.75	16.1	8.24	0	15.97	16.65	16.44	16.56	7.05	0	0	3.27	20.27	6.52	15.05	0	0	7	5.1	9.3	0	0	5.67
hsa-let-7f-1-5p	4438.87	14474.31	5902.44	3626.78	4346.82	3533.17	837.04	1954.18	2219.65	2465.08	2606.73	4540.24	2199.88	4291.77	484.39	2961.49	750.29	1258.55	3090.94	4900.29	5750.48	6379.25	3781.02	8590.63
hsa-let-7f-2-3p	4.51	23.24	20.12	5.49	0	0	30.28	3.29	8.28	3.53	11.47	0	0	12.16	4.89	10.03	0	8.89	4.67	7.64	18.6	21.49	0	11.35
hsa-let-7f-2-5p	4682.3	15754.7	6295.87	3919.66	4486.01	3937.28	863.38	2022.58	2360.44	2547.95	2661.8	4802.08	2406.17	4573.47	509.9	3084.89	825.31	1338.6	3291.61	5346.23	6420.08	7152.71	3781.02	9487.13
hsa-let-7g-3p	0	0	0	8.24	0	0	10.6	6.58	0	0	0	0	6.55	4.05	10.59	10.03	0	0	28	0	27.9	10.74	0	0
hsa-let-7g-5p	916.62	1624.22	829.12	775.69	987.39	583.01	227.83	614.17	530.06	689.45	608.08	745.24	448.6	879.57	331.06	840.19	262.6	604.82	852.85	1219.34	765.7	954.29	945.25	1050.64
hsa-let-7i-3p	36.06	15.5	44.27	35.72	17.4	95.84	54.5	75.64	33.13	14.11	68.84	60.42	42.57	40.53	30.96	45.14	112.54	17.79	44.33	28.03	9.3	42.97	0	39.72
hsa-let-7i-5p	5071.49	6334.16	3928.25	3549.67	4880.38	2739.33	1814.3	2274.17	1797.25	3267.37	2661.8	2124.93	1985.95	3327.76	1085.24	3910.03	1237.97	1254.1	1885.36	3550.99	2529.59	3335.55	3308.39	3642.71
hsa-mir-1-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-100-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-100-5p	207.37	112.35	211.3	57.7	69.6	111.81	2921.65	1420.74	323.01	155.17	45.89	221.56	985.61	610.02	2038.09	386.24	1087.91	747.12	2857.21	364.4	1832.09	612.32	945.25	283.7
hsa-mir-101-1-3p	2389.23	2099.77	2074.81	1971.28	1818.18	1693.11	2215.46	1476.65	1068.41	1652.2	912.13	951.69	733.48	1220.04	398.82	1306.69	806.56	698.21	737.35	598.84	1227.6	1401.9	472.63	930.54
hsa-mir-101-1-5p	4.51	7.75	22.14	10.99	0	47.92	28.76	26.31	0	7.05	0	10.07	0	20.27	6.52	25.08	37.51	0	18.67	7.64	18.6	10.74	0	0
hsa-mir-101-2-3p	2470.38	2157.88	2163.36	2042.71	1818.18	1772.98	2245.74	1532.56	1142.95	1683.94	935.07	991.97	743.3	1248.42	414.3	1351.83	806.56	715.99	767.68	634.51	1227.6	1434.12	472.63	958.91
hsa-mir-103a-1-3p	3990.32	3423.42	3219.88	3519.45	4749.89	3439.47	9798.39	6670.69	2856	3686.45	3476.41	2967.52	2759.81	4652.51	18417.33	6100.39	11466.87	4239.64	11860.92	3146.67	5088.63	2918.38	2796.38	2060.61
hsa-mir-103a-2-3p	3994.83	3419.54	3223.9	3522.2	4749.89	3439.47	9798.39	6670.69	2856	3686.45	3476.41	2967.52	2759.81	4656.56	18417.33	6100.39	11466.87	4239.64	11860.92	3156.86	5107.23	2918.38	2796.38	2060.61
hsa-mir-103a-2-5p	0	0	0	0	0	0	1.51	0	0	0	0	0	0	0	0	0	0	0	2.33	0	0	0	0	0
hsa-mir-103b-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-103b-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-105-1-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-105-1-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-105-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-105-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-106a-3p	0	3.87	0	0	0	0	1.51	0	24.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-106a-5p	13.52	1.94	2.01	1.37	0	0	0	0	0	3.53	0	0	0	4.05	0	0	0	0	0	0	0	0	0	0
hsa-mir-106b-3p	509.4	422.28	458.83	442.34	904.74	383.35	217.99	397.94	323.01	409.08	172.1	140.99	167	348.58	64.36	275.88	187.57	168.99	217	186.02	195.3	365.25	708.94	368.81
hsa-mir-106b-5p	383.18	251.82	191.18	255.51	556.76	239.59	68.12	98.66	91.1	232.75	240.94	90.64	58.94	149.97	11.41	105.34	112.54	26.68	39.67	45.87	65.1	118.17	0	113.48
hsa-mir-107	3713.08	2791.94	2893.87	3321.64	4523.71	3151.96	9748.43	6552.29	2802.16	3517.17	3430.51	2635.19	2587.9	4423.5	18341.56	5932.35	11429.36	4132.91	11668.41	2722.38	4702.68	2531.65	2678.22	1705.98
hsa-mir-10a-3p	0	0	16.1	0	17.4	0	42.39	59.2	8.28	3.53	0	0	0	4.05	12.22	10.03	0	0	4.67	2.55	0	0	0	0
hsa-mir-10a-5p	3069.94	3506.07	13865.61	3794.19	2366.25	4616.12	45247.02	21880.08	7217.99	4224.84	3705.87	10010.35	3159.84	3885.08	6430.79	16643.35	937.86	4651.74	2895.71	12430.37	4575.58	6509.96	3544.7	6888.24
hsa-mir-10b-3p	0	0	18.11	0	0	15.97	6.06	3.29	0	0	0	0	0	0	3.26	15.05	0	0	0	0	0	0	0	5.67
hsa-mir-10b-5p	7492.28	6431.02	33080.24	6242.15	5237.06	12538.61	14731.64	12046.71	8924.13	8678.91	10601.31	21632.02	6997.49	9490.79	8977.68	21122.71	2025.77	10388.59	3283.05	9665.52	10006.77	16425.28	3781.02	17680.2
hsa-mir-1178-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1178-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1179	0	0	0	0	0	0	0	0	0	0	0	0	3.27	4.05	0	0	0	0	0	0	0	0	0	0
hsa-mir-1180-3p	0	0	12.07	5.49	0	0	10.6	16.44	0	3.53	0	0	13.1	4.05	14.67	5.02	37.51	0	23.33	20.39	0	0	0	11.35
hsa-mir-1180-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.33	0	0	0	0	0
hsa-mir-1181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1184-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1184-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1184-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1185-1-3p	0	11.62	0	1.37	0	0	0.76	0	0	0	0	0	0	0	0.81	0	0	0	2.33	0	0	0	0	5.67
hsa-mir-1185-1-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1185-2-3p	0	0	0	1.37	0	0	0.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
