ID,AR-30,AR-33,AR-41,AR-43,AR-44,AR-46,AR-50,AR-52,AR-57,AR-58,AR-84,AR-85,AR-86,AR-87,N-18,N-20,N-27,N-31,N-37,N-45,N-48,N-49,N-51,N-53,N-54,N-55,N-56,N-64,N-65,N-92,CTL01_LVntr_1,CTL24_HPntr_1,PMC01_PCntr_1,RBC01_PCntr_1,HUV01_PCntr_1
hsa-let-7a(3),4323,2296,7830,5266,506,217,18475,24413,9630,899,33318,95895,11819,77581,1346,13631,5,7697,13235,1161,10579,56741,2532,7177,13224,188,157,1845,7884,6268,62908,15989,58374,26398,21838
hsa-let-7a*(2),31,1,23,2,0,79,0,606,0,0,564,2850,0,1,0,0,0,10,30,94,153,0,211,0,0,0,0,0,0,507,326,47,516,35,82
hsa-let-7a-2*,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,22
hsa-let-7b,14220,8858,17836,25831,265,613,69671,72426,63954,4668,95364,349886,24317,377055,6541,65712,0,29685,26796,5294,24797,199360,5452,11276,46698,681,1207,2626,28468,18312,9309,4729,11017,7949,2355
hsa-let-7b*,314,0,121,52,0,0,1486,853,205,0,965,2305,1228,2136,37,252,0,78,280,47,155,44,211,475,0,0,0,377,949,0,52,22,45,6,10
hsa-let-7c,797,135,589,190,9,11,5096,588,518,674,7185,23970,717,5149,71,958,0,485,356,111,1330,4688,4,577,95,27,31,11,192,739,6100,3323,1504,107,2341
hsa-let-7c*,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,9
hsa-let-7d,760,286,2441,1939,2,108,1358,7086,1738,920,4810,24163,2223,18816,267,2585,0,2283,3425,347,1873,8294,517,1403,3085,6,483,169,1935,3889,9163,814,825,6526,2149
hsa-let-7d*,2472,1632,1152,935,309,21,5555,7197,3071,385,6399,36441,3519,9531,974,767,0,2112,5461,683,1088,4947,561,9092,6184,0,0,0,5422,4058,241,40,291,34,168
hsa-let-7e,86,28,119,92,19,34,282,341,590,14,887,1507,642,1935,41,51,0,294,196,64,377,683,9,119,231,11,16,31,135,105,4760,340,1376,38,3353
hsa-let-7e*,6,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12,0,380,0,0,0,0,0,0,0,0,43,6,4,0,23
hsa-let-7f(2),885,1996,2697,1842,19,85,5329,11231,6735,311,12164,37443,2956,24787,327,9689,0,3424,4221,344,4202,19373,845,3440,9510,90,344,1963,6143,6476,83623,14560,59527,43009,25202
hsa-let-7f-1*,11,0,34,7,0,0,5,148,0,0,4,1019,0,1,5,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,34,3,70,1,28
hsa-let-7f-2*,13,0,15,12,0,0,0,4,0,0,1,990,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,3,10,6,20,5,15
hsa-let-7g,1142,1074,2972,2695,9,117,7123,9972,2069,1,14179,52869,1492,27111,649,14074,0,3324,4580,530,5125,24057,1297,3675,5692,32,18,17,4062,5360,23276,5208,38164,11458,5967
hsa-let-7g*,92,0,32,40,0,0,0,653,0,0,647,1406,581,657,11,0,0,13,88,2,234,0,0,0,0,0,0,0,0,0,81,13,41,8,5
hsa-let-7i,2566,2826,8221,8440,629,456,16507,24366,20511,0,29601,160339,7459,71892,1486,48087,335,9331,19144,1146,13092,83303,3163,6618,23897,63,317,24,11606,14590,10880,2806,16748,10247,21164
hsa-let-7i*,216,5,549,443,0,9,2066,1385,0,0,700,8256,1358,4358,35,0,0,135,484,5,0,839,0,0,0,0,0,0,1417,727,614,55,335,50,162
hsa-miR-1(2),21,0,11,14,4,57,0,807,0,0,0,998,0,0,8,145,0,23,52,12,0,0,158,0,0,0,0,594,0,332,680367,80,406,5,9
hsa-miR-1-1*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,1,0,0
hsa-miR-1-2*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0
hsa-miR-100,15404,3492,6422,401,552,194,40057,15793,3304,6,20532,120843,28399,51312,294,2573,0,736,1998,354,2635,25573,6737,1956,1792,26,38,2,1430,568,1922,2937,46,0,25398
hsa-miR-100*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,509
hsa-miR-101(2),6550,1342,2974,19859,26,2070,43785,51510,40324,3170,130077,309089,12419,136113,5205,111229,3,14374,42773,2156,36645,129878,8850,15995,34424,35,31,1059,20154,16685,22637,7665,13415,7340,2613
hsa-miR-101-1*,52,5,24,88,0,13,0,0,825,15,0,2690,0,0,1,282,0,151,98,35,0,403,0,0,0,0,0,0,346,786,321,35,90,9,11
hsa-miR-101-2*,0,0,0,7,0,0,0,0,0,0,0,540,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,5,2,1,0,2
hsa-miR-103(2),3904,2974,10772,17379,11,538,19685,18591,33653,2576,28974,134040,20423,47697,1786,65416,0,18652,19349,1767,6812,47507,4838,9491,26063,42,22,600,11231,10596,17925,6189,9870,26501,18596
hsa-miR-103-1*,0,0,2,1,0,0,0,0,33,0,0,3,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3
hsa-miR-103-2*,0,0,50,52,0,0,0,0,715,0,0,1890,0,0,0,0,0,10,65,19,0,0,0,0,0,0,0,0,505,0,7,3,12,1,37
hsa-miR-105(2),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-105*(2),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-106a,54,522,343,786,1,39,2867,2114,942,4,2260,8784,24,4536,32,1948,0,227,305,29,346,1505,548,4,867,0,0,175,24,467,75,35,246,894,379
hsa-miR-106a*,0,0,0,12,0,1,0,0,0,0,0,0,0,0,3,0,0,10,17,0,0,0,0,0,456,0,0,0,0,0,4,0,10,14,0
hsa-miR-106b,1589,1153,4939,8907,449,519,18733,20611,10271,0,33631,98513,5360,42723,1274,24421,0,6142,11875,992,6796,35828,1450,4541,15600,14,14,1420,7007,13316,3468,2034,7767,16235,11680
hsa-miR-106b*,3267,1409,4424,10959,599,306,9379,10454,21155,266,20169,78709,3810,31837,1449,19424,592,5917,16386,1696,4787,37072,1630,3217,9443,15,9,694,5623,4205,42,126,290,342,420
hsa-miR-107,1272,531,3013,5256,3,194,6280,3859,10820,1011,9322,35741,6102,18128,390,18589,0,2307,5513,477,1124,15014,1626,1095,3267,0,2,289,2975,1452,2601,706,752,2707,1379
hsa-miR-107*,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,2
hsa-miR-10a,1703,13,1228,577,8,43,1806,12623,3,505,12168,11439,1797,10622,384,1567,0,973,1736,278,4266,1931,1703,1272,1897,44,569,1947,1159,880,1408,1998,560,2,2211
hsa-miR-10a*,11,0,13,1,0,6,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,26,37,9,0,106
hsa-miR-10b,4784,1054,4784,1544,19,56,3530,16752,751,531,18704,15174,7027,14117,1466,2048,0,2128,5328,2265,9200,7974,4534,4202,7463,15,52,2031,4028,4686,2270,88,869,0,3410
hsa-miR-10b*,22,0,11,13,0,0,0,0,0,0,0,0,0,0,2,0,0,5,10,8,0,0,0,0,0,0,0,3,0,0,19,1,1,0,165
