miRNA,patient2_platelets,patient3_platelets,patient4_platelets,patient5_platelets,patient6_platelets,patient8_platelets,patient9_platelets,patient10_platelets,patient11_platelets,patient12_platelets,patient13_platelets,patient15_platelets,patient16_platelets,patient17_platelets,patient18_platelets,patient19_platelets,patient20_platelets,patient21_platelets,patient14_platelets,patient7a_platelets,patient7b_platelets,patient7c_platelets,control1_platelets,control2_platelets,control3_platelets,control4_platelets,control5_platelets,control6_platelets,control7_platelets,control8_platelets,control10_platelets,control11_platelets,control12_platelets,control13_platelets,control14_platelets,control15_platelets,control16_platelets,control17_platelets,control18_platelets,control20_platelets,control19_platelets,control9a_platelets,control9b_platelets,control9c_platelets,patient2_Microvesicles,patient3_Microvesicles,patient4_Microvesicles,patient5_Microvesicles,patient6_Microvesicles,patient8_Microvesicles,patient9_Microvesicles,patient10_Microvesicles,patient11_Microvesicles,patient12_Microvesicles,patient13_Microvesicles,patient15_Microvesicles,patient16_Microvesicles,patient17_Microvesicles,patient18_Microvesicles,patient19_Microvesicles,patient20_Microvesicles,patient21_Microvesicles,patient14_Microvesicles,patient7a_Microvesicles,patient7b_Microvesicles,patient7c_Microvesicles,control1_Microvesicles,control2_Microvesicles,control3_Microvesicles,control4_Microvesicles,control5_Microvesicles,control6_Microvesicles,control7_Microvesicles,control8_Microvesicles,control10_Microvesicles,control11_Microvesicles,control12_Microvesicles,control13_Microvesicles,control14_Microvesicles,control15_Microvesicles,control16_Microvesicles,control17_Microvesicles,control18_Microvesicles,control20_Microvesicles,control19_Microvesicles,control9a_Microvesicles,control9b_Microvesicles,control9c_Microvesicles,patient2_PBMC,patient3_PBMC,patient4_PBMC,patient5_PBMC,patient6_PBMC,patient8_PBMC,patient9_PBMC,patient10_PBMC,patient11_PBMC,patient12_PBMC,patient13_PBMC,patient15_PBMC,patient16_PBMC,patient17_PBMC,patient18_PBMC,patient19_PBMC,patient20_PBMC,patient21_PBMC,patient14_PBMC,patient7a_PBMC,patient7b_PBMC,patient7c_PBMC,control1_PBMC,control2_PBMC,control3_PBMC,control4_PBMC,control5_PBMC,control6_PBMC,control7_PBMC,control8_PBMC,control10_PBMC,control11_PBMC,control12_PBMC,control13_PBMC,control14_PBMC,control15_PBMC,control16_PBMC,control17_PBMC,control18_PBMC,control20_PBMC,control19_PBMC,control9a_PBMC,control9b_PBMC,control9c_PBMC
hsa-let-7a-star,4.012096,3.558506,4.321552,3.776891,3.83203,3.94954,4.00113,3.50702,3.834968,3.38429,4.076095,3.82427,3.594579,3.30261,3.611712,4.407823,3.746537,3.291645,3.952814,3.852769,3.750081,3.869357,4.064528,3.540221,4.033349,3.134638,3.487466,4.03843,3.984996,3.416769,3.620005,3.49581,3.450752,4.464139,3.877985,3.759057,3.445405,3.848892,3.87135,3.829976,3.672034,4.051219,4.380547,3.629418,3.37086,3.663372,4.095447,3.45224,4.171935,3.78296,3.485384,3.083025,3.638428,4.255455,4.097868,4.120778,3.966606,4.446586,4.089003,3.938404,3.873989,4.502769,4.236873,3.554765,3.48486,4.063284,4.016728,4.053093,4.094582,3.692072,4.261483,4.407468,3.803721,4.358372,4.372776,3.737766,3.942262,3.87856,3.68119,3.678596,4.01328,4.174506,3.741553,4.013121,3.816509,3.863111,3.652628,3.841386,3.783483,3.347116,3.775944,3.68035,4.499186,4.51898,3.517226,3.689616,3.773762,3.845557,3.987764,4.079026,3.657182,4.115522,3.582915,2.977269,3.556451,3.645036,4.14469,4.149089,4.116638,3.743373,3.647496,3.852952,3.353909,3.983714,3.366935,3.599047,3.219609,3.859364,4.497123,3.541317,3.509892,3.457199,3.906576,4.133354,3.126076,3.28539,3.952946,3.33856,3.334303,3.25932,3.903437,3.434214
hsa-let-7a,15.22894,15.33617,15.25429,15.08586,15.08326,15.19821,15.00644,15.19798,15.12716,15.30894,15.17167,14.93238,15.23481,15.1049,15.19097,15.13278,15.10526,15.07906,15.34615,15.10502,14.92491,14.92427,15.21217,15.07478,15.2608,15.16137,15.11864,15.11564,15.59211,15.31873,15.48601,15.14313,15.53483,15.14421,15.60156,15.24308,15.67713,15.19078,15.16206,15.48367,15.54175,15.12186,14.91376,15.16706,10.2873,10.46574,10.26313,10.34213,10.6122,10.00966,11.74222,10.45317,10.48391,10.49404,9.999463,10.65413,10.60384,10.61581,12.16495,10.66177,10.68223,10.47789,10.32345,10.52635,10.5342,10.56304,10.6034,10.47521,10.51009,10.25617,10.74836,10.37755,10.64889,10.71337,10.955,10.6122,10.86335,10.75546,10.82099,10.70553,10.80971,10.92251,10.78418,10.62488,12.51062,10.69385,10.7291,10.85064,15.03009,15.17106,15.16709,15.12682,14.94532,14.97789,15.01167,15.07785,15.06202,15.11869,14.77229,15.08836,14.83689,15.21526,14.67719,15.09313,15.01136,14.69931,15.05129,14.94754,14.72872,14.73061,15.12858,14.94396,15.16079,14.76105,14.89814,15.02497,14.82375,14.8465,14.83475,14.7601,15.15432,14.97092,14.71296,14.53048,15.4918,14.75317,14.70154,14.44875,14.58142,14.76069,14.74862,14.68653
hsa-let-7b-star,4.238056,4.623884,5.48042,4.59995,4.93239,4.897588,4.387151,4.442647,5.313221,4.486796,4.639325,4.089427,4.315906,5.051306,4.464845,4.493041,4.185291,5.346612,5.383971,4.494374,5.088773,5.20819,4.854588,5.150599,4.556424,5.109702,4.345912,4.185149,4.738607,3.338057,4.277783,4.642204,4.40603,4.493971,5.118514,4.295327,4.759135,4.813549,4.07541,4.684126,5.429949,3.933644,4.197596,4.736284,6.053906,3.963901,5.451426,4.706754,4.482335,4.511537,4.691117,6.044699,4.655704,5.064741,4.728245,4.121599,4.335676,5.235721,4.520754,5.758868,4.656816,4.431009,4.514335,5.859288,5.069763,5.455302,4.912526,4.852254,6.522385,5.988495,5.516004,5.834715,5.767839,5.539585,5.020732,5.250762,5.83146,4.595669,5.406943,5.26119,5.217688,5.601502,4.609805,5.019954,4.693841,5.60746,5.33639,4.669011,5.012808,4.974538,4.506285,5.006543,3.868302,4.7295,4.994697,3.892474,5.439452,4.640906,4.253432,4.02999,4.267563,4.757957,5.134195,5.019524,3.791841,5.186886,5.346346,5.181928,4.547618,5.421118,3.442907,4.476147,4.631402,4.993277,4.155964,4.965259,4.391685,5.053063,4.798421,5.238758,4.384137,4.809567,5.501931,5.289465,4.749975,4.957998,5.360543,5.385889,4.412537,5.059212,4.381121,4.624062
hsa-let-7b,14.99267,15.12069,14.95915,15.08666,14.92372,15.38321,14.79394,14.98831,14.90283,14.87656,15.01646,14.80582,14.85816,14.9207,14.95483,14.85995,14.92924,14.82301,15.0329,14.92031,14.47161,14.76524,14.83286,14.77495,14.7561,14.93678,14.75046,14.92105,15.41452,15.07161,14.94819,14.60815,15.18859,14.60176,15.42101,14.50519,15.05467,14.64131,14.64689,15.02694,15.3713,14.66138,14.74422,14.3476,10.54851,10.68335,10.39185,11.05154,10.9029,10.75327,10.17747,10.85275,10.71984,10.85866,10.69301,10.81715,10.90065,10.72862,10.7876,10.9173,10.7371,10.87677,10.65936,10.92908,11.01137,11.1784,10.70756,10.56397,10.6268,10.25223,10.90595,11.07273,10.88375,11.0913,10.7819,10.73531,11.61655,10.93125,10.93732,10.71594,10.99924,10.68924,10.88546,10.73321,10.96687,10.83924,11.00613,10.92633,14.91227,14.92294,14.87783,14.77433,14.84562,14.58668,14.6149,14.76489,14.61128,14.74215,14.22931,14.90236,14.70466,15.08464,14.74815,14.86295,14.53783,14.4794,14.90952,14.43642,14.4572,14.64141,14.81603,14.53653,14.59417,14.51003,15.05507,14.87636,14.34031,14.70012,14.7394,14.51772,14.75967,14.77069,14.67291,14.74002,14.91225,14.58086,14.76306,14.52141,14.71878,14.75783,14.68817,14.87509
hsa-let-7c-star,3.928818,3.489232,3.676322,3.822035,3.21459,3.39397,3.707189,3.923224,3.852121,3.697025,3.6575,4.003028,3.213024,4.049434,4.132624,4.064032,4.292264,3.392442,3.365998,3.363751,3.87736,4.108692,3.687845,3.911733,3.768275,4.193904,3.849464,3.556136,3.278839,3.572041,3.712601,3.236356,4.095564,3.560091,3.994345,3.525297,3.357456,3.561774,3.833882,3.103345,3.519381,3.846446,3.703143,4.110921,4.125329,4.170085,3.853577,4.670569,4.26649,4.060751,4.08858,4.290887,4.481842,4.552884,4.560703,4.121599,4.020027,4.394345,4.186833,4.139606,4.030158,4.542846,3.742409,3.751325,4.304206,4.119381,4.221122,4.41186,4.457249,4.172061,4.001273,4.149481,3.855687,4.75213,4.652747,4.077909,3.678823,4.107109,4.290625,4.039055,4.064174,4.170002,4.204811,4.163649,3.954309,4.191702,4.014195,4.247314,3.899981,3.695558,3.487821,4.364838,3.604107,3.876852,3.461484,3.635831,4.027613,3.329073,4.082293,3.467686,3.487129,3.67615,4.048815,3.782818,3.84447,3.807208,3.276272,3.662235,3.60389,2.977839,3.764909,3.944113,4.127665,3.545795,3.575039,3.337841,3.538062,3.991866,3.694661,3.647061,4.171291,4.082399,3.908218,3.899178,3.635355,3.419895,4.056462,3.677538,3.461641,4.000276,3.48176,4.224445
hsa-let-7c,14.51439,14.73161,14.52213,14.38687,14.29366,14.60504,14.22323,14.55639,14.4359,14.54697,14.48194,14.1696,14.43526,14.26309,14.3615,14.36105,14.3502,14.31781,14.56784,14.32627,14.09762,14.21147,14.41918,14.25335,14.48568,14.5086,14.40467,14.36643,14.96274,14.60078,14.73692,14.24654,14.86279,14.29769,14.98449,14.3717,14.88152,14.37309,14.45464,14.58755,15.17945,14.29129,14.14188,14.18286,9.754854,10.11938,9.712104,10.18543,10.20875,9.56624,9.954467,9.850421,10.01336,10.06014,10.05426,10.23826,10.19064,10.25805,10.25512,10.38538,10.3207,10.31096,10.13942,10.07287,10.11219,10.25307,10.08768,9.91726,9.544912,9.398316,10.27353,10.156,10.15275,10.21368,10.51127,10.38572,10.78218,10.42179,10.57652,10.40599,10.55474,10.27979,10.3284,9.980663,10.30867,10.36145,10.43394,10.41056,14.31638,14.56091,14.40656,14.30824,14.35434,14.20254,14.17825,14.43879,14.28138,14.32863,13.76523,14.29638,14.04753,14.47821,14.17869,14.41806,14.04615,13.92771,14.37629,14.01493,13.92754,14.06085,14.43206,13.94638,14.20714,13.96308,14.33718,14.16561,13.91954,13.98633,14.03957,13.84917,14.29087,14.06997,13.9156,13.83523,14.49626,13.82032,13.94046,13.70281,13.88568,14.13259,14.12047,14.17024
hsa-let-7d-star,5.709698,5.490853,4.913458,5.924635,6.73643,4.359465,6.592711,6.865782,7.344825,7.13716,6.040129,6.516392,7.209641,6.718955,5.969425,6.480961,5.849926,7.628737,7.515599,6.790633,6.821795,6.632526,5.229175,6.265847,6.703415,6.148548,7.438935,5.628298,5.220293,4.82146,7.146932,6.924784,7.324124,7.078774,5.266361,6.776011,7.314514,6.935395,7.41142,6.591259,4.845667,7.007592,6.487496,7.155249,4.1169,4.591485,4.161702,4.451097,4.40874,4.522958,3.494529,4.146488,4.004309,4.397144,4.104848,4.662942,5.024471,4.792506,3.465569,4.562079,4.174757,4.389002,3.864162,3.929178,4.387992,3.671363,4.112998,3.887808,5.085891,4.131184,4.422934,4.600759,4.615125,4.064068,4.812564,4.24757,4.138757,3.971592,3.734143,4.396707,4.288686,4.179618,4.063989,4.073925,4.12803,4.057388,4.274722,4.295936,6.169817,5.852877,6.742787,6.169693,6.376305,6.61488,6.454247,6.754215,6.819861,6.394977,6.893308,6.806319,6.967171,6.095494,5.808484,6.979066,6.221021,5.690792,6.433782,6.532262,6.563362,6.243853,6.835973,6.488491,6.106734,5.46236,6.046076,5.021791,6.221746,6.022299,5.845947,5.688439,6.134,6.392254,6.130446,5.003839,5.997289,6.346894,6.025709,6.042325,5.674615,6.124085,6.28625,5.968898
hsa-let-7d,15.09215,15.05656,14.98961,14.88499,14.96109,15.14635,15.01171,15.08321,14.90122,15.03925,14.91262,14.91656,15.19749,15.04454,14.99805,14.96387,15.11773,14.92685,14.98878,14.96257,14.74365,14.77831,14.96115,14.89674,14.96907,15.03402,14.88886,14.93515,15.42705,15.06456,15.24161,14.86548,15.37496,14.85913,15.40654,14.97347,15.38387,14.93717,14.98029,15.24534,15.38663,14.86363,14.7623,14.85114,10.07338,9.609874,9.005391,10.08199,10.01686,9.587155,10.44594,9.411284,9.718909,9.334782,9.192183,9.566874,9.644332,9.408239,10.61332,9.868378,9.772238,9.751829,9.357852,9.959971,9.899589,9.754579,9.818975,9.31271,9.136992,9.441813,9.926481,9.87653,9.881161,9.851022,9.790997,9.745232,10.02697,10.02073,9.939464,9.738268,10.02878,10.13386,9.651982,9.785465,10.64721,9.923346,10.18143,10.12266,14.64565,14.40486,14.79793,14.58142,14.41572,14.42064,14.58653,14.49391,14.64468,14.62078,14.4263,14.57475,14.54111,14.77909,14.34169,14.58403,14.57355,14.18746,14.64834,14.33161,14.28842,14.36049,14.69576,14.50482,14.61657,14.34321,14.60822,14.44106,14.30586,14.41322,14.5691,14.35342,14.55372,14.59457,14.43359,14.25965,14.84489,14.38404,14.36694,14.29615,14.33371,14.42887,14.44009,14.49053
hsa-let-7e-star,5.233269,3.8021,4.863239,5.211318,5.195575,4.621443,4.734194,5.075178,5.358904,4.829496,5.158869,5.237758,5.253561,4.839297,5.339987,4.433106,5.413929,5.022049,5.495839,5.396753,5.077392,5.133766,4.447183,5.133033,4.8322,5.345343,4.721023,4.480567,5.756462,4.869079,3.826639,4.195102,4.141452,5.139923,5.620938,4.815295,4.194867,4.702175,5.300894,4.919683,5.297022,5.220635,5.49609,4.639478,3.726062,4.314782,4.209387,4.088354,4.040166,3.880164,3.622819,3.948411,4.442229,3.966277,4.046885,4.413641,3.794007,3.781059,3.914006,4.176546,4.03265,3.836099,4.232114,4.6323,4.203834,4.497707,4.436405,4.117075,4.061653,3.973672,4.781793,4.196498,3.905846,4.014556,3.613887,3.970679,4.282077,5.128279,4.205886,4.125768,4.211188,3.892984,4.339173,3.675149,4.237719,3.911176,4.398306,4.032205,5.561345,4.772975,5.30342,3.730831,5.521114,4.439482,4.798343,4.4862,3.938843,4.818105,4.809947,4.332211,4.682229,4.902857,4.726941,4.115172,4.64643,4.492526,4.954685,4.801668,5.305798,4.2964,5.623722,4.602324,4.196128,4.445317,4.878414,4.023381,4.881264,4.259455,4.687654,4.079316,4.842455,4.44597,4.749761,5.028247,4.74725,5.086477,3.891425,4.046027,5.23174,3.669994,4.299993,5.147469
hsa-let-7e,14.09467,13.39911,13.6663,12.66315,13.55353,14.0913,13.3229,13.26589,12.73885,13.18338,11.79002,13.2903,13.49371,13.09599,13.87538,13.24691,13.93365,14.08408,13.35149,13.64185,12.99932,13.47315,13.49676,13.13096,13.18065,14.26876,13.54191,12.55499,14.81032,14.18631,13.82182,12.41867,13.58895,13.16865,14.5797,12.79882,14.12394,13.20006,13.39769,13.98029,14.55271,13.39529,13.57311,13.29671,6.547617,5.308273,5.371173,6.733959,7.423002,4.977384,7.71388,5.838145,4.960641,4.729105,4.29651,4.714431,5.940811,7.214238,8.067539,6.931836,6.787735,6.330093,5.875409,5.909889,6.539908,5.989612,6.919871,4.665703,4.531322,6.618376,7.329104,5.160728,7.989878,6.321652,4.829956,6.041843,7.851999,7.208923,6.957092,6.180693,7.212155,6.960674,7.322206,6.047841,8.274837,7.779869,7.814015,7.803388,12.70486,11.11079,12.89673,11.46242,11.55411,11.8463,11.47846,11.73386,12.46305,12.37722,11.66992,12.12754,12.1484,12.25005,11.8312,11.58644,11.94185,11.94702,12.85409,11.61229,11.60146,11.7819,12.05634,11.30937,11.68898,12.10805,12.32051,11.06913,12.18573,12.04823,12.0651,11.18526,11.68268,12.59788,11.66808,11.19139,11.97218,11.58459,11.94457,11.37429,11.91437,11.76437,11.70201,11.85037
