"ID","miR.alias","miR2","miRNA","miRNA.prev"
"MI0000060","hsa-let-7a-1L;hsa-let-7a-1;","hsa_let_7a_1L;hsa_let_7a_1;","hsa_let_7a_1","hsa_let_7a_1L"
"MI0000061","hsa-let-7a-2L;hsa-let-7a-2;","hsa_let_7a_2L;hsa_let_7a_2;","hsa_let_7a_2","hsa_let_7a_2L"
"MI0000062","hsa-let-7a-3L;hsa-let-7a-3;","hsa_let_7a_3L;hsa_let_7a_3;","hsa_let_7a_3","hsa_let_7a_3L"
"MI0000063","hsa-let-7bL;hsa-let-7b;","hsa_let_7bL;hsa_let_7b;","hsa_let_7b","hsa_let_7bL"
"MI0000064","hsa-let-7cL;hsa-let-7c;","hsa_let_7cL;hsa_let_7c;","hsa_let_7c","hsa_let_7cL"
"MI0000065","hsa-let-7dL;hsa-let-7d;","hsa_let_7dL;hsa_let_7d;","hsa_let_7d","hsa_let_7dL"
"MI0000066","hsa-let-7eL;hsa-let-7e;","hsa_let_7eL;hsa_let_7e;","hsa_let_7e","hsa_let_7eL"
"MI0000067","hsa-let-7f-1L;hsa-let-7f-1;","hsa_let_7f_1L;hsa_let_7f_1;","hsa_let_7f_1","hsa_let_7f_1L"
"MI0000068","hsa-let-7f-2L;hsa-let-7f-2;","hsa_let_7f_2L;hsa_let_7f_2;","hsa_let_7f_2","hsa_let_7f_2L"
"MI0000433","hsa-let-7g;","hsa_let_7g;","hsa_let_7g","hsa_let_7g"
"MI0000434","hsa-let-7i;","hsa_let_7i;","hsa_let_7i","hsa_let_7i"
"MIMAT0000062","hsa-let-7a;hsa-let-7a-5p;","hsa_let_7a;hsa_let_7a_5p;","hsa_let_7a_5p","hsa_let_7a"
"MIMAT0000063","hsa-let-7b;hsa-let-7b-5p;","hsa_let_7b;hsa_let_7b_5p;","hsa_let_7b_5p","hsa_let_7b"
"MIMAT0000064","hsa-let-7c;hsa-let-7c-5p;","hsa_let_7c;hsa_let_7c_5p;","hsa_let_7c_5p","hsa_let_7c"
"MIMAT0000065","hsa-let-7d;hsa-let-7d-5p;","hsa_let_7d;hsa_let_7d_5p;","hsa_let_7d_5p","hsa_let_7d"
"MIMAT0000066","hsa-let-7e;hsa-let-7e-5p;","hsa_let_7e;hsa_let_7e_5p;","hsa_let_7e_5p","hsa_let_7e"
"MIMAT0000067","hsa-let-7f;hsa-let-7f-5p;","hsa_let_7f;hsa_let_7f_5p;","hsa_let_7f_5p","hsa_let_7f"
"MIMAT0000068","hsa-miR-15a;hsa-miR-15a-5p;","hsa_miR_15a;hsa_miR_15a_5p;","hsa_miR_15a_5p","hsa_miR_15a"
"MIMAT0000069","hsa-miR-16;hsa-miR-16-5p;","hsa_miR_16;hsa_miR_16_5p;","hsa_miR_16_5p","hsa_miR_16"
"MIMAT0000070","hsa-miR-17-5p;hsa-miR-17;hsa-miR-17-5p;","hsa_miR_17_5p;hsa_miR_17;hsa_miR_17_5p;","hsa_miR_17_5p","hsa_miR_17_5p"
"MIMAT0000071","hsa-miR-17-3p;hsa-miR-17*;hsa-miR-17-3p;","hsa_miR_17_3p;hsa_miR_17*;hsa_miR_17_3p;","hsa_miR_17_3p","hsa_miR_17_3p"
"MIMAT0000072","hsa-miR-18;hsa-miR-18a;hsa-miR-18a-5p;","hsa_miR_18;hsa_miR_18a;hsa_miR_18a_5p;","hsa_miR_18a_5p","hsa_miR_18"
"MIMAT0000073","hsa-miR-19a;hsa-miR-19a-3p;","hsa_miR_19a;hsa_miR_19a_3p;","hsa_miR_19a_3p","hsa_miR_19a"
"MIMAT0000074","hsa-miR-19b;hsa-miR-19b-3p;","hsa_miR_19b;hsa_miR_19b_3p;","hsa_miR_19b_3p","hsa_miR_19b"
"MIMAT0000075","hsa-miR-20;hsa-miR-20a;hsa-miR-20a-5p;","hsa_miR_20;hsa_miR_20a;hsa_miR_20a_5p;","hsa_miR_20a_5p","hsa_miR_20"
"MIMAT0000076","hsa-miR-21;hsa-miR-21-5p;","hsa_miR_21;hsa_miR_21_5p;","hsa_miR_21_5p","hsa_miR_21"
"MIMAT0000077","hsa-miR-22;hsa-miR-22-3p;","hsa_miR_22;hsa_miR_22_3p;","hsa_miR_22_3p","hsa_miR_22"
"MIMAT0000078","hsa-miR-23a;hsa-miR-23a-3p;","hsa_miR_23a;hsa_miR_23a_3p;","hsa_miR_23a_3p","hsa_miR_23a"
"MIMAT0000079","hsa-miR-189;hsa-miR-24-1*;hsa-miR-24-1-5p;","hsa_miR_189;hsa_miR_24_1*;hsa_miR_24_1_5p;","hsa_miR_24_1_5p","hsa_miR_189"
"MIMAT0000080","hsa-miR-24;hsa-miR-24-3p;","hsa_miR_24;hsa_miR_24_3p;","hsa_miR_24_3p","hsa_miR_24"
"MIMAT0000081","hsa-miR-25;hsa-miR-25-3p;","hsa_miR_25;hsa_miR_25_3p;","hsa_miR_25_3p","hsa_miR_25"
"MIMAT0000082","hsa-miR-26a;hsa-miR-26a-5p;","hsa_miR_26a;hsa_miR_26a_5p;","hsa_miR_26a_5p","hsa_miR_26a"
"MIMAT0000083","hsa-miR-26b;hsa-miR-26b-5p;","hsa_miR_26b;hsa_miR_26b_5p;","hsa_miR_26b_5p","hsa_miR_26b"
"MIMAT0000084","hsa-miR-27a;hsa-miR-27a-3p;","hsa_miR_27a;hsa_miR_27a_3p;","hsa_miR_27a_3p","hsa_miR_27a"
"MIMAT0000085","hsa-miR-28;hsa-miR-28-5p;","hsa_miR_28;hsa_miR_28_5p;","hsa_miR_28_5p","hsa_miR_28"
"MIMAT0000086","hsa-miR-29a;hsa-miR-29a-3p;","hsa_miR_29a;hsa_miR_29a_3p;","hsa_miR_29a_3p","hsa_miR_29a"
"MIMAT0000087","hsa-miR-30a-5p;hsa-miR-30a;hsa-miR-30a-5p;","hsa_miR_30a_5p;hsa_miR_30a;hsa_miR_30a_5p;","hsa_miR_30a_5p","hsa_miR_30a_5p"
